"time","Itr","Iqs","loadInertiaM.phi","loadInertiaM.w","loadInertiaMQS.phi","loadInertiaMQS.w","smpm.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smpm.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smpm.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smpm.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im"
0,0,9.59341222660952e-14,0,157.07963267949,-0.785398163397448,157.07963267949,-0.505527611522215,-0,-0.505527611522215,0
5e-05,17.4056296691027,9.59341222660952e-14,0.00785395886250353,157.078487023837,-0.777544181763474,157.07963267949,-0.505542436493996,1.50113343439031e-05,-0.513454886870485,-7.53462740182625e-05
0.0001,34.6968068133802,9.59341222660952e-14,0.0157077977537134,157.075036950109,-0.769690200129499,157.07963267949,-0.505586445899117,6.01821900658014e-05,-0.521353677015761,-0.000300990984230536
0.00015,51.8732530217295,9.59341222660952e-14,0.023561406811021,157.069263832418,-0.761836218495525,157.07963267949,-0.505658957168609,0.000135705098836428,-0.529221909185083,-0.00067633272046525
0.0002,68.9346914296077,9.59341222660952e-14,0.0314146750401807,157.061149757223,-0.75398223686155,157.07963267949,-0.505759286464649,0.000241762619286235,-0.537057514264628,-0.00120073892810549
0.00025,85.8807193706025,9.59341222660952e-14,0.0392674806928985,157.050675853082,-0.746128255227576,157.07963267949,-0.50588668870689,0.000378544645747832,-0.544858245150088,-0.00187349431466694
0.0003,102.710986439527,9.59341222660952e-14,0.0471197035469005,157.037824770001,-0.738274273593601,157.07963267949,-0.506040436431034,0.000546221505997625,-0.552621920499051,-0.00269385682701046
0.00035,119.425189472085,9.59341222660952e-14,0.0549712241772307,157.02258056797,-0.730420291959627,157.07963267949,-0.506219815329381,0.000744944968473547,-0.560346410943353,-0.00366105237554746
0.0004,136.022965320972,9.59341222660952e-14,0.0628219221099442,157.004927209705,-0.722566310325652,157.07963267949,-0.506424105167931,0.00097486742220162,-0.568029569912335,-0.00477429841723027
0.00045,152.503938319907,9.59341222660952e-14,0.0706716762836479,156.984849229491,-0.714712328691678,157.07963267949,-0.506652586457253,0.00123613311895749,-0.575669259485409,-0.0060327896624163
0.0005,168.867803343078,9.59341222660952e-14,0.0785203651981958,156.962332875436,-0.706858347057704,157.07963267949,-0.506904548624185,0.00152886268181591,-0.583263385820647,-0.0074356660069508
0.00055,185.114201921207,9.59341222660952e-14,0.0863678672194326,156.937364380778,-0.699004365423729,157.07963267949,-0.507179280322351,0.00185317685372872,-0.590809852804842,-0.00898206639372832
0.0006,201.242886124107,9.59341222660952e-14,0.094214058736764,156.909932229224,-0.691150383789755,157.07963267949,-0.507476074959283,0.00220916400517526,-0.598306603442481,-0.0106710403480531
0.00065,217.253459679776,9.59341222660952e-14,0.1020588172533,156.880023566324,-0.68329640215578,157.07963267949,-0.507794222834004,0.00259693162583153,-0.605751556754093,-0.0125016893935187
0.0007,233.145689972256,9.59341222660952e-14,0.109902017857888,156.847628489813,-0.675442420521806,157.07963267949,-0.508133021514435,0.0030165445234631,-0.613142686108191,-0.0144729978362064
0.00075,248.919203755683,9.59341222660952e-14,0.117743536706088,156.812735875428,-0.667588438887831,157.07963267949,-0.508491765949119,0.00346808511058921,-0.620477943517794,-0.016583998629208
0.0008,264.573751273782,9.59341222660952e-14,0.125583248151683,156.775336961165,-0.659734457253857,157.07963267949,-0.508869757725195,0.00395160133980556,-0.627755326990137,-0.0188336301310263
0.00085,280.108981530133,9.59341222660952e-14,0.133421027220854,156.73542229432,-0.651880475619882,157.07963267949,-0.509266297365851,0.00446715109657886,-0.634972823656123,-0.0212208585952808
0.0009,295.524642311174,9.59341222660952e-14,0.141256747684872,156.692984396088,-0.644026493985908,157.07963267949,-0.509680692454445,0.00501476318987425,-0.642128463535118,-0.0237445714369836
0.00095,310.820416381151,9.59341222660952e-14,0.149090283413117,156.648015624336,-0.636172512351933,157.07963267949,-0.510112249955606,0.00559446884051898,-0.64922027299624,-0.0264036625870723
0.001,325.996008689118,9.59341222660952e-14,0.156921507704021,156.600509302598,-0.628318530717959,157.07963267949,-0.510560280549258,0.00620628500012845,-0.656246300161131,-0.0291969874462772
0.00105,341.051174539988,9.59341222660952e-14,0.164750293520275,156.550459979586,-0.620464549083984,157.07963267949,-0.511024102067696,0.00685021011396993,-0.663204628047634,-0.0321233522851648
0.0011,355.985629397225,9.59341222660952e-14,0.172576513330234,156.497862464254,-0.61261056745001,157.07963267949,-0.511503031208109,0.00752623913439217,-0.670093339142436,-0.0351815532055841
0.00115,370.799109560206,9.59341222660952e-14,0.18040003921513,156.442712478141,-0.604756585816035,157.07963267949,-0.511996389135297,0.00823435337106036,-0.676910539351582,-0.0383703498009467
0.0012,385.491351542664,9.59341222660952e-14,0.188220743620897,156.385006246525,-0.596902604182061,157.07963267949,-0.512503502987535,0.00897452603005243,-0.683654358092073,-0.0416884815214773
0.00125,400.062092926306,9.59341222660952e-14,0.196038499313909,156.324740512825,-0.589048622548086,157.07963267949,-0.513023705714631,0.00974672203660038,-0.690322947960824,-0.045134667100879
0.0013,414.511086759834,9.59341222660952e-14,0.203853177430115,156.261913173355,-0.581194640914112,157.07963267949,-0.513556328939527,0.010550890221863,-0.696914470142977,-0.0487075792848106
0.00135,428.838086946225,9.59341222660952e-14,0.211664649361497,156.196522663528,-0.573340659280138,157.07963267949,-0.514100709861021,0.0113869708782004,-0.703427108521846,-0.0524058692680723
