"time","heater.mediums[1].h","heater.mediums[1].p","pipe.mediums[1].h","pipe.mediums[1].p","pipe.mediums[2].h","pipe.mediums[2].p","radiator.mediums[1].h","radiator.mediums[1].p","tank.level","tank.medium.h"
0,335014.419638282,130000,335014.419638282,130000,335014.419638282,130000,167632.002263234,110000,1,84013.0581525969
1.2,307302.01721409,129993.583123709,334940.45650199,129991.392455953,335014.27311653,129971.271553524,165549.581477703,111129.918765864,0.999922128406042,84025.255031722
2.4,301496.236598176,129994.260007894,334806.975162853,129992.028238109,335013.684689525,129971.898969984,163531.142833864,111129.863651892,0.999894855417662,84037.1960038401
3.6,300267.806919336,129994.401052722,334661.43223205,129992.160421724,335012.498738088,129972.022379612,161575.718129191,111129.907605203,0.999878162945926,84048.8848218751
4.8,300007.13334768,129994.431181084,334513.838075251,129992.18866884,335010.693515217,129972.041790562,159681.311691116,111129.973143642,0.999864109709186,84060.3263742425
6,299951.845872873,129994.437874527,334366.310226048,129992.19497009,335008.268623744,129972.039268182,157845.994864009,111130.043921908,0.999851018475061,84071.525731296
7.2,299939.958140602,129994.439614488,334219.29660718,129992.196632871,335005.228160747,129972.032135684,156067.901961906,111130.116321748,0.999838515721331,84082.4880209984
8.4,299937.092049035,129994.440319145,334072.890132404,129992.197325915,335001.577152799,129972.02406502,154345.227723136,111130.189435011,0.999826505295662,84093.2183917017
9.6,299936.58720062,129994.44074752,333927.106585365,129992.197759895,334997.320801527,129972.015767341,152676.226392993,111130.262951246,0.999814952002276,84103.7219940957
10.8,299936.86800024,129994.44107922,333781.947619462,129992.19810297,334992.464312684,129972.00741079,151059.210032905,111130.33668002,0.999803832677339,84114.0039672191
12,299937.142308219,129994.441404625,333637.412711081,129992.198439763,334987.012861371,129971.9990799,149492.550546128,111130.410458682,0.999793126848135,84124.0694254405
13.2,299937.232935523,129994.441744059,333493.499637856,129992.198789302,334980.97160114,129971.990793556,147974.661116655,111130.484149297,0.999782816073788,84133.9234536943
14.4,299937.177091789,129994.442093432,333350.205590853,129992.199147761,334974.345657995,129971.98254777,146504.000288213,111130.557626958,0.999772883132224,84143.5711015383
15.6,299937.154958624,129994.442432374,333207.52737612,129992.199496069,334967.140123826,129971.974323301,145079.0804315,111130.630780582,0.999763312000144,84153.0173705409
16.8,299937.195150105,129994.442757776,333065.462236004,129992.19983132,334959.360049211,129971.966117095,143698.472764948,111130.703506657,0.999754087277921,84162.2671954326
18,299937.244712975,129994.443075814,332924.007664548,129992.200159299,334951.010415352,129971.957934803,142360.844658307,111130.775713264,0.999745194919625,84171.3253846432
19.2,299937.301953499,129994.443386828,332783.161000969,129992.200480328,334942.096237708,129971.949776606,141064.815796437,111130.847302649,0.999736620229511,84180.196807954
20.4,299937.371208174,129994.44369047,332642.919593228,129992.200794086,334932.62246148,129971.941642052,139809.098889919,111130.918202807,0.999728349927291,84188.8861696136
21.6,299937.454781776,129994.443986623,332503.280792182,129992.201100467,334922.594039432,129971.933530904,138592.396717735,111130.988338787,0.999720370579836,84197.3981922725
22.8,299937.544710463,129994.444276339,332364.241976025,129992.201400461,334912.015927753,129971.925444019,137413.407242544,111131.057629406,0.999712668663443,84205.7376097603
24,299937.625432473,129994.444561523,332225.800626176,129992.201695858,334900.89285736,129971.917383083,136271.122001679,111131.126045507,0.999705235052454,84213.9086283834
25.2,299937.694361033,129994.444842617,332087.954100526,129992.201987075,334889.229799081,129971.909348378,135164.220042704,111131.193505084,0.999698055948463,84221.9160147728
26.4,299937.75697327,129994.44511913,331950.699818035,129992.20227366,334877.031495881,129971.901339342,134091.664951888,111131.259972755,0.99969112174213,84229.7639659554
27.6,299937.81848212,129994.445390602,331814.035197138,129992.202555187,334864.302694143,129971.89335544,133052.416128359,111131.325412466,0.999684422762952,84237.4566877755
28.8,299937.875132719,129994.4456576,331677.957643651,129992.202832194,334851.048242644,129971.885397087,132045.306077459,111131.389767435,0.999677947471994,84244.9986466444
30,299937.93211783,129994.445919652,331542.464650819,129992.203104244,334837.272686149,129971.877463755,131069.517280714,111131.453033707,0.99967168923972,84252.3934813879
31.2,299937.98915444,129994.446176929,331407.553625782,129992.203371504,334822.980843401,129971.869555493,130123.920738034,111131.515160995,0.999665637105607,84259.6455845567
32.4,299938.04630128,129994.44642955,331273.222041226,129992.20363409,334808.177354341,129971.861672314,129207.578572997,111131.576127056,0.999659782658963,84266.7588385443
33.6,299938.102573271,129994.446677744,331139.467402474,129992.203892225,334792.866779335,129971.853814346,128319.633471174,111131.635921312,0.999654118521525,84273.7368919404
34.8,299938.157943957,129994.446921639,331006.287184876,129992.204146035,334777.05375183,129971.845981613,127459.154130819,111131.694522473,0.999648636366858,84280.5836080579
36,299938.211535936,129994.447161455,330873.678890388,129992.204395732,334760.742840401,129971.838174229,126625.274927057,111131.75191876,0.999643328710199,84287.3026596047
37.2,299938.262094121,129994.447397452,330741.640032771,129992.204641566,334743.938584827,129971.830392351,125817.159384876,111131.808102613,0.999638188440353,84293.8976346914
38.4,299938.311866664,129994.447629486,330610.168137592,129992.204883408,334726.645467658,129971.822635755,125034.021610193,111131.863063139,0.999633209103541,84300.3719803088
39.6,299938.364001843,129994.447857308,330479.260742223,129992.205121032,334708.867933281,129971.81490412,124275.111915053,111131.916791175,0.999628384713006,84306.72904024
40.8,299938.416201011,129994.44808129,330348.915395851,129992.205354792,334690.610434444,129971.807197712,123539.681768194,111131.969291654,0.999623709284799,84312.9721474998
42,299938.468667354,129994.448301514,330219.129659466,129992.205584773,334671.877373997,129971.799516529,122827.02768937,111132.020568125,0.999619177419142,84319.1045085676
43.2,299938.521611814,129994.448518061,330089.901105866,129992.205811057,334652.673123174,129971.791860566,122136.47747665,111132.070627606,0.999614784118015,84325.1292397119
44.4,299938.572730015,129994.448731296,329961.227304487,129992.20603399,334633.002090197,129971.784230072,121467.199940942,111132.119451538,0.99961052146954,84331.0495424184
45.6,299938.622583298,129994.448941253,329833.105853754,129992.206253612,334612.868573958,129971.776625004,120818.610690952,111132.167057738,0.999606385719293,84336.8683292489
46.8,299938.670832668,129994.449148067,329705.534358441,129992.206470055,334592.276866422,129971.769045413,120190.08813456,111132.213457038,0.999602372321274,84342.5884856928
48,299938.716960005,129994.449351891,329578.510434006,129992.20668347,334571.231233022,129971.761491366,119581.027864995,111132.258661592,0.999598476885654,84348.2128200228
49.2,299938.761566826,129994.44955275,329452.031699846,129992.206893884,334549.735922829,129971.753962805,118990.807032358,111132.302677965,0.999594694593562,84353.7441208905
50.4,299938.806512275,129994.449750523,329326.095778452,129992.207101191,334527.795170055,129971.746459536,118418.779339708,111132.3455062,0.999591020114002,84359.1851647954
51.6,299938.850631541,129994.449945429,329200.700321752,129992.207305603,334505.413147618,129971.738981691,117864.430310364,111132.387168782,0.999587450181923,84364.5384843406
52.8,299938.894066658,129994.450137538,329075.842984466,129992.20750719,334482.594014106,129971.731529262,117327.220235551,111132.427681337,0.999583980990509,84369.8066026412
54,299938.936992377,129994.450326911,328951.521431942,129992.207706017,334459.341899966,129971.724102233,116806.630379758,111132.467061259,0.999580608958377,84374.9919643604
55.2,299938.979192265,129994.450513658,328827.733335438,129992.20790219,334435.660927132,129971.716700625,116302.086369395,111132.50531105,0.999577329535663,84380.0971051285
56.4,299939.020869835,129994.450697835,328704.476381154,129992.208095768,334411.555171458,129971.709324417,115813.104790179,111132.542450189,0.999574139488599,84385.1243273563
57.6,299939.062229726,129994.450879493,328581.748265566,129992.208286805,334387.028682114,129971.701973587,115339.217492254,111132.57849868,0.999571035719885,84390.0758676277
58.8,299939.103431941,129994.451058689,328459.546694922,129992.208475359,334362.085483706,129971.694648114,114879.963320549,111132.613475253,0.999568015139811,84394.9539149868
60,299939.144435965,129994.451235501,328337.869385499,129992.20866151,334336.72957692,129971.687347998,114434.884561094,111132.647396643,0.999565074631481,84399.7606290313
61.2,299939.184602346,129994.451410075,328216.714062837,129992.208845399,334310.964944905,129971.680073297,114003.500066446,111132.680271861,0.999562210669753,84404.4982181038
62.4,299939.22430072,129994.451582437,328096.078464849,129992.209027054,334284.795527489,129971.672823967,113585.413723331,111132.712125345,0.999559420859201,84409.1686237059
63.6,299939.263490177,129994.451752657,327975.960339072,129992.209206548,334258.225243944,129971.6656,113180.218692489,111132.742976521,0.999556702576335,84413.7737991119
64.8,299939.30211546,129994.451920807,327856.357443439,129992.209383952,334231.257986632,129971.658401392,112787.524133997,111132.772845503,0.999554053348538,84418.3156316114
66,299939.340323606,129994.452086937,327737.267541747,129992.209559317,334203.897633671,129971.651228114,112406.911549619,111132.801745873,0.999551470281566,84422.796081494
67.2,299939.378115109,129994.452251107,327618.688410949,129992.209732706,334176.148028538,129971.644080151,112038.005080895,111132.82969631,0.999548950981393,84427.2169582546
68.4,299939.415410122,129994.452413386,327500.617839768,129992.209904186,334148.012983948,129971.636957495,111680.458167575,111132.856718387,0.999546493379263,84431.5799630667
69.6,299939.45218559,129994.452573834,327383.053625834,129992.21007382,334119.496289861,129971.629860132,111333.9259126,111132.882831994,0.999544095369296,84435.8867767582
70.8,299939.488432206,129994.452732509,327265.993576254,129992.210241664,334090.601711932,129971.622788043,110998.072110603,111132.908056709,0.99954175490682,84440.1390388627
72,299939.524280489,129994.452889455,327149.435502698,129992.210407765,334061.33300552,129971.615741193,110672.532432043,111132.93240713,0.999539469568307,84444.3384747081
73.2,299939.559685964,129994.453044727,327033.377233669,129992.21057218,334031.693880695,129971.608719567,110357.00635307,111132.955904527,0.99953723765022,84448.4865780737
74.4,299939.594679206,129994.453198375,326917.816604758,129992.210734957,334001.688030035,129971.601723135,110051.184140776,111132.978567591,0.999535057296263,84452.584863238
75.6,299939.629301563,129994.453350444,326802.751461146,129992.210896145,333971.319121475,129971.59475187,109754.76562329,111133.000414807,0.999532926721737,84456.634800184
76.8,299939.6636065,129994.453500978,326688.179657559,129992.211055787,333940.590798465,129971.587805738,109467.459795436,111133.02146441,0.999530844208829,84460.6378159606
78,299939.697660956,129994.453650017,326574.099058207,129992.211213925,333909.506680113,129971.580884705,109188.984424408,111133.041734331,0.9995288081019,84464.5952960436
79.2,299939.73154669,129994.453797598,326460.507536737,129992.211370597,333878.070361338,129971.573988732,108919.065655428,111133.061242149,0.999526816802768,84468.5085856973
80.4,299939.765361634,129994.453943753,326347.402976177,129992.211525838,333846.285413021,129971.567117778,108657.437617417,111133.080005039,0.999524868765997,84472.3789913356
81.6,299939.799200626,129994.454088518,326234.783268968,129992.211679682,333814.155382091,129971.560271801,108403.842311263,111133.098039952,0.999522962498643,84476.2077814787
82.8,299939.832220411,129994.454232029,326122.646320612,129992.211832264,333781.683788773,129971.553450863,108158.042050721,111133.115373802,0.999521096758091,84479.996169757
84,299939.864993372,129994.454374264,326010.990040315,129992.211983564,333748.874134026,129971.546654865,107919.786822256,111133.132017687,0.999519270038474,84483.7453623925
85.2,299939.89752783,129994.454515261,325899.812348775,129992.212133621,333715.729893557,129971.539883772,107688.841046432,111133.147988508,0.999517480994501,84487.4565207197
86.4,299939.929828786,129994.454655059,325789.11117591,129992.212282475,333682.254519701,129971.533137545,107464.975515599,111133.163302802,0.999515728315737,84491.1307735144
87.6,299939.961897496,129994.454793695,325678.884460817,129992.212430164,333648.451441572,129971.526416148,107247.967023879,111133.177976708,0.999514010722271,84494.7692183201
88.8,299939.993731047,129994.454931206,325569.130151725,129992.212576726,333614.3240652,129971.51971954,107037.597997148,111133.19202594,0.999512326960389,84498.3729227746
90,299940.025321934,129994.45506763,325459.846205947,129992.212722198,333579.875773681,129971.513047683,106833.656123024,111133.205465755,0.999510675798242,84501.942925936
91.2,299940.056657638,129994.455203002,325351.030589841,129992.212866616,333545.109927319,129971.506400538,106635.933980851,111133.21831092,0.999509056021516,84505.4802396099
92.4,299940.087720198,129994.455337358,325242.681278756,129992.213010017,333510.029863773,129971.499778062,106444.22867168,111133.230575687,0.999507466429106,84508.9858496751
93.6,299940.11868315,129994.455470706,325134.796256067,129992.213152412,333474.638896211,129971.493180199,106258.438034977,111133.242287516,0.999505907400548,84512.4604932667
94.8,299940.149442294,129994.455603093,325027.373515325,129992.213293846,333438.940318179,129971.486606913,106078.33084575,111133.253454365,0.999504377158106,84515.9051925354
96,299940.179971539,129994.455734553,324920.411058543,129992.213434353,333402.937400153,129971.480058162,105903.720800256,111133.264089493,0.999502874599751,84519.320851356
97.2,299940.210257049,129994.455865116,324813.906896455,129992.213573965,333366.633390349,129971.4735339,105734.434126736,111133.274206871,0.999501398773777,84522.7083309585
98.4,299940.240281167,129994.455994814,324707.859048544,129992.213712713,333330.03151502,129971.467034084,105570.301553083,111133.28382006,0.999499948749784,84526.068469037
99.6,299940.270022194,129994.456123676,324602.265542997,129992.213850629,333293.134978602,129971.460558668,105411.158036116,111133.292942193,0.999498523615966,84529.4020808451
100.8,299940.299454163,129994.456251735,324497.124416657,129992.213987742,333255.946963853,129971.454107604,105256.842490861,111133.301585959,0.999497122476389,84532.709960292
102,299940.328546626,129994.456379019,324392.433714976,129992.214124083,333218.470632001,129971.447680848,105107.197519826,111133.309763588,0.999495744448288,84535.9928810391
103.2,299940.357264426,129994.456505559,324288.191491971,129992.214259682,333180.709122879,129971.441278353,104962.069142285,111133.317486834,0.999494388659342,84539.2515975955
104.4,299940.386046781,129994.456631323,324184.395812278,129992.214394512,333142.665544294,129971.43490002,104821.387232654,111133.324778568,0.999493055443813,84542.4866275472
105.6,299940.414755197,129994.456756353,324081.04474649,129992.214528614,333104.342995826,129971.428545814,104684.9881268,111133.331647284,0.999491743708863,84545.6987329751
106.8,299940.443302295,129994.456880684,323978.136373874,129992.214662022,333065.74455482,129971.422215689,104552.720276705,111133.338102314,0.999490452505243,84548.888634303
108,299940.471705661,129994.457004335,323875.668782557,129992.214794757,333026.873275314,129971.415909591,104424.453083537,111133.344155127,0.99948918115981,84552.0569867054
109.2,299940.499985522,129994.457127328,323773.640069036,129992.214926839,332987.73219048,129971.409627463,104300.059435794,111133.349816842,0.999487929017454,84555.2044278229
110.4,299940.528164959,129994.45724968,323672.048338128,129992.215058287,332948.324312754,129971.403369249,104179.415509387,111133.355098214,0.999486695439436,84558.331578666
111.6,299940.556270095,129994.457371408,323570.89170293,129992.215189119,332908.652633968,129971.397134891,104062.40056772,111133.360009632,0.999485479801729,84561.4390445193
112.8,299940.584330303,129994.457492531,323470.168284774,129992.215319354,332868.720125488,129971.390924328,103948.896761767,111133.364561116,0.999484281493353,84564.5274158455
114,299940.612225127,129994.457613077,323369.876216331,129992.215449019,332828.529731061,129971.384737517,103838.826880104,111133.368767096,0.999483100349568,84567.5971257355
115.2,299940.63992817,129994.457733067,323270.01363656,129992.215578135,332788.084378527,129971.378574402,103732.09381412,111133.372638795,0.999481935958859,84570.6486788835
116.4,299940.66753484,129994.45785251,323170.578690088,129992.215706713,332747.386981261,129971.372434917,103628.573535427,111133.376183351,0.999480787583088,84573.6826782802
117.6,299940.695054071,129994.457971422,323071.569531463,129992.215834769,332706.440428403,129971.366319001,103528.166516308,111133.379410336,0.999479654747337,84576.6996309889
118.8,299940.722494908,129994.458089819,322972.984323326,129992.215962319,332665.24758909,129971.360226595,103430.776141209,111133.382329051,0.999478536993162,84579.7000298994
120,299940.749866496,129994.458207717,322874.821236373,129992.216089379,332623.811312584,129971.354157639,103336.308557801,111133.38494852,0.999477433877512,84582.6843544397
121.2,299940.777178076,129994.45832513,322777.078449316,129992.216215964,332582.134428397,129971.348112071,103244.672528044,111133.387277493,0.999476344971652,84585.6530712872
122.4,299940.804438981,129994.458442073,322679.754148838,129992.216342088,332540.219746406,129971.34208983,103155.779279242,111133.389324447,0.999475269860085,84588.6066350798
123.6,299940.831612751,129994.458558563,322582.84653033,129992.21646777,332498.070055594,129971.336090859,103069.549290381,111133.391098588,0.999474208158138,84591.5454422479
124.8,299940.858633414,129994.458674622,322486.35379758,129992.216593029,332455.688124663,129971.330115103,102985.909681598,111133.392609491,0.999473159504257,84594.4698483648
126,299940.88555436,129994.458790258,322390.274160207,129992.216717876,332413.076706673,129971.324162496,102904.771557142,111133.393863857,0.999472123498362,84597.3803210042
127.2,299940.912367333,129994.458905485,322294.605836689,129992.216842325,332370.238533676,129971.318232975,102826.057219989,111133.394869461,0.999471099774403,84600.2772554845
128.4,299940.93906196,129994.459020319,322199.347053311,129992.21696639,332327.176318644,129971.31232648,102749.691023098,111133.395633852,0.999470087975066,84603.1610364153
129.6,299940.965625628,129994.459134773,322104.496044126,129992.217090085,332283.892755593,129971.306442949,102675.599237509,111133.396164355,0.999469087750736,84606.0320382935
130.8,299940.992043367,129994.459248861,322010.05105092,129992.217213425,332240.390519696,129971.300582321,102603.709920439,111133.396468078,0.999468098758469,84608.8906260998
132,299941.018297731,129994.459362598,321916.01032317,129992.217336424,332196.672267408,129971.294744535,102533.95278337,111133.39655191,0.999467120660957,84611.7371558942
133.2,299941.044406744,129994.459475992,321822.372117994,129992.217459091,332152.740636326,129971.288929524,102466.262690272,111133.396422769,0.999466153154985,84614.5719582683
134.4,299941.070572496,129994.459589028,321729.134700059,129992.217581411,332108.598244286,129971.2831372,102400.593707862,111133.396088554,0.999465196085591,84617.3952719591
135.6,299941.096653453,129994.459701735,321636.296341729,129992.217703414,332064.247693098,129971.277367515,102336.868661883,111133.395554777,0.999464249036373,84620.2074820654
136.8,299941.122656176,129994.459814123,321543.855322853,129992.217825109,332019.6915653,129971.271620404,102275.02590912,111133.39482771,0.999463311709441,84623.0088991193
138,299941.148588563,129994.459926201,321451.80993078,129992.217946505,331974.932425278,129971.265895802,102215.005221779,111133.393913448,0.999462383810795,84625.7998257268
139.2,299941.174459971,129994.460037978,321360.158460314,129992.218067612,331929.97281939,129971.260193642,102156.747678001,111133.392817914,0.99946146504948,84628.5805570581
140.4,299941.200281331,129994.460149463,321268.899213683,129992.218188437,331884.815276075,129971.254513857,102100.195552381,111133.391546864,0.999460555136732,84631.3513813378
141.6,299941.22606526,129994.460260662,321178.030500497,129992.218308989,331839.462305983,129971.248856382,102045.292206474,111133.390105892,0.999459653785132,84634.1125803352
142.8,299941.251826183,129994.460371583,321087.550637707,129992.218429275,331793.916402084,129971.243221147,101991.981979317,111133.38850043,0.999458760707753,84636.8644298548
144,299941.277469314,129994.460482243,320997.457951882,129992.218549311,331748.180033444,129971.237608095,101940.251817447,111133.386735808,0.999457876103141,84639.607055293
145.2,299941.303061595,129994.460592643,320907.750773534,129992.218669098,331702.255660809,129971.232017153,101890.029448706,111133.384817133,0.999456999470522,84642.3407853225
146.4,299941.328612817,129994.460702791,320818.427441639,129992.218788645,331656.145724215,129971.226448254,101841.265523597,111133.382749389,0.999456130566325,84645.0658667805
147.6,299941.354129487,129994.460812694,320729.486302474,129992.218907959,331609.852646179,129971.22090133,101793.913318586,111133.380537422,0.999455269168353,84647.7825352559
148.8,299941.379618541,129994.460922358,320640.925709509,129992.219027045,331563.378832021,129971.215376315,101747.927275114,111133.378185942,0.999454415059206,84650.491020272
150,299941.405087362,129994.46103179,320552.744023367,129992.219145911,331516.726669975,129971.20987314,101703.26292805,111133.375699522,0.999453568025872,84653.1915456456
151.2,299941.430543789,129994.461140995,320464.939611789,129992.219264563,331469.898531305,129971.204391737,101659.876834138,111133.37308261,0.999452727859318,84655.884329845
152.4,299941.45599614,129994.461249981,320377.510849598,129992.219383006,331422.896770415,129971.198932038,101617.726500446,111133.370339526,0.999451894354082,84658.5695863492
153.6,299941.481372996,129994.46135876,320290.456120962,129992.219501254,331375.723718974,129971.193493982,101576.791378305,111133.367474477,0.999451067517489,84661.2474413484
154.8,299941.506688992,129994.461467337,320203.773814603,129992.219619312,331328.3816984,129971.188077501,101537.029263366,111133.364491548,0.999450247136087,84663.9181049012
156,299941.531960983,129994.461575716,320117.462326166,129992.219737183,331280.873013723,129971.182682525,101498.39824029,111133.361394708,0.999449432994323,84666.5817849052
157.2,299941.557183953,129994.461683905,320031.520058873,129992.219854875,331233.199951884,129971.177308987,101460.86294236,111133.358187824,0.999448624937138,84669.2386626124
158.4,299941.582351561,129994.461791909,319945.945422899,129992.219972393,331185.364783391,129971.17195682,101424.3890871,111133.354874656,0.999447822815893,84671.8889141493
159.6,299941.607456066,129994.461899735,319860.736835337,129992.220089745,331137.369762422,129971.166625958,101388.943430377,111133.351458866,0.999447026488217,84674.5327107741
160.8,299941.632488238,129994.46200739,319775.892720165,129992.220206937,331089.217126927,129971.161316333,101354.493720503,111133.347944021,0.999446235817852,84677.1702191351
