"time","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","loadInertia.phi","loadInertia.w","vfController.x"
0,0,0,0,0,0,0,0
5e-05,-5.50782459432597e-17,2.14631624628455e-10,-5.14055694692969e-14,1.76613206875808e-07,-2.01043620929593e-30,-1.17547026267483e-25,3.92706081481373e-07
0.0001,-1.75928006942539e-15,1.71343036888137e-09,-8.21892428934753e-13,7.05779991930359e-07,-1.0175709773768e-27,-2.97481468212578e-23,1.5708043594765e-06
0.00015,-2.00285040212879e-14,6.15334692346969e-09,-5.10826044578064e-12,1.58621583494361e-06,2.83147286580632e-25,4.13704921342839e-21,3.53430044831019e-06
0.0002,-5.60861169514181e-14,1.36518921115732e-08,-1.31293680412059e-11,2.81782946271985e-06,8.7711671643354e-25,1.28644498995861e-20,6.28319436842202e-06
0.00025,-2.71287166571112e-13,2.81357559051499e-08,-3.94751027341665e-11,4.39756899718088e-06,5.27342548356617e-23,3.9317323617823e-19,9.817486475237e-06
0.0003,-6.36168547174751e-13,4.88831898935514e-08,-8.14756347260991e-11,6.32599538752304e-06,1.46569454987796e-22,1.07817246180987e-18,1.41371767016594e-05
0.00035,-1.13950392783778e-12,7.56191861878212e-08,-1.38113678428364e-10,8.60332237229016e-06,2.78844811799356e-22,2.04237466101801e-18,1.92422650221236e-05
0.0004,-1.78129330856021e-12,1.08343744787959e-07,-2.0938923384096e-10,1.12295499514822e-05,4.49560325270343e-22,3.28577983380267e-18,2.51327514366297e-05
0.00045,-3.1010299986342e-12,1.52728409821508e-07,-3.32079927234694e-10,1.42002672609479e-05,2.00260274930346e-21,1.40971654025905e-17,3.180863599135e-05
0.0005,-4.93253628101193e-12,2.07026200855128e-07,-4.94857310477114e-10,1.75168329594921e-05,4.52402064300435e-21,3.16153507009346e-17,3.92699186720621e-05
0.00055,-7.17440865803843e-12,2.70171090930316e-07,-6.90808638080792e-10,2.11800761158816e-05,7.76121621702004e-21,5.40944113524819e-17,4.75165994700876e-05
0.0006,-9.82664712971369e-12,3.42163080047072e-07,-9.19933910045729e-10,2.51899967301164e-05,1.17141894713505e-20,8.15343473572323e-17,5.65486783854265e-05
0.00065,-1.40089598121831e-11,4.29751091735312e-07,-1.24157438086966e-09,2.9541342998649e-05,2.57569707174472e-20,1.71212691800514e-16,6.636615547075e-05
0.0007,-1.96117426892934e-11,5.32274499254079e-07,-1.6499213583383e-09,3.4234629000776e-05,4.89719713848049e-20,3.17522762395241e-16,7.69690307209024e-05
0.00075,-2.62780079493498e-11,6.47581595915265e-07,-2.12605553278433e-09,3.92715291280902e-05,7.83705424501707e-20,5.02203209687413e-16,8.83573041190908e-05
0.0008,-3.40077555923523e-11,7.75672381718871e-07,-2.66997690420775e-09,4.46520433805914e-05,1.13952683913545e-19,7.25254033677029e-16,0.000100530975665315
0.00085,-4.44852317338635e-11,9.2234665310431e-07,-3.35158288968418e-09,5.03716548265151e-05,1.9363936106882e-19,1.18921859836956e-15,0.000113490045374466
0.0009,-5.80082328457564e-11,1.08862988900918e-06,-4.18323225555178e-09,5.64295648139714e-05,3.24135490477891e-19,1.92990918716276e-15,0.000127234513249175
0.00095,-7.37531013968349e-11,1.27168577829547e-06,-5.13074262581838e-09,6.28279822866718e-05,4.86896342622941e-19,2.84827473761666e-15,0.000141764379282161
0.001,-9.17198373870991e-11,1.47151432096317e-06,-6.19411400048398e-09,6.95669072446165e-05,6.81921917503971e-19,3.94431524973126e-15,0.000157079643473424
0.00105,-1.13625167365138e-10,1.69117174680266e-06,-7.42699816960845e-09,7.66439563420598e-05,1.05367397748325e-18,5.80891951552638e-15,0.000173180305824221
0.0011,-1.41115998832869e-10,1.93358998913407e-06,-8.88086491188979e-09,8.4056843163619e-05,1.74073904373396e-18,9.00894495628212e-15,0.000190066366335757
0.00115,-1.73589221476223e-10,2.19769535121153e-06,-1.05368655947487e-08,9.18064050123595e-05,2.69236565619336e-18,1.33368039831491e-14,0.00020773782500759
0.0012,-2.11536294034106e-10,2.48436276028529e-06,-1.24103594733355e-08,9.98919595920265e-05,3.94990984538891e-18,1.89616542647139e-14,0.000226194681840081
