"time","Revolute1.phi","Revolute1.w","Revolute2.phi","Revolute2.w","Revolute3.phi","Revolute3.w","Revolute4.phi","Revolute4.w"
0,0,0,0,0,0,0,0,0
0.00022,4.79968529497753e-07,0.00436334740570985,4.79968529497753e-07,0.00436334740570985,4.79968529497753e-07,0.00436334740570985,4.79968529497753e-07,0.00436334740570985
0.00044,1.91987321215277e-06,0.00872669481141969,1.91987321215277e-06,0.00872669481141969,1.91987321215277e-06,0.00872669481141969,1.91987321215277e-06,0.00872669481141969
0.00066,4.31971430535876e-06,0.0130900422171295,4.31971430535876e-06,0.0130900422171295,4.31971430535876e-06,0.0130900422171295,4.31971430535876e-06,0.0130900422171295
0.00088,7.67949182636352e-06,0.0174533896228394,7.67949182636352e-06,0.0174533896228394,7.67949182636352e-06,0.0174533896228394,7.67949182636352e-06,0.0174533896228394
0.0011,1.19992057703522e-05,0.0218167370285492,1.19992057703522e-05,0.0218167370285492,1.19992057703522e-05,0.0218167370285492,1.19992057703522e-05,0.0218167370285492
0.00132,1.72788561423569e-05,0.0261800844342591,1.72788561423569e-05,0.0261800844342591,1.72788561423569e-05,0.0261800844342591,1.72788561423569e-05,0.0261800844342591
0.00154,2.35184429432919e-05,0.0305434318399689,2.35184429432919e-05,0.0305434318399689,2.35184429432919e-05,0.0305434318399689,2.35184429432919e-05,0.0305434318399689
0.00176,3.07179661715718e-05,0.0349067792456788,3.07179661715718e-05,0.0349067792456788,3.07179661715718e-05,0.0349067792456788,3.07179661715718e-05,0.0349067792456788
0.00198,3.88774258271965e-05,0.0392701266513886,3.88774258271965e-05,0.0392701266513886,3.88774258271965e-05,0.0392701266513886,3.88774258271965e-05,0.0392701266513886
0.0022,4.79968219101661e-05,0.0436334740570985,4.79968219101661e-05,0.0436334740570985,4.79968219101661e-05,0.0436334740570985,4.79968219101661e-05,0.0436334740570985
0.00242,5.8076154422054e-05,0.0479968214628083,5.8076154422054e-05,0.0479968214628083,5.8076154422054e-05,0.0479968214628083,5.8076154422054e-05,0.0479968214628083
0.00264,6.91154233648623e-05,0.0523601688685182,6.91154233648623e-05,0.0523601688685182,6.91154233648623e-05,0.0523601688685182,6.91154233648623e-05,0.0523601688685182
0.00286,8.11146287364722e-05,0.056723516274228,8.11146287364722e-05,0.056723516274228,8.11146287364722e-05,0.056723516274228,8.11146287364722e-05,0.056723516274228
0.00308,9.40737705368835e-05,0.0610868636799378,9.40737705368835e-05,0.0610868636799378,9.40737705368835e-05,0.0610868636799378,9.40737705368835e-05,0.0610868636799378
0.0033,0.000107992848766096,0.0654502110856477,0.000107992848766096,0.0654502110856477,0.000107992848766096,0.0654502110856477,0.000107992848766096,0.0654502110856477
0.00352,0.000122871863424111,0.0698135584913575,0.000122871863424111,0.0698135584913575,0.000122871863424111,0.0698135584913575,0.000122871863424111,0.0698135584913575
0.00374,0.000138710814510927,0.0741769058970674,0.000138710814510927,0.0741769058970674,0.000138710814510927,0.0741769058970674,0.000138710814510927,0.0741769058970674
0.00396,0.000155509702026544,0.0785402533027772,0.000155509702026544,0.0785402533027772,0.000155509702026544,0.0785402533027772,0.000155509702026544,0.0785402533027772
0.00418,0.000173268525970963,0.0829036007084871,0.000173268525970963,0.0829036007084871,0.000173268525970963,0.0829036007084871,0.000173268525970963,0.0829036007084871
0.0044,0.000191987286344184,0.0872669481141969,0.000191987286344184,0.0872669481141969,0.000191987286344184,0.0872669481141969,0.000191987286344184,0.0872669481141969
0.00462,0.000211665983146206,0.0916302955199068,0.000211665983146206,0.0916302955199068,0.000211665983146206,0.0916302955199068,0.000211665983146206,0.0916302955199068
0.00484,0.000232304616378426,0.0959936429256166,0.000232304616378426,0.0959936429256166,0.000232304616378426,0.0959936429256166,0.000232304616378426,0.0959936429256166
0.00506,0.000253903186040174,0.100356990331326,0.000253903186040174,0.100356990331326,0.000253903186040174,0.100356990331326,0.000253903186040174,0.100356990331326
0.00528,0.000276461692131047,0.104720337737036,0.000276461692131047,0.104720337737036,0.000276461692131047,0.104720337737036,0.000276461692131047,0.104720337737036
0.0055,0.000299980134651045,0.109083685142746,0.000299980134651045,0.109083685142746,0.000299980134651045,0.109083685142746,0.000299980134651045,0.109083685142746
0.00572,0.000324458513600167,0.113447032548456,0.000324458513600167,0.113447032548456,0.000324458513600167,0.113447032548456,0.000324458513600167,0.113447032548456
0.00594,0.000349896828978414,0.117810379954166,0.000349896828978414,0.117810379954166,0.000349896828978414,0.117810379954166,0.000349896828978414,0.117810379954166
0.00616,0.000376295080785786,0.122173727359876,0.000376295080785786,0.122173727359876,0.000376295080785786,0.122173727359876,0.000376295080785786,0.122173727359876
0.00638,0.000403653269022283,0.126537074765586,0.000403653269022283,0.126537074765586,0.000403653269022283,0.126537074765586,0.000403653269022283,0.126537074765586
0.0066,0.000431971393687904,0.130900422171295,0.000431971393687904,0.130900422171295,0.000431971393687904,0.130900422171295,0.000431971393687904,0.130900422171295
0.00682,0.000461249454782651,0.135263769577005,0.000461249454782651,0.135263769577005,0.000461249454782651,0.135263769577005,0.000461249454782651,0.135263769577005
0.00704,0.000491487452306521,0.139627116982715,0.000491487452306521,0.139627116982715,0.000491487452306521,0.139627116982715,0.000491487452306521,0.139627116982715
