"time","clutch.phi_rel","clutch.w_rel","inertia.phi","inertia.w","inertia1.phi","inertia1.w","inertia2.phi","inertia2.w","inertia5.phi","inertia5.w","oneWayClutch.phi_rel","oneWayClutch.w_rel","bearingFriction.mode","bearingFriction.startBackward","bearingFriction.startForward","brake.mode","brake.startBackward","brake.startForward","clutch.mode","clutch.startBackward","clutch.startForward","oneWayClutch.startForward","oneWayClutch.stuck"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1
1.59154943094921e-06,-5.35495789545202e-17,-8.5782027629522e-11,0,0,5.354957895452e-17,8.5782027629522e-11,5.354957895452e-17,8.5782027629522e-11,2.677478947726e-17,4.2891013814761e-11,0,0,0,0,0,2,0,0,2,0,0,0,1
1.59154943094921e-06,-5.35495789545202e-17,-8.5782027629522e-11,0,0,5.354957895452e-17,8.5782027629522e-11,5.354957895452e-17,8.5782027629522e-11,2.677478947726e-17,4.2891013814761e-11,0,0,0,0,0,2,0,0,2,0,0,1,1
2.37103375469214e-06,-1.63685890547927e-16,-1.85782027629522e-10,0,0,1.63685890547926e-16,1.85782027629522e-10,1.63685890547926e-16,1.85782027629522e-10,6.02076623753077e-17,4.2891013814761e-11,4.32705657973108e-17,1e-10,0,0,0,2,0,0,2,0,0,1,1
2.37103375469214e-06,-1.63685890547927e-16,-1.85782027629522e-10,0,0,1.63685890547926e-16,1.85782027629522e-10,1.63685890547926e-16,1.85782027629522e-10,6.02076623753077e-17,4.2891013814761e-11,4.32705657973108e-17,1e-10,0,0,0,2,0,0,2,0,0,0,0
0.00022,-1.33436366162837e-10,-1.52056617841677e-06,0,0,1.33436366162837e-10,1.52056617841677e-06,1.33436366162837e-10,1.52056617841677e-06,9.39453466009934e-15,4.28910138148298e-11,1.33417577093516e-10,1.52048039638914e-06,0,0,0,2,0,0,2,0,0,0,0
0.00044,-9.67918877879424e-10,-6.08215601524104e-06,0,0,9.67918877879424e-10,6.08215601524104e-06,9.67918877879424e-10,6.08215601524103e-06,1.88305576993331e-14,4.28910138146313e-11,9.67881216764026e-10,6.08207023321341e-06,0,0,0,2,0,0,2,0,0,0,0
0.00066,-3.13547099614084e-09,-1.36847935126744e-05,0,0,3.13547099614084e-09,1.36847935126744e-05,3.13547099614084e-09,1.36847935126743e-05,2.826658073855e-14,4.28910138146197e-11,3.13541446297936e-09,1.36847077306467e-05,0,0,0,2,0,0,2,0,0,0,0
0.00088,-7.27373063558472e-09,-2.43284655073611e-05,0,0,7.27373063558473e-09,2.43284655073611e-05,7.27373063558473e-09,2.43284655073611e-05,3.77026037777797e-14,4.28910138148001e-11,7.27365523037717e-09,2.43283797253335e-05,0,0,0,2,0,0,2,0,0,0,0
0.0011,-1.40743408012308e-08,-3.80131524746752e-05,0,0,1.40743408012308e-08,3.80131524746752e-05,1.40743408012308e-08,3.80131524746752e-05,4.71386268170764e-14,4.28910138152113e-11,1.40742465239772e-08,3.80130666926475e-05,0,0,0,2,0,0,2,0,0,0,0
