"time","advancedFeed_x.v","advancedSolenoid.c_par1.v","advancedSolenoid.c_par2.v","advancedSolenoid.coil1.Phi","advancedSolenoid.coil2.Phi","advancedSolenoid.x","simpleFeed_x.v","simpleSolenoid.coil.Phi","simpleSolenoid.x"
0,0,0,0,0,0,0.005,0,-0,0.005
0.002,-0.000474999417710364,5.05917757040782,6.9408223769741,-1.4184690722309e-05,-2.43854508966607e-05,0.00499915294258364,-0.000474999417710364,-1.81054316984225e-05,0.00499915294258364
0.004,-0.000474999996389559,5.45761501275101,6.54238498467713,-2.23659170005013e-05,-3.84474314068487e-05,0.0049982029426116,-0.000474999996389559,-2.71769041942693e-05,0.0049982029426116
0.006,-0.000474999998769634,5.68732081292103,6.31267918726728,-2.70857157526701e-05,-4.65574668125329e-05,0.00499725294261046,-0.000474999998769634,-3.17237062915418e-05,0.00499725294261046
0.008,-0.000475000000541788,5.81975671985169,6.18024328014983,-2.9809575381972e-05,-5.12357019100583e-05,0.00499630294261095,-0.000475000000541788,-3.4004073640899e-05,0.00499630294261095
0.01,-0.000474999999768616,5.89611569516875,6.10388430483012,-3.13824582890615e-05,-5.39351004492735e-05,0.00499535294261083,-0.000474999999768616,-3.51490593554865e-05,0.00499535294261083
0.012,-0.000475000000300796,5.9401441857472,6.0598558142535,-3.22915833899725e-05,-5.54934081622557e-05,0.0049944029426109,-0.000475000000300796,-3.57252156095219e-05,0.0049944029426109
0.014,-0.000474999999797,5.96553217004202,6.03446782995773,-3.28179079867194e-05,-5.63936797267035e-05,0.00499345294261083,-0.000474999999797,-3.60163627829487e-05,0.00499345294261083
0.016,-0.000475000000073194,5.98017225777831,6.01982774222173,-3.31234542620542e-05,-5.69144610241717e-05,0.00499250294261086,-0.000475000000073194,-3.61646936841371e-05,0.00499250294261086
0.018,-0.000474999999979823,5.98861494436813,6.01138505563187,-3.33016619532506e-05,-5.72163795310823e-05,0.00499155294261085,-0.000474999999979823,-3.62414539369526e-05,0.00499155294261085
0.02,-0.000474999999997171,5.99348394325158,6.00651605674842,-3.34064211804719e-05,-5.73920677950501e-05,0.00499060294261085,-0.000474999999997171,-3.62823444935439e-05,0.00499060294261085
0.022,-0.000475000000004244,5.99629209904698,6.00370790095302,-3.34688137813915e-05,-5.74949487520333e-05,0.00498965294261085,-0.000475000000004244,-3.63052566081451e-05,0.00498965294261085
0.024,-0.000474999999975756,5.99791174728064,6.00208825271936,-3.35067670643191e-05,-5.75558332091132e-05,0.00498870294261085,-0.000474999999975758,-3.6319156824797e-05,0.00498870294261085
0.026,-0.000474999999990125,5.99884597933591,6.00115402066409,-3.35306228568144e-05,-5.75924938245515e-05,0.00498775294261085,-0.000474999999990123,-3.63285403821368e-05,0.00498775294261085
0.028,-0.00047499999999265,5.99938488642446,6.00061511357554,-3.35463460635076e-05,-5.76151806459353e-05,0.00498680294261085,-0.000474999999992646,-3.63356599805589e-05,0.00498680294261085
0.03,-0.000474999999994843,5.99969577430165,6.00030422569835,-3.35573777920915e-05,-5.76298064022324e-05,0.00498585294261085,-0.000474999999994852,-3.63416450538266e-05,0.00498585294261085
0.032,-0.000474999999996425,5.99987513683993,6.00012486316007,-3.35657032482398e-05,-5.76397819431261e-05,0.00498490294261085,-0.000474999999996437,-3.6347061892343e-05,0.00498490294261085
0.034,-0.000474999999996538,5.99997862913193,6.00002137086807,-3.35724677578281e-05,-5.76470749442826e-05,0.00498395294261085,-0.00047499999999651,-3.63521944464041e-05,0.00498395294261085
