"time","pipe1.mediums[1].h","pipe1.mediums[1].p","pipe2.mediums[1].h","pipe2.mediums[1].p","pipe3.mediums[1].h","pipe3.mediums[1].p","splitter.medium.h","splitter.medium.p","valveOpening1.a","valveOpening1.b","valveOpening1.last","valveOpening1.nextEvent","valveOpening2.a","valveOpening2.b","valveOpening2.last","valveOpening2.nextEvent"
0,84388.1895778231,500000,84388.1895778231,500000,84388.1895778231,500000,84388.1895778231,500000,0,0,2,1,0,0,2,2
0.001,84388.1895778231,500000,84388.1895778231,500000,84388.1895778231,500000,84388.1895778231,500000,0,0,2,1,0,0,2,2
0.002,84388.1895778231,500000,84388.1895778231,500000,84388.1895778231,500000,84388.1895778231,500000,0,0,2,1,0,0,2,2
0.003,84388.1895778231,500000,84388.1895778231,500000,84388.1895778231,500000,84388.1895778231,500000,0,0,2,1,0,0,2,2
0.004,84388.1895778231,500000,84388.1895778231,500000,84388.1895778231,500000,84388.1895778231,500000,0,0,2,1,0,0,2,2
0.005,84388.1895778231,500000,84388.1895778231,500000,84388.1895778231,500000,84388.1895778231,500000,0,0,2,1,0,0,2,2
0.006,84388.1895778231,500000,84388.1895778231,500000,84388.1895778231,500000,84388.1895778231,500000,0,0,2,1,0,0,2,2
0.007,84388.1895778231,500000,84388.1895778231,500000,84388.1895778231,500000,84388.1895778231,500000,0,0,2,1,0,0,2,2
0.008,84388.1895778231,500000,84388.1895778231,500000,84388.1895778231,500000,84388.1895778231,500000,0,0,2,1,0,0,2,2
0.009,84388.1895778231,500000,84388.1895778231,500000,84388.1895778231,500000,84388.1895778231,500000,0,0,2,1,0,0,2,2
0.01,84388.1895778231,500000,84388.1895778231,500000,84388.1895778231,500000,84388.1895778231,500000,0,0,2,1,0,0,2,2
0.011,84388.1895778231,500000,84388.1895778231,500000,84388.1895778231,500000,84388.1895778231,500000,0,0,2,1,0,0,2,2
0.012,84388.1895778231,500000,84388.1895778231,500000,84388.1895778231,500000,84388.1895778231,500000,0,0,2,1,0,0,2,2
0.013,84388.1895778231,500000,84388.1895778231,500000,84388.1895778231,500000,84388.1895778231,500000,0,0,2,1,0,0,2,2
0.014,84388.1895778231,500000,84388.1895778231,500000,84388.1895778231,500000,84388.1895778231,500000,0,0,2,1,0,0,2,2
0.015,84388.1895778231,500000,84388.1895778231,500000,84388.1895778231,500000,84388.1895778231,500000,0,0,2,1,0,0,2,2
0.016,84388.1895778231,500000,84388.1895778231,500000,84388.1895778231,500000,84388.1895778231,500000,0,0,2,1,0,0,2,2
