"time","volume.medium.h","volume.medium.p"
0,107390,101325
0.000202,107391.207492531,103105.799865172
0.000404,107392.211406514,104579.053282316
0.000606,107393.047136166,105798.229832451
0.000808,107393.743648543,106807.089840864
0.00101,107394.324931501,107641.871703481
0.001212,107394.81088513,108332.638511875
0.001414,107395.217947071,108904.222687742
0.001616,107395.559717293,109377.169803376
0.001818,107395.84747086,109768.513205171
0.00202,107396.090541314,110092.353178729
0.002222,107396.296638794,110360.337528467
0.002424,107396.472132792,110582.088736283
0.002626,107396.622298363,110765.575907204
0.002828,107396.751508718,110917.405718921
0.00303,107396.863383043,111043.045735682
0.003232,107396.960911185,111147.012769395
0.003434,107397.046564823,111233.040828009
0.003636,107397.122391652,111304.223403274
0.003838,107397.190089019,111363.12470571
0.00404,107397.251061077,111411.866014414
0.004242,107397.306467505,111452.199279253
0.004444,107397.35726691,111485.572683857
0.004646,107397.404250126,111513.180957667
0.004848,107397.4480683,111536.00779853
0.00505,107397.489266385,111554.876480221
0.005252,107397.52831138,111570.492503588
0.005454,107397.56557819,111583.42224624
0.005656,107397.601371485,111594.125979973
0.005858,107397.635948538,111602.992368743
0.00606,107397.669518834,111610.337886764
0.006262,107397.702252298,111616.419244651
0.006464,107397.734293148,111621.454313693
0.006666,107397.765756283,111625.616674746
0.006868,107397.796745607,111629.063295906
0.00707,107397.827338101,111631.910475762
0.007272,107397.857608451,111634.271043789
0.007474,107397.887608561,111636.223410597
0.007676,107397.91738837,111637.843020681
0.007878,107397.946983767,111639.184091585
0.00808,107397.976426944,111640.295258205
0.008282,107398.0057431,111641.214587744
0.008484,107398.034953965,111641.974908443
0.008686,107398.064075095,111642.599721553
0.008888,107398.093121194,111643.111239822
0.00909,107398.122104968,111643.528658922
0.009292,107398.151037216,111643.868291891
0.009494,107398.179926453,111644.143005126
0.009696,107398.208784809,111644.371121205
0.009898,107398.237624913,111644.571719168
0.0101,107398.266438345,111644.732080219
0.010302,107398.295234752,111644.866777503
0.010504,107398.324019372,111644.98372386
0.010706,107398.352794977,111645.087106619
0.010908,107398.381561564,111645.176922534
0.01111,107398.410320175,111645.254744754
0.011312,107398.439070028,111645.319393347
0.011514,107398.46781654,111645.379049564
0.011716,107398.496556956,111645.429552938
0.011918,107398.525290047,111645.469046205
0.01212,107398.554017465,111645.500026367
0.012322,107398.582742476,111645.52742426
0.012524,107398.611463099,111645.548251292
0.012726,107398.640179284,111645.562429656
0.012928,107398.668893662,111645.573933307
0.01313,107398.697605761,111645.582050258
0.013332,107398.726316115,111645.587587693
0.013534,107398.755025259,111645.591352795
0.013736,107398.783733727,111645.594152748
0.013938,107398.812442053,111645.596794734
0.01414,107398.841150584,111645.599803136
0.014342,107398.869856134,111645.598363039
0.014544,107398.898561337,111645.596456427
0.014746,107398.927266466,111645.594492387
0.014948,107398.95597179,111645.59288
0.01515,107398.984677581,111645.592028353
0.015352,107399.013384109,111645.592346528
0.015554,107399.042091473,111645.593984014
0.015756,107399.070797859,111645.594201301
0.015958,107399.099504381,111645.594679288
0.01616,107399.128211039,111645.595417975
0.016362,107399.156917832,111645.596417361
0.016564,107399.18562476,111645.597677448
0.016766,107399.214331824,111645.599198234
0.016968,107399.243038799,111645.600748731
0.01717,107399.271744434,111645.600967696
0.017372,107399.300450068,111645.601186662
0.017574,107399.329155702,111645.601405627
0.017776,107399.357861336,111645.601624593
0.017978,107399.386566971,111645.601843558
0.01818,107399.415272605,111645.602062524
0.018382,107399.443978239,111645.602281489
0.018584,107399.472683874,111645.602500455
0.018786,107399.501389508,111645.60271942
0.018988,107399.530095142,111645.602938386
0.01919,107399.558800776,111645.603157352
0.019392,107399.587506411,111645.603376317
0.019594,107399.616212045,111645.603595283
0.019796,107399.644917377,111645.603698667
0.019998,107399.673621626,111645.603387373
0.0202,107399.702325875,111645.60307608
0.020402,107399.731030125,111645.602764786
0.020604,107399.759734374,111645.602453493
0.020806,107399.788438623,111645.602142199
0.021008,107399.817142872,111645.601830906
0.02121,107399.845847121,111645.601519613
0.021412,107399.87455137,111645.601208319
0.021614,107399.903255619,111645.600897026
0.021816,107399.931959868,111645.600585732
0.022018,107399.960664117,111645.600274439
0.02222,107399.989368366,111645.599963145
0.022422,107400.018072615,111645.599651852
0.022624,107400.046776864,111645.599340558
0.022826,107400.075481113,111645.599029265
0.023028,107400.104185362,111645.598717971
0.02323,107400.132889611,111645.598406678
0.023432,107400.16159386,111645.598095384
0.023634,107400.190298109,111645.597784091
0.023836,107400.219002358,111645.597472797
0.024038,107400.247706607,111645.597161504
0.02424,107400.276410856,111645.596850211
0.024442,107400.305115105,111645.596538917
0.024644,107400.333819354,111645.596227624
0.024846,107400.362523603,111645.59591633
0.025048,107400.391227852,111645.595605037
0.02525,107400.419932102,111645.595293743
0.025452,107400.448635546,111645.594947727
0.025654,107400.477337665,111645.594544596
0.025856,107400.506039785,111645.594141464
0.026058,107400.534741905,111645.593738333
0.02626,107400.563444025,111645.593335202
0.026462,107400.592146145,111645.59293207
0.026664,107400.620848265,111645.592528939
0.026866,107400.649550385,111645.592125808
0.027068,107400.678252505,111645.591722676
0.02727,107400.706954624,111645.591319545
0.027472,107400.735656744,111645.590916414
0.027674,107400.764358864,111645.590513282
0.027876,107400.793060984,111645.590110151
0.028078,107400.821763104,111645.58970702
0.02828,107400.850465224,111645.589303888
0.028482,107400.879167344,111645.588900757
0.028684,107400.907869464,111645.588497626
0.028886,107400.936571584,111645.588094494
0.029088,107400.965273703,111645.587691363
0.02929,107400.993975823,111645.587288232
0.029492,107401.022677943,111645.586885101
0.029694,107401.051380063,111645.586481969
0.029896,107401.080082183,111645.586078838
0.030098,107401.108784303,111645.585675707
0.0303,107401.137486423,111645.585272575
0.030502,107401.166188543,111645.584869444
0.030704,107401.194890662,111645.584466313
0.030906,107401.223592782,111645.584063181
0.031108,107401.252294902,111645.58366005
0.03131,107401.280997022,111645.583256919
0.031512,107401.309699142,111645.582853787
0.031714,107401.338401262,111645.582450656
0.031916,107401.367103382,111645.582047525
0.032118,107401.395805502,111645.581644393
0.03232,107401.424507622,111645.581241262
0.032522,107401.453209741,111645.580838131
0.032724,107401.481911861,111645.580434999
0.032926,107401.510613981,111645.580031868
0.033128,107401.539316101,111645.579628737
0.03333,107401.568018221,111645.579225605
0.033532,107401.596720341,111645.578822474
0.033734,107401.625422461,111645.578419343
0.033936,107401.654124581,111645.578016211
0.034138,107401.682826701,111645.57761308
0.03434,107401.71152882,111645.577209949
0.034542,107401.74023094,111645.576806817
0.034744,107401.76893306,111645.576403686
0.034946,107401.79763518,111645.576000555
0.035148,107401.8263373,111645.575597423
0.03535,107401.85503942,111645.575194292
0.035552,107401.88374154,111645.574791161
0.035754,107401.91244366,111645.574388029
0.035956,107401.941145779,111645.573984898
0.036158,107401.969847899,111645.573581767
0.03636,107401.998550019,111645.573178636
0.036562,107402.027252139,111645.572775504
0.036764,107402.055951367,111645.572366603
0.036966,107402.084649345,111645.57195521
0.037168,107402.113347323,111645.571543817
0.03737,107402.142045302,111645.571132424
0.037572,107402.17074328,111645.57072103
0.037774,107402.199441258,111645.570309637
0.037976,107402.228139236,111645.569898244
0.038178,107402.256837215,111645.56948685
0.03838,107402.285535193,111645.569075457
0.038582,107402.314233171,111645.568664064
0.038784,107402.342931149,111645.568252671
0.038986,107402.371629128,111645.567841277
0.039188,107402.400327106,111645.567429884
0.03939,107402.429025084,111645.567018491
0.039592,107402.457723062,111645.566607098
0.039794,107402.486421041,111645.566195704
0.039996,107402.515119019,111645.565784311
0.040198,107402.543816997,111645.565372918
0.0404,107402.572514975,111645.564961525
0.040602,107402.601212954,111645.564550131
0.040804,107402.629910932,111645.564138738
0.041006,107402.65860891,111645.563727345
0.041208,107402.687306888,111645.563315951
0.04141,107402.716004866,111645.562904558
