"time","controller.x","evaporator.V_l","evaporator.p"
0,0,67,100000
1.08,-2.43222977810873e-08,67.000006738579,100000.536842294
2.16,-1.94559183089957e-07,67.0000269539645,100002.147361794
3.24,-7.00753525751458e-07,67.0000606462119,100004.831656743
4.32,-1.55640255517867e-06,67.0001078153183,100008.589734258
5.4,-2.98363324733495e-06,67.0001684611975,100013.421794567
6.48,-4.94125060889211e-06,67.0002425838652,100019.327800812
7.56,-7.70783028741418e-06,67.0003301831705,100026.308091615
8.64,-1.12577025067838e-05,67.0004312591269,100034.362636212
9.72,-1.58411098808538e-05,67.0005458115457,100043.491852456
10.8,-2.14633527119014e-05,67.0006738404229,100053.695748913
11.88,-2.82725107935988e-05,67.0008153455903,100064.974694948
12.96,-3.64186425952273e-05,67.0009703268912,100077.32903502
14.04,-4.59816246760066e-05,67.0011387842422,100090.758952486
15.12,-5.70720786083438e-05,67.0013207175279,100105.264701278
16.2,-6.98488939424575e-05,67.0015161264899,100120.846843701
17.28,-8.44456000629639e-05,67.0017250109449,100137.505780041
18.36,-0.000100969865372844,67.0019473707862,100155.241745361
19.44,-0.000119545745501726,67.0021832058585,100174.055079421
20.52,-0.000140298620046714,67.0024325158267,100193.946502163
21.6,-0.000163353512165656,67.0026953004042,100214.916631179
22.68,-0.000188834121125784,67.0029715594842,100236.965703894
23.76,-0.000216864844151308,67.003261292865,100260.09415816
24.84,-0.000247561465658678,67.0035645000492,100284.303035427
25.92,-0.000281037756337944,67.0038811804706,100309.593518273
27,-0.000317421984578152,67.0042113340602,100335.96577325
28.08,-0.000356835788009851,67.0045549605218,100363.420431605
29.16,-0.000399400804263593,67.0049120595588,100391.958124584
30.24,-0.000445238670969929,67.0052826308751,100421.579483436
31.32,-0.00049447102575941,67.0056666741742,100452.285139407
32.4,-0.000547219506262588,67.0060641891597,100484.075723745
33.48,-0.000603606664301409,67.0064751752765,100516.952345423
34.56,-0.000663756425041128,67.0068996315811,100550.916831075
35.64,-0.000727788710458749,67.0073375582626,100585.968915407
36.72,-0.000795825341477084,67.0077889549726,100622.109325449
37.8,-0.000867988139018945,67.0082538213629,100659.338788229
38.88,-0.000944398924007142,67.0087321570853,100697.658030778
39.96,-0.00102517951736449,67.0092239617917,100737.067780125
41.04,-0.00111045174001379,67.0097292351336,100777.5687633
42.12,-0.00120033588371573,67.0102479763584,100819.162423986
43.2,-0.00129493611363285,67.0107801804483,100861.857763725
44.28,-0.00139438642179916,67.011325850274,100905.649805458
45.36,-0.00149880787342028,67.0118849852874,100950.539630387
46.44,-0.00160832153370183,67.0124575849404,100996.528319717
47.52,-0.00172304846784944,67.0130436486849,101043.616954648
48.6,-0.00184310974106873,67.0136431759728,101091.806616383
49.68,-0.00196862641856533,67.014256166256,101141.098386124
50.76,-0.00209971956554486,67.0148826189863,101191.493345075
51.84,-0.00223651024721294,67.0155225336157,101242.992574438
52.92,-0.00237911952877521,67.0161759095959,101295.597155414
