"time","body.w_a[1]","body.w_a[2]","body.w_a[3]","freeMotionScalarInit.angle_1","freeMotionScalarInit.angle_2","freeMotionScalarInit.angle_3","freeMotionScalarInit.r_rel_a_1","freeMotionScalarInit.r_rel_a_2","freeMotionScalarInit.r_rel_a_3","freeMotionScalarInit.v_rel_a_1","freeMotionScalarInit.v_rel_a_2","freeMotionScalarInit.v_rel_a_3"
0,0,0,0,0.78539816339745,0.78539816339745,0.78539816339745,2.88433693201482e-18,-0.0980665,5.02123659593199e-19,0,0,0
0.00022,0,0,0,0.78539816339745,0.78539816339745,0.78539816339745,2.88433785397457e-18,-0.0980665,5.02128381244427e-19,8.38130288625255e-21,4.4557479385263e-19,4.29233369769067e-20
0.00044,0,0,0,0.78539816339745,0.78539816339745,0.78539816339745,2.88434061980694e-18,-0.0980665,5.02142545958048e-19,1.67626057724432e-20,8.91149587701969e-19,8.58466739534962e-20
0.00066,0,0,0,0.78539816339745,0.78539816339745,0.78539816339745,2.88434522952513e-18,-0.0980665,5.02166153801565e-19,2.51439086586674e-20,1.33672438155309e-18,1.28770010930258e-19
0.00088,0,0,0,0.78539816339745,0.78539816339745,0.78539816339745,2.88435168312917e-18,-0.0980665,5.02199204775224e-19,3.35252115449418e-20,1.78229917540689e-18,1.71693347907277e-19
0.0011,0,0,0,0.78539816339745,0.78539816339745,0.78539816339745,2.8843599806199e-18,-0.0980665,5.02241698883298e-19,4.19065144311689e-20,2.22787396925816e-18,2.14616684884053e-19
0.00132,0,0,0,0.78539816339745,0.78539816339745,0.78539816339745,2.88437012199716e-18,-0.0980665,5.02293636124981e-19,5.02878173173656e-20,2.67344876310783e-18,2.57540021860674e-19
0.00154,0,0,0,0.78539816339745,0.78539816339745,0.78539816339745,2.88438210726089e-18,-0.0980665,5.02355016499964e-19,5.86691202035385e-20,3.11902355695622e-18,3.00463358837172e-19
0.00176,0,0,0,0.78539816339745,0.78539816339745,0.78539816339745,2.8843959364111e-18,-0.0980665,5.02425840008248e-19,6.70504230896876e-20,3.56459835080335e-18,3.43386695813549e-19
0.00198,0,0,0,0.78539816339745,0.78539816339745,0.78539816339745,2.88441160944799e-18,-0.0980665,5.02506106650939e-19,7.54317259758751e-20,4.01017314465252e-18,3.86310032790123e-19
0.0022,0,0,0,0.78539816339745,0.78539816339745,0.78539816339745,2.88442912637151e-18,-0.0980665,5.02595816427696e-19,8.3813028862082e-20,4.45574793850273e-18,4.29233369766796e-19
0.00242,0,0,0,0.78539816339745,0.78539816339745,0.78539816339745,2.88444848718161e-18,-0.0980665,5.0269496933831e-19,9.21943317482966e-20,4.90132273235334e-18,4.72156706743508e-19
0.00264,0,0,0,0.78539816339745,0.78539816339745,0.78539816339745,2.88446969187828e-18,-0.0980665,5.02803565382783e-19,1.00575634634519e-19,5.34689752620435e-18,5.15080043720258e-19
0.00286,0,0,0,0.78539816339745,0.78539816339745,0.78539816339745,2.88449274046154e-18,-0.0980665,5.02921604561114e-19,1.08956937520748e-19,5.79247232005576e-18,5.58003380697048e-19
0.00308,0,0,0,0.78539816339745,0.78539816339745,0.78539816339745,2.88451763293138e-18,-0.0980665,5.03049086873304e-19,1.17338240406986e-19,6.23804711390758e-18,6.00926717673877e-19
0.0033,0,0,0,0.78539816339745,0.78539816339745,0.78539816339745,2.8845443692878e-18,-0.0980665,5.03186012319351e-19,1.25719543293231e-19,6.68362190775981e-18,6.43850054650744e-19
0.00352,0,0,0,0.78539816339745,0.78539816339745,0.78539816339745,2.8845729495308e-18,-0.0980665,5.03332380899257e-19,1.34100846179483e-19,7.12919670161244e-18,6.8677339162765e-19
0.00374,0,0,0,0.78539816339745,0.78539816339745,0.78539816339745,2.8846033736605e-18,-0.0980665,5.03488192613605e-19,1.4248214906571e-19,7.57477149546373e-18,7.29696728604428e-19
0.00396,0,0,0,0.78539816339745,0.78539816339745,0.78539816339745,2.88463564167688e-18,-0.0980665,5.03653447462347e-19,1.50863451951915e-19,8.02034628931382e-18,7.72620065581091e-19
0.00418,0,0,0,0.78539816339745,0.78539816339745,0.78539816339745,2.88466975357989e-18,-0.0980665,5.03828145445163e-19,1.59244754838116e-19,8.46592108316368e-18,8.1554340255773e-19
