"time","input_mflow.y","input_p.y","IN_p.ports[1].m_flow","IN_p.ports[1].p","IN_p.ports[1].h_outflow","OUT_dp.ports[1].m_flow","OUT_dp.ports[1].p","OUT_dp.ports[1].h_outflow","OUT_mflow.ports[1].m_flow","OUT_mflow.ports[1].p","OUT_mflow.ports[1].h_outflow","IN_mflow.ports[1].m_flow","IN_mflow.ports[1].p","IN_mflow.ports[1].h_outflow","from_dp.port_b.m_flow","from_dp.port_b.p","from_dp.port_b.h_outflow","from_mflow.port_b.m_flow","from_mflow.port_b.p","from_mflow.port_b.h_outflow"
0,0,100000,-0,100000,293586.685237142,0,100000,293586.685237142,0,100000,293586.685237142,-0,100000,293586.685237142,-0,100000,293586.685237142,-0,100000,293586.685237142
0.0001,6.28318489376257e-07,100005.768798709,-6.28318489376884e-07,100005.768798709,293586.685237142,6.28318489376884e-07,100000,293586.685237142,6.28318489376257e-07,100000,293586.685237142,-6.28318489376257e-07,100005.768798709,293586.685237142,-6.28318489376884e-07,100000,293586.685237142,-6.28318489376257e-07,100000,293586.685237142
0.0002,1.25663673070233e-06,100011.537428739,-1.25663673070289e-06,100011.537428739,293586.685237142,1.25663673070289e-06,100000,293586.685237142,1.25663673070233e-06,100000,293586.685237142,-1.25663673070233e-06,100011.537428739,293586.685237142,-1.25663673070289e-06,100000,293586.685237142,-1.25663673070233e-06,100000,293586.685237142
0.0003,1.88495447592811e-06,100017.30588781,-1.88495447592741e-06,100017.30588781,293586.685237142,1.88495447592741e-06,100000,293586.685237142,1.88495447592811e-06,100000,293586.685237142,-1.88495447592811e-06,100017.30588781,293586.685237142,-1.88495447592741e-06,100000,293586.685237142,-1.88495447592811e-06,100000,293586.685237142
0.0004,2.51327147700373e-06,100023.074173644,-2.51327147700389e-06,100023.074173644,293586.685237142,2.51327147700389e-06,100000,293586.685237142,2.51327147700373e-06,100000,293586.685237142,-2.51327147700373e-06,100023.074173644,293586.685237142,-2.51327147700389e-06,100000,293586.685237142,-2.51327147700373e-06,100000,293586.685237142
0.0005,3.14158748587956e-06,100028.842283961,-3.14158748588032e-06,100028.842283961,293586.685237142,3.14158748588032e-06,100000,293586.685237142,3.14158748587956e-06,100000,293586.685237142,-3.14158748587956e-06,100028.842283961,293586.685237142,-3.14158748588032e-06,100000,293586.685237142,-3.14158748587956e-06,100000,293586.685237142
0.0006,3.76990225450641e-06,100034.610216484,-3.76990225450713e-06,100034.610216484,293586.685237142,3.76990225450713e-06,100000,293586.685237142,3.76990225450641e-06,100000,293586.685237142,-3.76990225450641e-06,100034.610216484,293586.685237142,-3.76990225450713e-06,100000,293586.685237142,-3.76990225450641e-06,100000,293586.685237142
0.0007,4.39821553483556e-06,100040.377968934,-4.39821553483563e-06,100040.377968934,293586.685237142,4.39821553483563e-06,100000,293586.685237142,4.39821553483556e-06,100000,293586.685237142,-4.39821553483556e-06,100040.377968934,293586.685237142,-4.39821553483563e-06,100000,293586.685237142,-4.39821553483556e-06,100000,293586.685237142
0.0008,5.02652707881886e-06,100046.145539033,-5.02652707881961e-06,100046.145539033,293586.685237142,5.02652707881961e-06,100000,293586.685237142,5.02652707881886e-06,100000,293586.685237142,-5.02652707881886e-06,100046.145539033,293586.685237142,-5.02652707881961e-06,100000,293586.685237142,-5.02652707881886e-06,100000,293586.685237142
0.0009,5.65483663840888e-06,100051.912924504,-5.65483663840894e-06,100051.912924504,293586.685237142,5.65483663840894e-06,100000,293586.685237142,5.65483663840888e-06,100000,293586.685237142,-5.65483663840888e-06,100051.912924504,293586.685237142,-5.65483663840894e-06,100000,293586.685237142,-5.65483663840888e-06,100000,293586.685237142
0.001,6.28314396555895e-06,100057.680123069,-6.28314396555916e-06,100057.680123069,293586.685237142,6.28314396555916e-06,100000,293586.685237142,6.28314396555895e-06,100000,293586.685237142,-6.28314396555895e-06,100057.680123069,293586.685237142,-6.28314396555916e-06,100000,293586.685237142,-6.28314396555895e-06,100000,293586.685237142
