"time","body1.frame_a.r_0[1]","body1.frame_a.r_0[2]","body1.frame_a.r_0[3]","body1.v_0[1]","body1.v_0[2]","body1.v_0[3]","body1.w_a[1]","body1.w_a[2]","body1.w_a[3]","p2.s","p2.v"
0,0.3,-0.2,0,0,0,0,0,0,0.0349065850398866,0.1,0
0.002,0.30000000007176,-0.200013590399692,-1.05229411057644e-31,8.44461664048415e-08,-0.0135862600353157,-2.53458770576178e-28,-1.07754726973709e-27,-4.3678276918867e-48,0.0349061628896096,0.100019612888983,0.0196127999099882
0.004,0.300000000511383,-0.200054288182305,2.55534561529163e-29,3.3984000674745e-07,-0.0271165423894881,1.49495656969174e-26,8.12591322031936e-26,-2.28125259741013e-47,0.0349048861286487,0.100078448524652,0.0392230523934363
0.006,0.300000001744533,-0.200121953250116,9.21558061560783e-28,7.70112227458108e-07,-0.0405891411903363,5.39022942139179e-25,2.75551208165295e-24,-2.9270848028335e-47,0.0349027349770804,0.100176495762066,0.0588278740404495
0.008,0.300000004035154,-0.200216498232645,2.31266441436789e-27,1.37774018778048e-06,-0.054003031000227,7.70521020433335e-25,6.76889589336127e-24,-3.09224263046093e-47,0.0348996969229435,0.100313743920425,0.0784255146117338
0.01,0.300000007704395,-0.200337816540364,5.2686465850662e-27,2.16575725489841e-06,-0.0673569869994196,1.45371230100631e-24,1.19416334467224e-23,-2.11764230552062e-45,0.0348957566130108,0.100490177414536,0.0980138715651554
0.012,0.300000013133313,-0.200485781384042,1.15006326348302e-26,3.13778073620613e-06,-0.0806495846526217,3.40441835495628e-24,1.84424302253595e-23,-6.01164101600302e-45,0.0348908956958164,0.100705774535979,0.117590484370115
0.014,0.300000020692191,-0.200660269151354,2.16257482444901e-26,4.29735094894088e-06,-0.0938794816662743,5.54209037576084e-24,2.51715852254578e-23,-6.85158239542745e-45,0.0348850961472978,0.100960509555936,0.137153012284541
0.016,0.300000030744052,-0.200861158391372,3.5918274690754e-26,5.64795596019711e-06,-0.107045399435834,7.61775928315815e-24,3.19120951025706e-23,-7.1366418360397e-45,0.0348783401507177,0.101254353231407,0.156699205733027
0.018,0.300000043679527,-0.201088318149367,4.97717127070397e-26,7.19337915537897e-06,-0.120146027082703,7.78246902028345e-24,3.67579106565356e-23,-6.85161562067539e-45,0.0348706082744362,0.101587267311356,0.176226723787574
0.02,0.300000059830084,-0.201341637350889,5.99684791934972e-26,8.93682611028163e-06,-0.133180241911495,4.67224835801667e-24,3.83036087589983e-23,-6.17184558843504e-45,0.0348618840711595,0.101959220423482,0.195733567377353
0.022,0.30000007965608,-0.201620961734301,6.55053564297755e-26,1.08827475412901e-05,-0.146146570364779,1.39360242922984e-24,3.93287012261126e-23,3.06309891146862e-45,0.0348521445510382,0.102370160426662,0.215217067223207
0.024,0.300000103566094,-0.201926154387368,6.41776056795662e-26,1.30350940704494e-05,-0.159043672124675,-1.19303842207358e-24,4.0505587830633e-23,2.49084362049222e-44,0.0348413693658252,0.102820044294688,0.234674813648732
0.026,0.300000131978988,-0.202257075049305,5.78897681271607e-26,1.53979033880153e-05,-0.171870278344213,-3.16297713944543e-24,4.16453043935427e-23,4.11806969036955e-44,0.0348295375223681,0.103308817487972,0.254104468361345
0.028,0.300000165333528,-0.202613576845158,5.11647498153684e-26,1.79753985698308e-05,-0.18462512352943,-4.49811923275359e-24,4.26556856263665e-23,2.24295801225527e-44,0.0348166269451989,0.103836416557441,0.273503661787545
0.03,0.30000020405151,-0.202995518687521,4.29464348096745e-26,2.07716404616989e-05,-0.197306906864381,-4.7586688331019e-24,4.38873710570102e-23,-2.39751379910779e-44,0.0348026165567013,0.104402789055118,0.292870011268556
0.032,0.300000248596891,-0.203402746474315,3.31524811607597e-26,2.37910263671576e-05,-0.209914469327575,-4.99979624971721e-24,4.46207283084294e-23,-5.23693766162108e-44,0.0347874829894893,0.105007851214558,0.312201241740827
0.034,0.300000299396251,-0.203835117443993,2.26974477137409e-26,2.70376649340911e-05,-0.222446518397353,-4.88683161410917e-24,4.5080606424261e-23,-6.97683803302842e-44,0.0347712048787159,0.105651547608446,0.331494971920142
0.036,0.300000356934145,-0.204292472177073,1.37807365547313e-26,3.05160594630214e-05,-0.234901922432467,-3.74374470455935e-24,4.55209840245588e-23,-8.44575060464484e-44,0.0347537580640514,0.106333784437363,0.350748932746967
0.038,0.30000042165827,-0.204774661705733,7.36300824242839e-27,3.42304702564081e-05,-0.247279454392101,-1.4836399489003e-24,4.59546764539245e-23,-9.15493028526142e-44,0.0347351201161551,0.107054491465482,0.369960791641121
0.04,0.300000494046295,-0.205281529036495,4.12797239110109e-27,3.81853220308887e-05,-0.259577939235878,1.60363393358952e-24,4.64403847601687e-23,-8.98352993628297e-44,0.0347152673826724,0.107813582327924,0.389128238407716
0.042,0.30000057459717,-0.205812911500273,4.50235362946758e-27,4.23851546698777e-05,-0.271796237639244,4.92053237588197e-24,4.70623260637799e-23,-8.03883781709613e-44,0.0346941753516402,0.108610959351443,0.408248977368762
0.044,0.300000663797247,-0.206368649763151,9.12981274441062e-27,4.68344415716519e-05,-0.283933190430797,8.09482774464148e-24,4.78972005622473e-23,-6.3286299102734e-44,0.0346718200105293,0.109446531402474,0.427320705732264
0.046,0.300000762148756,-0.206948580287638,1.83805887684035e-26,5.15377399309521e-05,-0.295987663453681,1.04703076995588e-23,4.90311826241326e-23,-3.98610537146271e-44,0.0346481767173345,0.110320199104977,0.446341129672567
0.048,0.300000870162465,-0.207552537274185,3.24777849999427e-26,5.64996520356918e-05,-0.307958536012054,1.1237939952296e-23,5.05555449289112e-23,-1.21195700058337e-44,0.0346232204913125,0.111231858647405,0.465307960189044
0.05,0.30000098836471,-0.20818035235309,5.26881516374042e-26,6.17247463004302e-05,-0.319844753072831,1.34248214871273e-23,5.20544890255949e-23,1.82689376819353e-44,0.0345969261368681,0.112181395523082,0.484218977489034
0.052,0.30000111728281,-0.20883185522409,7.88500726979175e-26,6.72177211974548e-05,-0.331645216897126,1.56132930550448e-23,5.36683868705576e-23,4.7870750994228e-44,0.0345692679863715,0.113168697524917,0.503071897331666
0.054,0.300001257455622,-0.209506873193515,1.111624583987e-25,7.298328662672e-05,-0.343358865462042,1.7933469353029e-23,5.53243574369167e-23,7.3008934487e-44,0.0345402200862708,0.114193645341671,0.521864467749235
0.056,0.30000140943095,-0.210205231287735,1.49746278458572e-25,7.90261929926832e-05,-0.354984653239087,2.05944391394443e-23,5.69248563341994e-23,8.93904603985682e-44,0.0345097561514746,0.115256114862863,0.540594445340302
0.058,0.300001573769631,-0.210926752903463,1.93435538574861e-25,8.53511150015754e-05,-0.366521531541679,2.32195447939736e-23,5.83371906219306e-23,9.9295862224148e-44,0.0344778500154574,0.116355979332209,0.559259575074209
0.06,0.300001751046813,-0.211671260010566,2.39401203230369e-25,9.1962615213e-05,-0.377968442463447,2.46448307045953e-23,5.93894400183194e-23,1.13828298750445e-43,0.0344444757711558,0.117493110010997,0.577857584078707
0.062,0.300001941835824,-0.212438570607145,2.87870456442728e-25,9.8865601418126e-05,-0.389324394944388,2.54482437454147e-23,5.99216402214087e-23,1.2469083856532e-43,0.0344096060029104,0.11866736785365,0.596386259596958
0.064,0.300002146723957,-0.213228501209796,3.37508797344973e-25,0.00010606487908468,-0.400588390338396,2.54747528484548e-23,5.97356988604306e-23,1.31803031701737e-43,0.034373213516551,0.119878611653377,0.614843372704823
0.066,0.300002366307889,-0.214040866130115,3.86761679675967e-25,0.000113565281385078,-0.411759444038119,2.45553758641061e-23,5.86099464114164e-23,1.35277468755863e-43,0.0343352708367552,0.121126695675616,0.633226700473276
0.068,0.300002601196773,-0.214875480907371,4.3573307548e-25,0.000121371285784711,-0.422836596252048,2.32316619261694e-23,5.71684415824421e-23,1.36356955517521e-43,0.0342957516800508,0.122411471299542,0.651534060730982
0.07,0.300002852006841,-0.215732156323063,4.82909883580024e-25,0.000129487682584704,-0.433818893212856,2.14924346899331e-23,5.5365191276634e-23,1.35780391497882e-43,0.0342546283863885,0.123732784155828,0.669763251449895
0.072,0.300003119363234,-0.21661070043567,5.2627546845556e-25,0.000137919347650487,-0.444705393565637,1.92032370616761e-23,5.29994407276295e-23,1.34338290291441e-43,0.0342118727922794,0.125090475099658,0.687912071351157
0.074,0.300003403901314,-0.217510920024976,5.64100076942862e-25,0.000146671081089073,-0.455495172902417,1.64111614050807e-23,5.00814388415737e-23,1.33267101301198e-43,0.0341674568505703,0.126484380901408,0.705978334531653
0.076,0.300003706265862,-0.218432620331803,5.95244215418911e-25,0.000155747636197569,-0.466187323061926,1.32327838577625e-23,4.66027224933249e-23,1.33449330750453e-43,0.034121352522496,0.127914334131289,0.723959868025309
0.078,0.300004027110432,-0.219375609131135,6.24841549543414e-25,0.000165153263579238,-0.476780965822744,1.02711536477721e-23,4.22985339766158e-23,1.30879066808755e-43,0.0340735335544253,0.129380165177648,0.74185455457713
0.08,0.30000436709909,-0.220339685847487,6.49112440158273e-25,0.000174892929406256,-0.487275216310966,7.5014687921195e-24,3.72827149891397e-23,1.2877949758726e-43,0.0340239707298464,0.130881696853449,0.759660218337746
0.082,0.300004726905004,-0.221324650368733,6.67661182166033e-25,0.000184971328931479,-0.497669212630843,5.17340016856565e-24,3.15336012459768e-23,1.27790751282669e-43,0.0339726357140715,0.132418748763675,0.777374717422252
0.084,0.300005107210827,-0.222330300677738,6.80171609542477e-25,0.000195393151568008,-0.507962107902726,3.56862772604202e-24,2.50321679022521e-23,1.2860652478666e-43,0.0339195000211253,0.133991136131761,0.794995919038693
0.086,0.300005508706322,-0.22335643503743,6.86508009964691e-25,0.000206162819707946,-0.518153076300298,1.98629433110733e-24,1.8128005889508e-23,1.3033488812419e-43,0.033864536041537,0.135598670998192,0.81252172126327
0.088,0.300005932090263,-0.22440285024177,6.86634348078828e-25,0.000217284697783939,-0.528241308218093,-4.4490460188895e-25,1.12463775418919e-23,1.31810372339112e-43,0.0338077162196476,0.137241161261093,0.82995003561046
