"time","mass.s","mass.v","stop1.s","stop1.v","stop2.s","stop2.v","stop1.mode","stop1.startBackward","stop1.startForward","stop2.mode","stop2.startBackward","stop2.startForward","supportFriction.mode","supportFriction.startBackward","supportFriction.startForward"
0,0,0,0,0,0,-5,0,0,0,-1,0,0,0,0,0
0.0005,0,0,0,0,-0.00251455959613202,-5.05817138313428,0,0,0,-1,0,0,0,0,0
0.001,0,0,0,0,-0.00505797566274485,-5.11568028650101,0,0,0,-1,0,0,0,0,0
0.0015,0,0,0,0,-0.00762995492496925,-5.17252070821723,0,0,0,-1,0,0,0,0,0
0.002,0,0,0,0,-0.0102301770936111,-5.22868621618555,0,0,0,-1,0,0,0,0,0
0.0025,0,0,0,0,-0.0128583093130074,-5.28417026226714,0,0,0,-1,0,0,0,0,0
0.003,0,0,0,0,-0.0155140365382865,-5.3389668443197,0,0,0,-1,0,0,0,0,0
0.0035,0,0,0,0,-0.0181970448680831,-5.39306998443891,0,0,0,-1,0,0,0,0,0
0.004,0,0,0,0,-0.0209069383133054,-5.44647243765532,0,0,0,-1,0,0,0,0,0
0.0045,0,0,0,0,-0.0236433754419219,-5.4991678092577,0,0,0,-1,0,0,0,0,0
0.005,0,0,0,0,-0.0264059845553198,-5.55114984675176,0,0,0,-1,0,0,0,0,0
0.0055,0,0,0,0,-0.0291944071832229,-5.60241203367728,0,0,0,-1,0,0,0,0,0
0.006,0,0,0,0,-0.0320082734750954,-5.65294910428242,0,0,0,-1,0,0,0,0,0
0.0065,0,0,0,0,-0.034847220101294,-5.70275483332866,0,0,0,-1,0,0,0,0,0
0.007,0,0,0,0,-0.0377108820861533,-5.75182323777378,0,0,0,-1,0,0,0,0,0
0.0075,0,0,0,0,-0.0405988935205017,-5.80014835926064,0,0,0,-1,0,0,0,0,0
0.008,0,0,0,0,-0.0435108627142555,-5.84772492116566,0,0,0,-1,0,0,0,0,0
0.0085,0,0,0,0,-0.0464464314766453,-5.8945467610313,0,0,0,-1,0,0,0,0,0
0.009,0,0,0,0,-0.0494052300588115,-5.94060802203459,0,0,0,-1,0,0,0,0,0
0.0095,0,0,0,0,-0.0523868672567866,-5.98590378857107,0,0,0,-1,0,0,0,0,0
0.01,0,0,0,0,-0.0553909421694241,-6.03042957044376,0,0,0,-1,0,0,0,0,0
0.0105,0,0,0,0,-0.058417093060237,-6.0741791593333,0,0,0,-1,0,0,0,0,0
0.011,0,0,0,0,-0.0614649415731772,-6.11714707600723,0,0,0,-1,0,0,0,0,0
0.0115,0,0,0,0,-0.0645340576047233,-6.15932985718456,0,0,0,-1,0,0,0,0,0
0.012,0,0,0,0,-0.0676240650792616,-6.20072193479282,0,0,0,-1,0,0,0,0,0
0.0125,0,0,0,0,-0.0707345809049314,-6.24131801409491,0,0,0,-1,0,0,0,0,0
0.013,0,0,0,0,-0.0738652044347528,-6.28111349738759,0,0,0,-1,0,0,0,0,0
0.0135,0,0,0,0,-0.0770155044638593,-6.32010500988038,0,0,0,-1,0,0,0,0,0
0.014,0,0,0,0,-0.0801851037586648,-6.35828701687662,0,0,0,-1,0,0,0,0,0
0.0145,0,0,0,0,-0.0833736049549065,-6.39565478930021,0,0,0,-1,0,0,0,0,0
0.015,0,0,0,0,-0.0865805783182022,-6.43220502660232,0,0,0,-1,0,0,0,0,0
0.0155,0,0,0,0,-0.0898056137901388,-6.46793355991301,0,0,0,-1,0,0,0,0,0
0.016,0,0,0,0,-0.0930483152415933,-6.50283560564817,0,0,0,-1,0,0,0,0,0
0.0165,0,0,0,0,-0.0963082745464178,-6.53690693027803,0,0,0,-1,0,0,0,0,0
0.017,0,0,0,0,-0.0995850528323193,-6.5701449141967,0,0,0,-1,0,0,0,0,0
0.0175,0,0,0,0,-0.102878244889881,-6.60254517076966,0,0,0,-1,0,0,0,0,0
0.018,0,0,0,0,-0.106187431716655,-6.63410403738486,0,0,0,-1,0,0,0,0,0
0.0185,0,0,0,0,-0.109512192401137,-6.66481795164035,0,0,0,-1,0,0,0,0,0
0.019,0,0,0,0,-0.112852104122764,-6.69468345134426,0,0,0,-1,0,0,0,0,0
0.0195,0,0,0,0,-0.116206742151917,-6.7236971745148,0,0,0,-1,0,0,0,0,0
0.02,0,0,0,0,-0.119575679849917,-6.75185585938027,0,0,0,-1,0,0,0,0,0
0.0205,0,0,0,0,-0.122958486927791,-6.77915691386784,0,0,0,-1,0,0,0,0,0
0.021,0,0,0,0,-0.126354733455219,-6.80559710443753,0,0,0,-1,0,0,0,0,0
0.0215,0,0,0,0,-0.129763986870915,-6.83117353386721,0,0,0,-1,0,0,0,0,0
0.022,0,0,0,0,-0.133185812573866,-6.855883447881,0,0,0,-1,0,0,0,0,0
0.0225,0,0,0,0,-0.136619774022954,-6.87972420256782,0,0,0,-1,0,0,0,0,0
