"time","dLATRAM.dataOut[1]","dLATRAM.dataOut[2]"
0,2,2
0.08,2,2
0.16,2,2
0.24,2,2
0.32,2,2
0.4,2,2
0.48,2,2
0.56,2,2
0.64,2,2
0.72,2,2
0.8,2,2
0.88,2,2
0.96,2,2
1.04,2,2
1.12,2,2
1.2,2,2
1.28,2,2
1.36,2,2
1.44,2,2
1.52,2,2
1.6,2,2
1.68,2,2
1.76,2,2
1.84,2,2
1.92,2,2
2,2,2
2.08,2,2
2.16,2,2
2.24,2,2
2.32,2,2
2.4,2,2
2.48,2,2
2.56,2,2
2.64,2,2
2.72,2,2
2.8,2,2
2.88,2,2
2.96,2,2
3.04,2,2
3.12,2,2
3.2,2,2
3.28,2,2
3.36,2,2
3.44,2,2
3.52,2,2
3.6,2,2
3.68,2,2
3.76,2,2
3.84,2,2
3.92,2,2
4,2,2
4.08,2,2
4.16,2,2
4.24,2,2
4.32,2,2
4.4,2,2
4.48,2,2
4.56,2,2
4.64,2,2
4.72,2,2
4.8,2,2
4.88,2,2
4.96,2,2
5,2,2
5,2,2
5.04,2,2
5.12,2,2
5.2,2,2
5.28,2,2
5.36,2,2
5.44,2,2
5.52,2,2
5.6,2,2
5.68,2,2
5.76,2,2
5.84,2,2
5.92,2,2
6,2,2
6.08,2,2
6.16,2,2
6.24,2,2
6.32,2,2
6.4,2,2
6.48,2,2
6.56,2,2
6.64,2,2
6.72,2,2
6.8,2,2
6.88,2,2
6.96,2,2
7.04,2,2
7.12,2,2
7.2,2,2
7.28,2,2
7.36,2,2
7.44,2,2
7.52,2,2
7.6,2,2
7.68,2,2
7.76,2,2
7.84,2,2
7.92,2,2
8,2,2
8.08,2,2
8.16,2,2
8.24,2,2
8.32,2,2
8.4,2,2
8.48,2,2
8.56,2,2
8.64,2,2
8.72,2,2
8.8,2,2
8.88,2,2
8.96,2,2
9.04,2,2
9.12,2,2
9.2,2,2
9.28,2,2
9.36,2,2
9.44,2,2
9.52,2,2
9.6,2,2
9.68,2,2
9.76,2,2
9.84,2,2
9.92,2,2
10,2,2
10,2,2
10.08,2,2
10.16,2,2
10.24,2,2
10.32,2,2
10.4,2,2
10.48,2,2
10.56,2,2
10.64,2,2
10.72,2,2
10.8,2,2
10.88,2,2
10.96,2,2
11.04,2,2
11.12,2,2
11.2,2,2
11.28,2,2
