"time","V","medium.h","medium.p"
0,0.1,100000,100000
0.0002,0.1,100000.022686226,100002.625811749
0.0004,0.1,100000.045372453,100005.251624108
0.0006,0.1,100000.068058681,100007.877437077
0.0008,0.1,100000.090744909,100010.503250657
0.001,0.1,100000.113431138,100013.129064847
0.0012,0.1,100000.136117367,100015.754879648
0.0014,0.1,100000.158803597,100018.380695059
0.0016,0.1,100000.181489828,100021.00651108
0.0018,0.1,100000.204176059,100023.632327712
0.002,0.1,100000.22686229,100026.258144954
0.0022,0.1,100000.249548523,100028.883962807
0.0024,0.1,100000.272234756,100031.50978127
0.0026,0.1,100000.29492099,100034.135600343
0.0028,0.1,100000.317607224,100036.761420027
0.003,0.1,100000.340293459,100039.387240321
0.0032,0.1,100000.362979694,100042.013061226
0.0034,0.1,100000.38566593,100044.638882741
0.0036,0.1,100000.408352167,100047.264704866
0.0038,0.1,100000.431038404,100049.890527602
0.004,0.1,100000.453724642,100052.516350948
0.0042,0.1,100000.476410881,100055.142174905
0.0044,0.1,100000.49909712,100057.767999472
0.0046,0.1,100000.52178336,100060.393824649
0.0048,0.1,100000.5444696,100063.019650437
0.005,0.1,100000.567155841,100065.645476836
0.0052,0.1,100000.589842083,100068.271303844
0.0054,0.1,100000.612528325,100070.897131463
0.0056,0.1,100000.635214568,100073.522959693
0.0058,0.1,100000.657900811,100076.148788533
0.006,0.1,100000.680587055,100078.774617983
0.0062,0.1,100000.7032733,100081.400448044
0.0064,0.1,100000.725959545,100084.026278715
0.0066,0.1,100000.748645791,100086.652109996
0.0068,0.1,100000.771332037,100089.277941888
0.007,0.1,100000.794018285,100091.90377439
0.0072,0.1,100000.816704532,100094.529607503
0.0074,0.1,100000.839390781,100097.155441226
0.0076,0.1,100000.86207703,100099.78127556
0.0078,0.1,100000.884763279,100102.407110504
0.008,0.1,100000.907449529,100105.032946058
0.0082,0.1,100000.93013578,100107.658782223
0.0084,0.1,100000.952822031,100110.284618998
0.0086,0.1,100000.975508283,100112.910456383
0.0088,0.1,100000.998194536,100115.536294379
0.009,0.1,100001.020880789,100118.162132985
0.0092,0.1,100001.043567043,100120.787972202
0.0094,0.1,100001.066253297,100123.413812029
0.0096,0.1,100001.088939553,100126.039652467
0.0098,0.1,100001.111625808,100128.665493515
0.01,0.1,100001.134312065,100131.291335173
0.0102,0.1,100001.156998321,100133.917177442
0.0104,0.1,100001.179684579,100136.543020321
0.0106,0.1,100001.202370837,100139.16886381
0.0108,0.1,100001.225057096,100141.79470791
0.011,0.1,100001.247743355,100144.420552621
0.0112,0.1,100001.270429615,100147.046397941
0.0114,0.1,100001.293115876,100149.672243872
0.0116,0.1,100001.315802137,100152.298090414
0.0118,0.1,100001.338488399,100154.923937566
0.012,0.1,100001.361174661,100157.549785328
0.0122,0.1,100001.383860924,100160.175633701
0.0124,0.1,100001.406547188,100162.801482684
0.0126,0.1,100001.429233452,100165.427332278
0.0128,0.1,100001.451919717,100168.053182482
0.013,0.1,100001.474605982,100170.679033296
0.0132,0.1,100001.497292248,100173.304884721
0.0134,0.1,100001.519978515,100175.930736756
0.0136,0.1,100001.542664782,100178.556589402
0.0138,0.1,100001.56535105,100181.182442658
0.014,0.1,100001.588037319,100183.808296524
0.0142,0.1,100001.610723588,100186.434151001
0.0144,0.1,100001.633409858,100189.060006088
0.0146,0.1,100001.656096128,100191.685861785
0.0148,0.1,100001.678782399,100194.311718093
0.015,0.1,100001.701468671,100196.937575012
0.0152,0.1,100001.724154943,100199.56343254
0.0154,0.1,100001.746841216,100202.18929068
0.0156,0.1,100001.769527489,100204.815149429
0.0158,0.1,100001.792213763,100207.441008789
0.016,0.1,100001.814900038,100210.066868759
0.0162,0.1,100001.837586313,100212.69272934
0.0164,0.1,100001.860272589,100215.318590531
0.0166,0.1,100001.882958865,100217.944452333
0.0168,0.1,100001.905645142,100220.570314745
0.017,0.1,100001.92833142,100223.196177767
0.0172,0.1,100001.951017698,100225.8220414
0.0174,0.1,100001.973703977,100228.447905643
0.0176,0.1,100001.996390257,100231.073770497
0.0178,0.1,100002.019076537,100233.699635961
0.018,0.1,100002.041762818,100236.325502035
0.0182,0.1,100002.064449099,100238.95136872
0.0184,0.1,100002.087135381,100241.577236015
0.0186,0.1,100002.109821664,100244.203103921
0.0188,0.1,100002.132507947,100246.828972437
0.019,0.1,100002.155194231,100249.454841563
0.0192,0.1,100002.177880515,100252.0807113
0.0194,0.1,100002.2005668,100254.706581647
0.0196,0.1,100002.223253086,100257.332452605
0.0198,0.1,100002.245939372,100259.958324173
0.02,0.1,100002.268625659,100262.584196351
0.0202,0.1,100002.291311947,100265.21006914
0.0204,0.1,100002.313998235,100267.835942539
0.0206,0.1,100002.336684523,100270.461816549
0.0208,0.1,100002.359370813,100273.087691169
0.021,0.1,100002.382057103,100275.713566399
0.0212,0.1,100002.404743393,100278.33944224
0.0214,0.1,100002.427429684,100280.965318691
0.0216,0.1,100002.450115976,100283.591195752
0.0218,0.1,100002.472802269,100286.217073424
0.022,0.1,100002.495488562,100288.842951707
0.0222,0.1,100002.518174855,100291.4688306
0.0224,0.1,100002.540861149,100294.094710103
0.0226,0.1,100002.563547444,100296.720590217
0.0228,0.1,100002.58623374,100299.346470941
0.023,0.1,100002.608920036,100301.972352275
