"time","zeta_TOT[1]","zeta_TOT[2]","zeta_TOT[3]","rho","input_mdot[1]","input_mdot[2]","input_mdot[3]","input_dp[1]","input_dp[2]","input_dp[3]","M_FLOW[1]","M_FLOW[2]","M_FLOW[3]","DP[1]","DP[2]","DP[3]","DP_plot[1]","DP_plot[2]","DP_plot[3]","input_DP.y"
0.0021,0.01,0.1,1,1.2,0.458334035780899,0.144937948224475,0.0458334035780899,14.1897,14.1897,14.1897,0.458334035780899,0.144937948224475,0.0458334035780899,14.1897,14.1897,14.1897,14.1897,14.1897,14.1897,14.1897
0.0022,0.01,0.1,1,1.2,0.469119841720568,0.148348719541468,0.0469119841720568,14.8654,14.8654,14.8654,0.469119841720568,0.148348719541468,0.0469119841720568,14.8654,14.8654,14.8654,14.8654,14.8654,14.8654,14.8654
0.0023,0.01,0.1,1,1.2,0.479663177069759,0.151682814925309,0.0479663177069759,15.5411,15.5411,15.5411,0.479663177069759,0.151682814925309,0.0479663177069759,15.5411,15.5411,15.5411,15.5411,15.5411,15.5411,15.5411
0.0024,0.01,0.1,1,1.2,0.489979694454147,0.154945184170848,0.0489979694454147,16.2168,16.2168,16.2168,0.489979694454147,0.154945184170848,0.0489979694454147,16.2168,16.2168,16.2168,16.2168,16.2168,16.2168,16.2168
0.0025,0.01,0.1,1,1.2,0.500083431557278,0.158140266383392,0.0500083431557278,16.8925,16.8925,16.8925,0.500083431557278,0.158140266383392,0.0500083431557278,16.8925,16.8925,16.8925,16.8925,16.8925,16.8925,16.8925
0.0026,0.01,0.1,1,1.2,0.509987035187001,0.161272060834736,0.0509987035187001,17.5682,17.5682,17.5682,0.509987035187001,0.161272060834736,0.0509987035187001,17.5682,17.5682,17.5682,17.5682,17.5682,17.5682,17.5682
0.0027,0.01,0.1,1,1.2,0.519701946888359,0.164344185659107,0.051970194688836,18.2439,18.2439,18.2439,0.519701946888359,0.164344185659107,0.0519701946888359,18.2439,18.2439,18.2439,18.2439,18.2439,18.2439,18.2439
0.0028,0.01,0.1,1,1.2,0.529238557873739,0.167359926846386,0.0529238557873739,18.9196,18.9196,18.9196,0.529238557873739,0.167359926846386,0.0529238557873739,18.9196,18.9196,18.9196,18.9196,18.9196,18.9196,18.9196
0.0029,0.01,0.1,1,1.2,0.538606339250662,0.170322279423744,0.0538606339250662,19.5953,19.5953,19.5953,0.538606339250662,0.170322279423744,0.0538606339250662,19.5953,19.5953,19.5953,19.5953,19.5953,19.5953,19.5953
0.003,0.01,0.1,1,1.2,0.547813952197024,0.17323398229612,0.0547813952197024,20.271,20.271,20.271,0.547813952197024,0.17323398229612,0.0547813952197024,20.271,20.271,20.271,20.271,20.271,20.271,20.271
