"time","SourceP1.ports[1].m_flow","SourceP1.ports[1].p","SourceP1.ports[1].h_outflow","V1.port_b.m_flow","V1.port_b.p","V1.port_b.h_outflow","V1.minLimiter.y","SinkP1.ports[1].m_flow","SinkP1.ports[1].p","SinkP1.ports[1].h_outflow","downstreamPressure.y","const.y"
0,-0.999439098812329,200000,105020.677377917,-0.999439098812329,100000,105020.677377917,0.5,0.999439098812329,100000,84011.8111671368,100000,0.5
0.0004,-0.999439098812329,200000,105020.677377917,-0.999439098812329,100000,105020.677377917,0.5,0.999439098812329,100000,84011.8111671368,100000,0.5
0.0008,-0.999439098812329,200000,105020.677377917,-0.999439098812329,100000,105020.677377917,0.5,0.999439098812329,100000,84011.8111671368,100000,0.5
0.0012,-0.999439098812329,200000,105020.677377917,-0.999439098812329,100000,105020.677377917,0.5,0.999439098812329,100000,84011.8111671368,100000,0.5
0.0016,-0.999439098812329,200000,105020.677377917,-0.999439098812329,100000,105020.677377917,0.5,0.999439098812329,100000,84011.8111671368,100000,0.5
0.002,-0.999439098812329,200000,105020.677377917,-0.999439098812329,100000,105020.677377917,0.5,0.999439098812329,100000,84011.8111671368,100000,0.5
0.0024,-0.999439098812329,200000,105020.677377917,-0.999439098812329,100000,105020.677377917,0.5,0.999439098812329,100000,84011.8111671368,100000,0.5
0.0028,-0.999439098812329,200000,105020.677377917,-0.999439098812329,100000,105020.677377917,0.5,0.999439098812329,100000,84011.8111671368,100000,0.5
0.0032,-0.999439098812329,200000,105020.677377917,-0.999439098812329,100000,105020.677377917,0.5,0.999439098812329,100000,84011.8111671368,100000,0.5
0.0036,-0.999439098812329,200000,105020.677377917,-0.999439098812329,100000,105020.677377917,0.5,0.999439098812329,100000,84011.8111671368,100000,0.5
0.004,-0.999439098812329,200000,105020.677377917,-0.999439098812329,100000,105020.677377917,0.5,0.999439098812329,100000,84011.8111671368,100000,0.5
0.0044,-0.999439098812329,200000,105020.677377917,-0.999439098812329,100000,105020.677377917,0.5,0.999439098812329,100000,84011.8111671368,100000,0.5
0.0048,-0.999439098812329,200000,105020.677377917,-0.999439098812329,100000,105020.677377917,0.5,0.999439098812329,100000,84011.8111671368,100000,0.5
0.0052,-0.999439098812329,200000,105020.677377917,-0.999439098812329,100000,105020.677377917,0.5,0.999439098812329,100000,84011.8111671368,100000,0.5
0.0056,-0.999439098812329,200000,105020.677377917,-0.999439098812329,100000,105020.677377917,0.5,0.999439098812329,100000,84011.8111671368,100000,0.5
0.006,-0.999439098812329,200000,105020.677377917,-0.999439098812329,100000,105020.677377917,0.5,0.999439098812329,100000,84011.8111671368,100000,0.5
0.0064,-0.999439098812329,200000,105020.677377917,-0.999439098812329,100000,105020.677377917,0.5,0.999439098812329,100000,84011.8111671368,100000,0.5
0.0068,-0.999439098812329,200000,105020.677377917,-0.999439098812329,100000,105020.677377917,0.5,0.999439098812329,100000,84011.8111671368,100000,0.5
0.0072,-0.999439098812329,200000,105020.677377917,-0.999439098812329,100000,105020.677377917,0.5,0.999439098812329,100000,84011.8111671368,100000,0.5
0.0076,-0.999439098812329,200000,105020.677377917,-0.999439098812329,100000,105020.677377917,0.5,0.999439098812329,100000,84011.8111671368,100000,0.5
0.008,-0.999439098812329,200000,105020.677377917,-0.999439098812329,100000,105020.677377917,0.5,0.999439098812329,100000,84011.8111671368,100000,0.5
