"time","tank1.level","tank1.medium.T","tank2.level","tank2.medium.T","tank3.level","tank3.medium.T"
0,8,293.15,3,293.15,3,293.15
0.04,7.99749273417655,293.149997614069,2.99904074770232,293.149999643692,3.00346651812113,293.150024907874
0.08,7.99498624893398,293.149995229619,2.99808265734902,293.149999288563,3.006931093717,293.150049723605
0.12,7.99248054410607,293.149992846648,2.99712572936882,293.149998934611,3.0103937265251,293.150074447815
0.16,7.98997561968064,293.149990465157,2.99616996379163,293.149998581834,3.01385441652773,293.150099080548
0.2,7.98747147524264,293.149988085143,2.99521536163636,293.149998230227,3.017313163121,293.150123623281
0.24,7.98496811086835,293.149985706607,2.99426192271577,293.149997879789,3.02076996641588,293.150148075741
0.28,7.98246552658684,293.149983329549,2.9933096469585,293.149997530521,3.02422482645467,293.150172437826
0.32,7.97996372239809,293.149980953969,2.99235853436455,293.149997182425,3.02767774323736,293.150196709536
0.36,7.97746269704966,293.149978579861,2.99140858801546,293.149996835476,3.03112871493488,293.150220895177
0.4,7.97496245092733,293.149976207227,2.99045980696204,293.149996489683,3.03457774211064,293.150244993423
0.44,7.97246298426651,293.149973836067,2.98951219062507,293.14999614505,3.03802482510842,293.150269003465
0.48,7.9699642970672,293.149971466382,2.98856573900457,293.149995801575,3.04146996392823,293.150292925302
0.52,7.96746638932941,293.149969098172,2.98762045210053,293.14999545926,3.04491315857007,293.150316758934
0.56,7.96496926105313,293.149966731437,2.98667632991294,293.149995118105,3.04835440903393,293.150340504362
0.6,7.96247291223836,293.149964366177,2.98573337244182,293.149994778109,3.05179371531982,293.150364161586
0.64,7.95997734288511,293.149962002392,2.98479157968715,293.149994439272,3.05523107742774,293.150387730605
0.68,7.95748254951564,293.149959640065,2.9838509602645,293.149994101534,3.05866649021987,293.150411222619
0.72,7.95498853241422,293.149957279197,2.98291151346957,293.149993764899,3.06209995411621,293.150434636712
0.76,7.9524952934946,293.149954919797,2.98197323456141,293.149993429402,3.06553147194399,293.150457966721
