"time","VariableResistor.i","R2.i"
0,-0,-0
0.0002,-0.000314119917685871,-0.000418878910234108
0.0004,-0.000628160829043671,-0.000837757159001242
0.0006,-0.000942122267776187,-0.00125663408483547
0.0008,-0.00125600376782081,-0.00167550902627295
0.001,-0.00156980486335014,-0.00209438132185298
0.0012,-0.00188352508877269,-0.00251325031011903
0.0014,-0.00219716397873345,-0.00293211532961979
0.0016,-0.00251072106811455,-0.00335097571891022
0.0018,-0.0028241958920359,-0.00376983081655259
0.002,-0.00313758798585583,-0.00418867996111754
0.0022,-0.0034508968851717,-0.00460752249118508
0.0024,-0.00376412212582055,-0.00502635774534571
0.0026,-0.00407726324387972,-0.00544518506220137
0.0028,-0.00439031977566751,-0.00586400378036657
0.003,-0.00470329125774377,-0.00628281323846939
0.0032,-0.00501617722691057,-0.00670161277515253
0.0034,-0.0053289772202128,-0.00712040172907434
0.0036,-0.00564169077493883,-0.00753917943890992
0.0038,-0.00595431742862109,-0.00795794524335209
0.004,-0.00626685671903678,-0.00837669848111249
0.0042,-0.00657930818420841,-0.00879543849092261
0.0044,-0.00689167136240448,-0.00921416461153479
0.0046,-0.00720394579214012,-0.00963287618172336
0.0048,-0.00751613101217766,-0.0100515725402856
0.005,-0.0078282265615273,-0.0104702530260428
0.0052,-0.00814023197944774,-0.0108889169778413
0.0054,-0.00845214680544678,-0.0113075637345536
0.0056,-0.00876397057928197,-0.0117261926350793
0.0058,-0.00907570284096119,-0.0121448030183462
0.006,-0.00938734313074335,-0.0125633942233115
0.0062,-0.00969889098913893,-0.0129819655889625
0.0064,-0.0100103459569107,-0.0134005164543177
0.0066,-0.0103217075750741,-0.0138190461584284
0.0068,-0.0106329753848984,-0.014237554040379
0.007,-0.0109441489279066,-0.0146560394392883
0.0072,-0.0112552277458767,-0.0150745016943109
0.0074,-0.0115662113808418,-0.0154929401446377
0.0076,-0.0118770993750912,-0.0159113541294972
0.0078,-0.0121878912711706,-0.0163297429881568
0.008,-0.012498586611883,-0.0167481060599232
0.0082,-0.0128091849402891,-0.0171664426841441
0.0084,-0.0131196857997082,-0.0175847522002088
0.0086,-0.0134300887337185,-0.0180030339475496
0.0088,-0.0137403932861579,-0.0184212872656424
0.009,-0.0140505990011248,-0.0188395114940082
0.0092,-0.0143607054229782,-0.0192577059722138
0.0094,-0.0146707120963388,-0.019675870039873
0.0096,-0.0149806185660893,-0.0200940030366478
0.0098,-0.0152904243773754,-0.0205121043022491
0.01,-0.0156001290756058,-0.0209301731764378
0.0102,-0.0159097322064535,-0.0213482089990262
0.0104,-0.0162192333158559,-0.0217662111098786
0.0106,-0.0165286319500156,-0.0221841788489127
0.0108,-0.0168379276554012,-0.0226021115561003
0.011,-0.0171471199787476,-0.0230200085714686
0.0112,-0.0174562084670566,-0.0234378692351013
0.0114,-0.0177651926675978,-0.0238556928871392
0.0116,-0.0180740721279091,-0.0242734788677819
0.0118,-0.0183828463957971,-0.0246912265172882
0.012,-0.0186915150193381,-0.0251089351759776
0.0122,-0.0190000775468783,-0.025526604184231
0.0124,-0.0193085335270346,-0.0259442328824922
0.0126,-0.0196168825086953,-0.0263618206112683
0.0128,-0.0199251240410204,-0.0267793667111314
0.013,-0.0202332576734427,-0.0271968705227192
0.0132,-0.0205412829556678,-0.0276143313867361
0.0134,-0.0208491994376754,-0.0280317486439546
