"time","tank.level","tank.medium.h","tank.aboveLevel[1]","tank.aboveLevel[2]","tank.aboveLevel[3]","tank.aboveLevel[4]","tank.ports_m_flow_out[1]","tank.ports_m_flow_out[2]","tank.ports_m_flow_out[3]","tank.ports_m_flow_out[4]"
0,1,84013.0581525969,0,0,0,0,1,1,1,1
1,1.00751351449151,84013.0581525969,0,0,0,0,1,1,1,1
2,1.01502702898301,84013.0581525969,0,0,0,0,1,1,1,1
3,1.02254054347452,84013.0581525969,0,0,0,0,1,1,1,1
4,1.03005405796603,84013.0581525969,0,0,0,0,1,1,1,1
5,1.03756757245754,84013.0581525969,0,0,0,0,1,1,1,1
6,1.04508108694904,84013.0581525969,0,0,0,0,1,1,1,1
7,1.05259460144055,84013.0581525969,0,0,0,0,1,1,1,1
8,1.06010811593206,84013.0581525969,0,0,0,0,1,1,1,1
9,1.06762163042357,84013.0581525969,0,0,0,0,1,1,1,1
10,1.07513514491507,84013.0581525969,0,0,0,0,1,1,1,1
11,1.08264865940658,84013.0581525969,0,0,0,0,1,1,1,1
12,1.09016217389809,84013.0581525969,0,0,0,0,1,1,1,1
13,1.09767568838959,84013.0581525969,0,0,0,0,1,1,1,1
14,1.1051892028811,84013.0581525969,0,0,0,0,1,1,1,1
15,1.11270271737261,84013.0581525969,0,0,0,0,1,1,1,1
16,1.12021623186412,84013.0581525969,0,0,0,0,1,1,1,1
17,1.12772974635562,84013.0581525969,0,0,0,0,1,1,1,1
18,1.13524326084713,84013.0581525969,0,0,0,0,1,1,1,1
19,1.14275677533864,84013.0581525969,0,0,0,0,1,1,1,1
20,1.15027028983015,84013.0581525969,0,0,0,0,1,1,1,1
21,1.15778380432165,84013.0581525969,0,0,0,0,1,1,1,1
22,1.16529731881316,84013.0581525969,0,0,0,0,1,1,1,1
23,1.17281083330467,84013.0581525969,0,0,0,0,1,1,1,1
24,1.18032434779617,84013.0581525969,0,0,0,0,1,1,1,1
25,1.18783786228768,84013.0581525969,0,0,0,0,1,1,1,1
26,1.19535137677919,84013.0581525969,0,0,0,0,1,1,1,1
27,1.2028648912707,84013.0581525969,0,0,0,0,1,1,1,1
28,1.2103784057622,84013.0581525969,0,0,0,0,1,1,1,1
29,1.21789192025371,84013.0581525969,0,0,0,0,1,1,1,1
30,1.22540543474522,84013.0581525969,0,0,0,0,1,1,1,1
31,1.23291894923672,84013.0581525969,0,0,0,0,1,1,1,1
32,1.24043246372823,84013.0581525969,0,0,0,0,1,1,1,1
33,1.24794597821974,84013.0581525969,0,0,0,0,1,1,1,1
34,1.25545949271125,84013.0581525969,0,0,0,0,1,1,1,1
35,1.26297300720275,84013.0581525969,0,0,0,0,1,1,1,1
36,1.27048652169426,84013.0581525969,0,0,0,0,1,1,1,1
37,1.27800003618577,84013.0581525969,0,0,0,0,1,1,1,1
38,1.28551355067728,84013.0581525969,0,0,0,0,1,1,1,1
39,1.29302706516878,84013.0581525969,0,0,0,0,1,1,1,1
40,1.30054057966029,84013.0581525969,0,0,0,0,1,1,1,1
41,1.3080540941518,84013.0581525969,0,0,0,0,1,1,1,1
42,1.3155676086433,84013.0581525969,0,0,0,0,1,1,1,1
43,1.32308112313481,84013.0581525969,0,0,0,0,1,1,1,1
44,1.33059463762632,84013.0581525969,0,0,0,0,1,1,1,1
45,1.33810815211783,84013.0581525969,0,0,0,0,1,1,1,1
46,1.34562166660933,84013.0581525969,0,0,0,0,1,1,1,1
47,1.35313518110084,84013.0581525969,0,0,0,0,1,1,1,1
48,1.36064869559235,84013.0581525969,0,0,0,0,1,1,1,1
49,1.36816221008386,84013.0581525969,0,0,0,0,1,1,1,1
50,1.37567572457536,84013.0581525969,0,0,0,0,1,1,1,1
51,1.38318923906687,84013.0581525969,0,0,0,0,1,1,1,1
52,1.39070275355838,84013.0581525969,0,0,0,0,1,1,1,1
53,1.39821626804988,84013.0581525969,0,0,0,0,1,1,1,1
54,1.40572978254139,84013.0581525969,0,0,0,0,1,1,1,1
55,1.4132432970329,84013.0581525969,0,0,0,0,1,1,1,1
56,1.42075681152441,84013.0581525969,0,0,0,0,1,1,1,1
57,1.42827032601591,84013.0581525969,0,0,0,0,1,1,1,1
58,1.43578384050742,84013.0581525969,0,0,0,0,1,1,1,1
59,1.44329735499893,84013.0581525969,0,0,0,0,1,1,1,1
60,1.45081086949043,84013.0581525969,0,0,0,0,1,1,1,1
61,1.45832438398194,84013.0581525969,0,0,0,0,1,1,1,1
62,1.46583789847345,84013.0581525969,0,0,0,0,1,1,1,1
63,1.47335141296496,84013.0581525969,0,0,0,0,1,1,1,1
64,1.48086492745646,84013.0581525969,0,0,0,0,1,1,1,1
65,1.48837844194797,84013.0581525969,0,0,0,0,1,1,1,1
66,1.49589195643948,84013.0581525969,0,0,0,0,1,1,1,1
67,1.50340547093099,84013.0581525969,0,0,0,0,1,1,1,1
68,1.51091898542249,84013.0581525969,0,0,0,0,1,1,1,1
69,1.518432499914,84013.0581525969,0,0,0,0,1,1,1,1
70,1.52594601440551,84013.0581525969,0,0,0,0,1,1,1,1
71,1.53345952889701,84013.0581525969,0,0,0,0,1,1,1,1
72,1.54097304338852,84013.0581525969,0,0,0,0,1,1,1,1
73,1.54848655788003,84013.0581525969,0,0,0,0,1,1,1,1
74,1.55600007237154,84013.0581525969,0,0,0,0,1,1,1,1
75,1.56351358686304,84013.0581525969,0,0,0,0,1,1,1,1
76,1.57102710135455,84013.0581525969,0,0,0,0,1,1,1,1
77,1.57854061584606,84013.0581525969,0,0,0,0,1,1,1,1
78,1.58605413033757,84013.0581525969,0,0,0,0,1,1,1,1
79,1.59356764482907,84013.0581525969,0,0,0,0,1,1,1,1
80,1.60108115932058,84013.0581525969,0,0,0,0,1,1,1,1
81,1.60859467381209,84013.0581525969,0,0,0,0,1,1,1,1
82,1.61610818830359,84013.0581525969,0,0,0,0,1,1,1,1
83,1.6236217027951,84013.0581525969,0,0,0,0,1,1,1,1
84,1.63113521728661,84013.0581525969,0,0,0,0,1,1,1,1
85,1.63864873177812,84013.0581525969,0,0,0,0,1,1,1,1
86,1.64616224626962,84013.0581525969,0,0,0,0,1,1,1,1
87,1.65367576076113,84013.0581525969,0,0,0,0,1,1,1,1
88,1.66118927525264,84013.0581525969,0,0,0,0,1,1,1,1
89,1.66870278974415,84013.0581525969,0,0,0,0,1,1,1,1
90,1.67621630423565,84013.0581525969,0,0,0,0,1,1,1,1
91,1.68372981872716,84013.0581525969,0,0,0,0,1,1,1,1
92,1.69124333321867,84013.0581525969,0,0,0,0,1,1,1,1
93,1.69875684771017,84013.0581525969,0,0,0,0,1,1,1,1
94,1.70627036220168,84013.0581525969,0,0,0,0,1,1,1,1
95,1.71378387669319,84013.0581525969,0,0,0,0,1,1,1,1
96,1.7212973911847,84013.0581525969,0,0,0,0,1,1,1,1
97,1.7288109056762,84013.0581525969,0,0,0,0,1,1,1,1
98,1.73632442016771,84013.0581525969,0,0,0,0,1,1,1,1
99,1.74383793465922,84013.0581525969,0,0,0,0,1,1,1,1
100,1.75135144915072,84013.0581525969,0,0,0,0,1,1,1,1
101,1.75886496364223,84013.0581525969,0,0,0,0,1,1,1,1
102,1.76637847813374,84013.0581525969,0,0,0,0,1,1,1,1
103,1.77389199262525,84013.0581525969,0,0,0,0,1,1,1,1
104,1.78140550711675,84013.0581525969,0,0,0,0,1,1,1,1
105,1.78891902160826,84013.0581525969,0,0,0,0,1,1,1,1
106,1.79643253609977,84013.0581525969,0,0,0,0,1,1,1,1
107,1.80394605059128,84013.0581525969,0,0,0,0,1,1,1,1
108,1.81145956508278,84013.0581525969,0,0,0,0,1,1,1,1
109,1.81897307957429,84013.0581525969,0,0,0,0,1,1,1,1
110,1.8264865940658,84013.0581525969,0,0,0,0,1,1,1,1
111,1.8340001085573,84013.0581525969,0,0,0,0,1,1,1,1
112,1.84151362304881,84013.0581525969,0,0,0,0,1,1,1,1
113,1.84902713754032,84013.0581525969,0,0,0,0,1,1,1,1
114,1.85654065203183,84013.0581525969,0,0,0,0,1,1,1,1
115,1.86405416652333,84013.0581525969,0,0,0,0,1,1,1,1
116,1.87156768101484,84013.0581525969,0,0,0,0,1,1,1,1
117,1.87908119550635,84013.0581525969,0,0,0,0,1,1,1,1
118,1.88659470999785,84013.0581525969,0,0,0,0,1,1,1,1
119,1.89410822448936,84013.0581525969,0,0,0,0,1,1,1,1
120,1.90162173898087,84013.0581525969,0,0,0,0,1,1,1,1
121,1.90913525347238,84013.0581525969,0,0,0,0,1,1,1,1
122,1.91664876796388,84013.0581525969,0,0,0,0,1,1,1,1
123,1.92416228245539,84013.0581525969,0,0,0,0,1,1,1,1
124,1.9316757969469,84013.0581525969,0,0,0,0,1,1,1,1
125,1.93918931143841,84013.0581525969,0,0,0,0,1,1,1,1
126,1.94670282592991,84013.0581525969,0,0,0,0,1,1,1,1
127,1.95421634042142,84013.0581525969,0,0,0,0,1,1,1,1
128,1.96172985491293,84013.0581525969,0,0,0,0,1,1,1,1
129,1.96924336940443,84013.0581525969,0,0,0,0,1,1,1,1
130,1.97675688389594,84013.0581525969,0,0,0,0,1,1,1,1
131,1.98427039838745,84013.0581525969,0,0,0,0,1,1,1,1
132,1.99178391287896,84013.0581525969,0,0,0,0,1,1,1,1
133,1.99929742737046,84013.0581525969,0,0,0,0,1,1,1,1
133.226601363792,2.00100000000111,84013.0581525969,0,0,0,0,1,1,1,1
133.226601363792,2.00100000000111,84013.0581525969,0,0,0,1,1,1,1,1
134,2.00673038797527,84013.0581525969,0,0,0,1,1,1,1,1
135,2.01406830424841,84013.0581525969,0,0,0,1,1,1,1,1
136,2.02135042827659,84013.0581525969,0,0,0,1,1,1,1,1
137,2.02858864679478,84013.0581525969,0,0,0,1,1,1,1,1
138,2.03578981429869,84013.0581525969,0,0,0,1,1,1,1,1
139,2.0429581497684,84013.0581525969,0,0,0,1,1,1,1,1
140,2.0500965360657,84013.0581525969,0,0,0,1,1,1,1,1
141,2.05720725413513,84013.0581525969,0,0,0,1,1,1,1,1
142,2.06429219485182,84013.0581525969,0,0,0,1,1,1,1,1
143,2.07135292174575,84013.0581525969,0,0,0,1,1,1,1,1
144,2.07839071796939,84013.0581525969,0,0,0,1,1,1,1,1
145,2.08540665773641,84013.0581525969,0,0,0,1,1,1,1,1
146,2.09240172221532,84013.0581525969,0,0,0,1,1,1,1,1
147,2.09937678848028,84013.0581525969,0,0,0,1,1,1,1,1
148,2.1063325938793,84013.0581525969,0,0,0,1,1,1,1,1
149,2.11326986600799,84013.0581525969,0,0,0,1,1,1,1,1
150,2.1201892306821,84013.0581525969,0,0,0,1,1,1,1,1
151,2.1270913000343,84013.0581525969,0,0,0,1,1,1,1,1
152,2.13397659734852,84013.0581525969,0,0,0,1,1,1,1,1
153,2.14084559865384,84013.0581525969,0,0,0,1,1,1,1,1
154,2.14769873745012,84013.0581525969,0,0,0,1,1,1,1,1
155,2.15453637478393,84013.0581525969,0,0,0,1,1,1,1,1
156,2.16135882053437,84013.0581525969,0,0,0,1,1,1,1,1
157,2.16816657835429,84013.0581525969,0,0,0,1,1,1,1,1
158,2.17495991804681,84013.0581525969,0,0,0,1,1,1,1,1
159,2.18173909753544,84013.0581525969,0,0,0,1,1,1,1,1
160,2.18850443712693,84013.0581525969,0,0,0,1,1,1,1,1
161,2.1952562607857,84013.0581525969,0,0,0,1,1,1,1,1
162,2.20199477521211,84013.0581525969,0,0,0,1,1,1,1,1
163,2.20872021789145,84013.0581525969,0,0,0,1,1,1,1,1
164,2.21543289332159,84013.0581525969,0,0,0,1,1,1,1,1
165,2.22213298816047,84013.0581525969,0,0,0,1,1,1,1,1
166,2.22882070856736,84013.0581525969,0,0,0,1,1,1,1,1
167,2.23549628547742,84013.0581525969,0,0,0,1,1,1,1,1
168,2.2421599102469,84013.0581525969,0,0,0,1,1,1,1,1
169,2.24881176093117,84013.0581525969,0,0,0,1,1,1,1,1
170,2.25545202116746,84013.0581525969,0,0,0,1,1,1,1,1
171,2.26208087361498,84013.0581525969,0,0,0,1,1,1,1,1
172,2.26869847170391,84013.0581525969,0,0,0,1,1,1,1,1
173,2.27530496892262,84013.0581525969,0,0,0,1,1,1,1,1
174,2.28190052951266,84013.0581525969,0,0,0,1,1,1,1,1
175,2.28848529258331,84013.0581525969,0,0,0,1,1,1,1,1
176,2.29505939797526,84013.0581525969,0,0,0,1,1,1,1,1
177,2.3016229806285,84013.0581525969,0,0,0,1,1,1,1,1
178,2.30817617108875,84013.0581525969,0,0,0,1,1,1,1,1
179,2.31471909601399,84013.0581525969,0,0,0,1,1,1,1,1
180,2.32125187738251,84013.0581525969,0,0,0,1,1,1,1,1
181,2.3277746332775,84013.0581525969,0,0,0,1,1,1,1,1
182,2.3342874819224,84013.0581525969,0,0,0,1,1,1,1,1
183,2.34079053823905,84013.0581525969,0,0,0,1,1,1,1,1
184,2.34728391554751,84013.0581525969,0,0,0,1,1,1,1,1
185,2.35376772605166,84013.0581525969,0,0,0,1,1,1,1,1
186,2.36024208132482,84013.0581525969,0,0,0,1,1,1,1,1
187,2.36670704061627,84013.0581525969,0,0,0,1,1,1,1,1
188,2.37316270378938,84013.0581525969,0,0,0,1,1,1,1,1
189,2.37960918164135,84013.0581525969,0,0,0,1,1,1,1,1
190,2.38604656829326,84013.0581525969,0,0,0,1,1,1,1,1
191,2.39247495642698,84013.0581525969,0,0,0,1,1,1,1,1
192,2.39889443754151,84013.0581525969,0,0,0,1,1,1,1,1
193,2.40530510185311,84013.0581525969,0,0,0,1,1,1,1,1
194,2.41170699158217,84013.0581525969,0,0,0,1,1,1,1,1
195,2.41810021364361,84013.0581525969,0,0,0,1,1,1,1,1
196,2.42448484806177,84013.0581525969,0,0,0,1,1,1,1,1
197,2.4308609734747,84013.0581525969,0,0,0,1,1,1,1,1
198,2.4372286672897,84013.0581525969,0,0,0,1,1,1,1,1
199,2.44358800583908,84013.0581525969,0,0,0,1,1,1,1,1
200,2.44993905541852,84013.0581525969,0,0,0,1,1,1,1,1
201,2.45628186595481,84013.0581525969,0,0,0,1,1,1,1,1
202,2.46261652058044,84013.0581525969,0,0,0,1,1,1,1,1
203,2.46894308582571,84013.0581525969,0,0,0,1,1,1,1,1
204,2.475261626864,84013.0581525969,0,0,0,1,1,1,1,1
205,2.48157220759991,84013.0581525969,0,0,0,1,1,1,1,1
206,2.48787489075742,84013.0581525969,0,0,0,1,1,1,1,1
207,2.49416973316907,84013.0581525969,0,0,0,1,1,1,1,1
208,2.50045679290785,84013.0581525969,0,0,0,1,1,1,1,1
209,2.50673613048803,84013.0581525969,0,0,0,1,1,1,1,1
210,2.51300780298789,84013.0581525969,0,0,0,1,1,1,1,1
211,2.51927186648129,84013.0581525969,0,0,0,1,1,1,1,1
212,2.52552837610925,84013.0581525969,0,0,0,1,1,1,1,1
213,2.53177738615162,84013.0581525969,0,0,0,1,1,1,1,1
214,2.53801894214464,84013.0581525969,0,0,0,1,1,1,1,1
215,2.54425309857541,84013.0581525969,0,0,0,1,1,1,1,1
216,2.5504799066099,84013.0581525969,0,0,0,1,1,1,1,1
217,2.55669941587995,84013.0581525969,0,0,0,1,1,1,1,1
218,2.56291167523934,84013.0581525969,0,0,0,1,1,1,1,1
219,2.56911673281851,84013.0581525969,0,0,0,1,1,1,1,1
220,2.57531463607938,84013.0581525969,0,0,0,1,1,1,1,1
221,2.58150543187007,84013.0581525969,0,0,0,1,1,1,1,1
222,2.58768916647971,84013.0581525969,0,0,0,1,1,1,1,1
223,2.59386588569316,84013.0581525969,0,0,0,1,1,1,1,1
224,2.60003563484583,84013.0581525969,0,0,0,1,1,1,1,1
225,2.60619845887841,84013.0581525969,0,0,0,1,1,1,1,1
226,2.61235440239163,84013.0581525969,0,0,0,1,1,1,1,1
227,2.61850349565111,84013.0581525969,0,0,0,1,1,1,1,1
228,2.62464577314285,84013.0581525969,0,0,0,1,1,1,1,1
229,2.63078128885015,84013.0581525969,0,0,0,1,1,1,1,1
230,2.6369100839483,84013.0581525969,0,0,0,1,1,1,1,1
231,2.64303219926724,84013.0581525969,0,0,0,1,1,1,1,1
232,2.64914767533314,84013.0581525969,0,0,0,1,1,1,1,1
233,2.6552565524101,84013.0581525969,0,0,0,1,1,1,1,1
234,2.66135887054173,84013.0581525969,0,0,0,1,1,1,1,1
235,2.66745466959279,84013.0581525969,0,0,0,1,1,1,1,1
236,2.67354398929084,84013.0581525969,0,0,0,1,1,1,1,1
237,2.67962686926784,84013.0581525969,0,0,0,1,1,1,1,1
238,2.68570334910182,84013.0581525969,0,0,0,1,1,1,1,1
239,2.69177346835846,84013.0581525969,0,0,0,1,1,1,1,1
240,2.69783726029867,84013.0581525969,0,0,0,1,1,1,1,1
241,2.70389467283559,84013.0581525969,0,0,0,1,1,1,1,1
242,2.70994580920708,84013.0581525969,0,0,0,1,1,1,1,1
243,2.71599070352658,84013.0581525969,0,0,0,1,1,1,1,1
244,2.7220293895693,84013.0581525969,0,0,0,1,1,1,1,1
245,2.72806190079239,84013.0581525969,0,0,0,1,1,1,1,1
246,2.73408827035513,84013.0581525969,0,0,0,1,1,1,1,1
247,2.74010853113904,84013.0581525969,0,0,0,1,1,1,1,1
248,2.74612271576808,84013.0581525969,0,0,0,1,1,1,1,1
249,2.75213085662876,84013.0581525969,0,0,0,1,1,1,1,1
250,2.75813298589035,84013.0581525969,0,0,0,1,1,1,1,1
251,2.76412913552501,84013.0581525969,0,0,0,1,1,1,1,1
252,2.77011933732793,84013.0581525969,0,0,0,1,1,1,1,1
253,2.77610362293754,84013.0581525969,0,0,0,1,1,1,1,1
254,2.78208198568675,84013.0581525969,0,0,0,1,1,1,1,1
255,2.78805446013262,84013.0581525969,0,0,0,1,1,1,1,1
256,2.79402109135198,84013.0581525969,0,0,0,1,1,1,1,1
257,2.79998190738062,84013.0581525969,0,0,0,1,1,1,1,1
258,2.80593693593937,84013.0581525969,0,0,0,1,1,1,1,1
259,2.81188620444508,84013.0581525969,0,0,0,1,1,1,1,1
260,2.8178297400216,84013.0581525969,0,0,0,1,1,1,1,1
261,2.82376756951069,84013.0581525969,0,0,0,1,1,1,1,1
