"time","meanCurrent.x","meanVoltage.x","rootMeanSquareVoltage.mean.x","meanCurrent.y","meanVoltage.y","rootMeanSquareVoltage.mean.y"
0,0,0,0,0,0,0
0.0001,0.000667389984079837,0.0133477996815967,1.78169034199691,0,0,0
0.0002,0.00132190452978719,0.0264380905957438,3.49530574889322,0,0,0
0.0003,0.00196289758920826,0.0392579517841652,5.1388580048443,0,0,0
0.0004,0.0025897366003375,0.0517947320067501,6.7106364059231,0,0,0
0.0005,0.00320180294621047,0.0640360589242093,8.20921315001866,0,0,0
0.0006,0.00379849257953792,0.0759698515907583,9.633449178395,0,0,0
0.0007,0.00437921663558466,0.0875843327116932,10.9824989873089,0,0,0
0.0008,0.0049434020003256,0.0988680400065121,12.2558137669818,0,0,0
0.0009,0.00549049188471477,0.109809837694295,13.4531434440997,0,0,0
0.001,0.00601994639523919,0.120398927904784,14.5745381027652,0,0,0
0.0011,0.00653124304803555,0.130624860960711,15.6203477614606,0,0,0
0.0012,0.00702387724136205,0.140477544827241,16.5912203323083,0,0,0
0.0013,0.00749736279943375,0.149947255988675,17.4880995476368,0,0,0
0.0014,0.00795123244423927,0.159024648884785,18.31222108032,0,0,0
0.0015,0.00838503826212235,0.167700765242447,19.0651077872811,0,0,0
0.0016,0.00879835214205471,0.175967042841094,19.7485636844695,0,0,0
0.00166667416469844,0.0090623372075463,0.181246744150926,20.1666887581782,0,0,0
0.00166667416469844,0.0090623372075463,0.181246744150926,20.1666887581782,0,0,0
0.0017,0.00919311725095375,0.183862345019075,20.3719838901181,0,0,0
0.0018,0.00959950855058721,0.191990171011744,21.032745770785,0,0,0
0.0019,0.0100265301752345,0.200530603504689,21.7622718511575,0,0,0
0.002,0.0104737605154417,0.209475210308835,22.5624632624809,0,0,0
0.0021,0.0109407583965305,0.21881516793061,23.4349379559279,0,0,0
0.0022,0.0114270628366632,0.228541256733264,24.3810270897828,0,0,0
0.0023,0.0119321938656573,0.238643877313147,25.4017711073842,0,0,0
0.0024,0.0124556530980349,0.249113061960698,26.4979161676626,0,0,0
0.0025,0.0129969238590341,0.259938477180682,27.6699128094046,0,0,0
0.0026,0.0135554719912073,0.271109439824147,28.9179113671859,0,0,0
0.0027,0.0141307462225167,0.282614924450334,30.2417622460851,0,0,0
0.0028,0.0147221788219897,0.294443576439794,31.6410158501085,0,0,0
0.0029,0.0153291861326653,0.306583722653307,33.1149250642213,0,0,0
0.003,0.0159511691159536,0.319023382319073,34.6624483022593,0,0,0
0.0031,0.0165875139295456,0.331750278590913,36.2822533511842,0,0,0
0.0032,0.0172375925227186,0.344751850454373,37.9727224520983,0,0,0
0.0033,0.0179007633321489,0.358015266642977,39.7319592289947,0,0,0
0.0034,0.0185763719378072,0.371527438756144,41.5577963192601,0,0,0
0.0035,0.0192637516565845,0.385275033131689,43.4478036536,0,0,0
0.0036,0.0199622241266644,0.399244482533288,45.3992975957548,0,0,0
0.0037,0.0206711000170828,0.413422000341655,47.4093516710963,0,0,0
0.0038,0.0213896797414951,0.427793594829903,49.4748083446066,0,0,0
0.0039,0.0221172541514082,0.442345083028163,51.5922915225526,0,0,0
0.004,0.0228531052279758,0.457062104559516,53.7582198360729,0,0,0
0.0041,0.0235965067812946,0.471930135625891,55.9688207457435,0,0,0
0.0042,0.0243467251604643,0.486934503209286,58.2201452715301,0,0,0
0.0043,0.0251030199844787,0.502060399689573,60.5080837391889,0,0,0
0.0044,0.0258646448812735,0.51729289762547,62.8283820124608,0,0,0
0.0045,0.0266308482212359,0.532616964424719,65.1766582631535,0,0,0
0.0046,0.0274008738558138,0.548017477116275,67.5484202440407,0,0,0
0.0047,0.0281739618628126,0.563479237256252,69.9390830102581,0,0,0
0.0048,0.0289493492968857,0.578986985937714,72.3439870229589,0,0,0
0.0049,0.0297262709432092,0.594525418864183,74.7584165219591,0,0,0
0.005,0.0305039600740382,0.610079201480765,77.1776181606331,0,0,0
0.0051,0.0312816492049651,0.625632984099303,79.5968198089501,0,0,0
0.0052,0.032058570851576,0.641171417031521,82.0112494365434,0,0,0
0.0053,0.0328339582858284,0.656679165716567,84.4161537643685,0,0,0
0.0054,0.0336070462927314,0.672140925854629,86.8068167298339,0,0,0
0.0055,0.0343770719268307,0.687541438536615,89.1785786131335,0,0,0
0.0056,0.0351432752600516,0.702865505201031,91.5268540301762,0,0,0
0.0057,0.0359049001472695,0.71809800294539,93.8471512072069,0,0,0
0.0058,0.0366611949499228,0.733223898998457,96.1350876538855,0,0,0
0.0059,0.0374114132969678,0.748228265939356,98.3864093256794,0,0,0
0.006,0.0381548148279465,0.76309629655893,100.597008082378,0,0,0
0.0061,0.0388906658665323,0.777813317330645,102.762932152484,0,0,0
0.0062,0.0396182402678672,0.792364805357345,104.880413939346,0,0,0
0.0063,0.0403368199466477,0.806736398932953,106.945866480918,0,0,0
0.0064,0.0410456958190106,0.820913916380211,108.955920111883,0,0,0
0.0065,0.0417441682407206,0.834883364814412,110.907410822874,0,0,0
0.0066,0.0424315479588039,0.848630959176079,112.797417391505,0,0,0
0.00666666666666667,0.0428833030342054,0.857666060684107,114.021928935949,0,0,0
0.00666666666666667,0,0,0,6.4324954551308,128.649909102616,17103.2893403924
0.0067,0.000223853461276021,0.00447706922552041,0.60132655337453,6.4324954551308,128.649909102616,17103.2893403924
0.0068,0.000887024282528355,0.0177404856505671,2.36056319528455,6.4324954551308,128.649909102616,17103.2893403924
0.0069,0.00153710278865463,0.0307420557730926,4.05103152595143,6.4324954551308,128.649909102616,17103.2893403924
