"time","revolute.phi","revolute.w"
0,0,0
0.0008,1.22082877274993e-06,0.00305207025128836
0.0016,4.88334729257398e-06,0.00610419912688428
0.0024,1.09876911907679e-05,0.00915645619333093
0.0032,1.95338988055763e-05,0.0122088533187034
0.004,3.05222056694217e-05,0.0152614664182417
0.0048,4.39526468821818e-05,0.0183142975531801
0.0056,5.98256045680923e-05,0.0213674403032197
0.0064,7.81411605311736e-05,0.0244209006587603
0.0072,9.88997608799984e-05,0.0274747605825464
0.008,0.00012210150907864,0.0305290240357614
0.0088,0.000147747035206974,0.033583774286589
0.0096,0.000175836544274433,0.0366390384280432
0.0104,0.000206370366888478,0.0396948601515415
0.0112,0.000239349221302119,0.0427513012579865
0.012,0.000274773588742208,0.045808412475223
0.0128,0.00031264381074775,0.048866238005353
0.0136,0.000352960330514908,0.051924826799556
0.0144,0.000395724405773527,0.0549842280964406
0.0152,0.000440936340244166,0.0580444907979689
0.016,0.000488596659634711,0.0611056638844368
0.0168,0.00053870609733967,0.0641677955319445
0.0176,0.00059126679796108,0.0672309265588933
0.0184,0.000646278862631235,0.0702951084378474
0.0192,0.000703743121613882,0.073360388839854
0.02,0.000763660405172766,0.07642681543596
0.0208,0.000826031543571634,0.0794944358972126
0.0216,0.000890857367074231,0.0825632978946588
0.0224,0.000958138705944304,0.0856334490993457
0.0232,0.00102787745160178,0.0887049362009328
0.024,0.00110007497456657,0.0917778063708227
0.0248,0.00117473147652555,0.0948521078613885
0.0256,0.00125184791155018,0.0979278882291762
0.0264,0.00133142523371192,0.101005195030732
0.0272,0.00141346439708222,0.104084075822602
0.028,0.00149796635573255,0.107164578161333
0.0288,0.00158493206373435,0.11024674960347
0.0296,0.00167437219517416,0.113330615802034
0.0304,0.00176628235350878,0.116416236370891
0.0312,0.0018606634251958,0.119503659018951
0.032,0.0019575168156452,0.122592930285693
0.0328,0.00205684393026695,0.125684096710596
0.0336,0.002158646174471,0.12877720483314
0.0344,0.00226292495366733,0.131872301192805
0.0352,0.00236968167326591,0.134969432329069
0.036,0.00247891773867671,0.138068644781412
0.0368,0.00259063455530969,0.141169985089314
0.0376,0.00270483352857481,0.144273499792253
0.0384,0.00282151606388206,0.147379235429709
0.0392,0.0029406835666414,0.150487238541162
0.04,0.00306233744226279,0.15359755566609
0.0408,0.0031864790961562,0.156710233343973
0.0416,0.00331311937181364,0.159825295980301
0.0424,0.00344225564941581,0.162942799554434
0.0432,0.00357388679935513,0.166062796550922
