"time","bodyOfConstraint.body.w_a[1]","bodyOfConstraint.body.w_a[2]","bodyOfConstraint.body.w_a[3]"
0,0,0,0
0.002,0,-0.00834639127912825,-0.00345826911413046
0.004,0,-0.0166927293408872,-0.00691651617880302
0.006,0,-0.0250389509663471,-0.0103747150060789
0.008,0,-0.0333850328415694,-0.0138328559389108
0.01,0,-0.04173093087117,-0.0172909207119303
0.012,0,-0.0500766047026514,-0.0207488926101786
0.014,0,-0.0584220090275673,-0.0242067528970603
0.016,0,-0.0667669650147474,-0.02766442757516
0.018,0,-0.0751115577527737,-0.0311219518527422
0.02,0,-0.0834557872416462,-0.0345793257298068
0.022,0,-0.0917996534813649,-0.0380365492063539
0.024,0,-0.100142883322441,-0.0414935091935375
0.026,0,-0.108485609419894,-0.0449502606129428
0.028,0,-0.116827857871204,-0.0484068142694012
0.03,0,-0.125169628676373,-0.0518631701629128
0.032,0,-0.133510528197854,-0.0553191653448723
0.034,0,-0.141850734725113,-0.0587748736192656
0.036,0,-0.150190284273134,-0.0622303098947095
0.038,0,-0.158529176841917,-0.065685474171204
0.04,0,-0.166867023782939,-0.0691402055684781
0.042,0,-0.175204002403407,-0.0725945774824916
0.044,0,-0.183540147468649,-0.0760486043042818
0.046,0,-0.191875458978663,-0.0795022860338485
0.048,0,-0.200209541056798,-0.0829554587962138
0.05,0,-0.208542575603099,-0.0864081978897465
0.052,0,-0.216874597225082,-0.0898605176403876
0.054,0,-0.225205605922747,-0.0933124180481371
0.056,0,-0.233535325140043,-0.0967637845119878
0.058,0,-0.241863804000293,-0.100214637387966
0.06,0,-0.250191021338836,-0.103664967905728
0.062,0,-0.258516935027876,-0.107114758608097
0.064,0,-0.266841502939612,-0.110563992037895
0.066,0,-0.275164682946248,-0.114012650737944
0.068,0,-0.283486432919985,-0.117460717251067
0.07,0,-0.291806710733025,-0.120908174120085
0.072,0,-0.300125364137491,-0.124354958255718
0.074,0,-0.308442403908416,-0.127801074122925
0.076,0,-0.316757790794833,-0.131246505456643
0.078,0,-0.325071476328519,-0.134691232172319
0.08,0,-0.333383412041248,-0.138135234185397
0.082,0,-0.341693549464796,-0.141578491411321
0.084,0,-0.350001840130939,-0.145020983765538
0.086,0,-0.35830823557145,-0.148462691163491
0.088,0,-0.366612648486021,-0.151903577435174
0.09,0,-0.374915050962652,-0.155343631011057
0.092,0,-0.383215395987397,-0.158782832408993
0.094,0,-0.391513633394127,-0.162221160841101
0.096,0,-0.399809713016714,-0.165658595519502
0.098,0,-0.408103584689028,-0.169095115656317
0.1,0,-0.416395198244942,-0.172530700463666
0.102,0,-0.424684503518326,-0.175965329153671
0.104,0,-0.432971402130898,-0.17939896094577
0.106,0,-0.441255869728279,-0.182831585755737
0.108,0,-0.449537857760715,-0.186263183465972
0.11,0,-0.457817313965099,-0.189693732419018
0.112,0,-0.466094186078323,-0.193123210957416
0.114,0,-0.474368421837282,-0.196551597423711
0.116,0,-0.482639968978867,-0.199978870160445
0.118,0,-0.490908775239972,-0.203405007510162
0.12,0,-0.499174723105864,-0.206829960803841
0.122,0,-0.507437795636834,-0.2102537230065
0.124,0,-0.515697942503635,-0.213676273261223
0.126,0,-0.523955108619888,-0.217097588741829
0.128,0,-0.532209238899214,-0.22051764662214
0.13,0,-0.540460278255234,-0.223936424075978
0.132,0,-0.548708171601567,-0.227353898277163
0.134,0,-0.556952863851835,-0.230770046399516
0.136,0,-0.5651942417814,-0.234184821515452
0.138,0,-0.573432276395875,-0.237598211615313
0.14,0,-0.581666911058266,-0.241010193230108
0.142,0,-0.589898084889075,-0.244420741132101
