"time","firstOrderHold.c","firstOrderHold.firstTrigger","firstOrderHold.pre_uSample","firstOrderHold.tSample","firstOrderHold.uSample","zeroOrderHold.firstTrigger","zeroOrderHold.ySample"
0,0,1,0.5,0,0.5,1,0.5
0.0004,0,1,0.5,0,0.5,1,0.5
0.0008,0,1,0.5,0,0.5,1,0.5
0.0012,0,1,0.5,0,0.5,1,0.5
0.0016,0,1,0.5,0,0.5,1,0.5
0.002,0,1,0.5,0,0.5,1,0.5
0.0024,0,1,0.5,0,0.5,1,0.5
0.0028,0,1,0.5,0,0.5,1,0.5
0.0032,0,1,0.5,0,0.5,1,0.5
0.0036,0,1,0.5,0,0.5,1,0.5
0.004,0,1,0.5,0,0.5,1,0.5
0.0044,0,1,0.5,0,0.5,1,0.5
0.0048,0,1,0.5,0,0.5,1,0.5
0.0052,0,1,0.5,0,0.5,1,0.5
0.0056,0,1,0.5,0,0.5,1,0.5
0.006,0,1,0.5,0,0.5,1,0.5
0.0064,0,1,0.5,0,0.5,1,0.5
0.0068,0,1,0.5,0,0.5,1,0.5
0.0072,0,1,0.5,0,0.5,1,0.5
0.0076,0,1,0.5,0,0.5,1,0.5
0.008,0,1,0.5,0,0.5,1,0.5
0.0084,0,1,0.5,0,0.5,1,0.5
0.0088,0,1,0.5,0,0.5,1,0.5
0.0092,0,1,0.5,0,0.5,1,0.5
0.0096,0,1,0.5,0,0.5,1,0.5
0.01,0,1,0.5,0,0.5,1,0.5
0.0104,0,1,0.5,0,0.5,1,0.5
0.0108,0,1,0.5,0,0.5,1,0.5
0.0112,0,1,0.5,0,0.5,1,0.5
0.0116,0,1,0.5,0,0.5,1,0.5
0.012,0,1,0.5,0,0.5,1,0.5
0.0124,0,1,0.5,0,0.5,1,0.5
0.0128,0,1,0.5,0,0.5,1,0.5
0.0132,0,1,0.5,0,0.5,1,0.5
0.0136,0,1,0.5,0,0.5,1,0.5
0.014,0,1,0.5,0,0.5,1,0.5
0.0144,0,1,0.5,0,0.5,1,0.5
0.0148,0,1,0.5,0,0.5,1,0.5
0.0152,0,1,0.5,0,0.5,1,0.5
