"time","mp1.S.v","mp2.S.v","mp3.S.v","mp4.S.v","v.p.v"
0,0,0,0,0,0
0.001,8.3326345860989422e-09,8.3326107562914911e-09,8.3326107563593894e-09,8.3326107563593894e-09,0.0050000000000000001
0.002,6.6672011399980727e-08,6.6671248694846592e-08,6.667124870355773e-08,6.6671248703557625e-08,0.01
0.0030000000000000001,2.2500971516467612e-07,2.2500276974040188e-07,2.2500277001305858e-07,2.2500277001310813e-07,0.014999999999999999
0.0040000000000000001,5.3332340546781739e-07,5.3329900167722573e-07,5.3329900279030326e-07,5.3329900279051809e-07,0.02
0.0050000000000000001,1.0416465208482511e-06,1.0415575538621611e-06,1.0415575649605846e-06,1.0415575649592514e-06,0.025000000000000001
0.0060000000000000001,1.7999868344772213e-06,1.79976462611202e-06,1.7997646609993748e-06,1.7997646609938462e-06,0.029999999999999999
0.0070000000000000001,2.8583513938507542e-06,2.8579061081995753e-06,2.8579061852244041e-06,2.8579061852111281e-06,0.035000000000000003
0.0080000000000000002,4.2667499864981189e-06,4.2659690605741709e-06,4.2659692030592894e-06,4.2659692030337082e-06,0.040000000000000001
0.0090000000000000011,6.0751251846430686e-06,6.0735598223516211e-06,6.0735604017364837e-06,6.0735604014181196e-06,0.045000000000000005
0.01,8.3334814562750142e-06,8.3306353230119438e-06,8.3306367428671728e-06,8.3306367419527906e-06,0.050000000000000003
0.010999999999999999,1.1091824788673084e-05,1.1087161097605002e-05,1.108716378587624e-05,1.1087163784046054e-05,0.054999999999999993
0.012,1.4400150352318839e-05,1.4393041412611487e-05,1.4393045876840466e-05,1.4393045873713905e-05,0.059999999999999998
0.013000000000000001,1.8308453317693829e-05,1.8298180534512087e-05,1.8298187361836624e-05,1.8298187356972323e-05,0.065000000000000002
0.014,2.2866728855279601e-05,2.2852482729787466e-05,2.2852492586941476e-05,2.2852492579837288e-05,0.070000000000000007
0.014999999999999999,2.8124972135557709e-05,2.8105852264918319e-05,2.8105865898231805e-05,2.8105865888324786e-05,0.074999999999999997
