"time","heatCapacitor.T","innerPipe.T","outerPipe.T","pipe1.T"
0,293.15,293.15,293.15,293.15
0.0005,293.249502980674,293.150000495834,293.150000000908,293.150248012919
0.001,293.348023759457,293.150003923156,293.150000014327,293.150984182739
0.0015,293.445584856602,293.150013909498,293.150000087109,293.152193574527
0.002,293.542187865074,293.150030710444,293.150000222911,293.153875132531
0.0025,293.637884459633,293.150062309826,293.150000649452,293.155994803536
0.003,293.73266513962,293.150107239259,293.150001325049,293.158558848721
0.0035,293.826526284998,293.150164939247,293.15000223382,293.161569653786
0.004,293.919467895765,293.150235409787,293.150003375764,293.165027218728
0.0045,294.011562409109,293.150329403497,293.150005221941,293.168884088497
0.005,294.102787512525,293.150443608296,293.150007627252,293.173154880461
0.0055,294.193129590677,293.150576003116,293.150010503157,293.1778485143
0.006,294.282588643563,293.150726587957,293.150013849655,293.182964990014
0.0065,294.371248465478,293.150907316617,293.150018374519,293.188449724069
0.007,294.459100854114,293.151117018982,293.150024008467,293.194308059441
0.0075,294.546119093988,293.151351883917,293.150030525846,293.200557398572
0.008,294.632303185101,293.151611911422,293.150037926656,293.207197741464
0.0085,294.717722346318,293.151906407085,293.150046981429,293.21418436749
0.009,294.802388816427,293.152237016254,293.150057826405,293.221509369465
0.0095,294.886268744891,293.152599188159,293.150070084766,293.229194617399
0.01,294.969362131708,293.152992922798,293.150083756512,293.237240111294
0.0105,295.0517032781,293.153422384852,293.150099361821,293.245623982861
0.011,295.133325090261,293.15389156962,293.150117399715,293.254325253193
0.0115,295.214215517688,293.154399013993,293.150137687447,293.263351604929
0.012,295.294384380019,293.154945910221,293.150160373933,293.272696777688
0.0125,295.373841496893,293.155533450554,293.150185608088,293.28235451109
0.013,295.452596687949,293.156162827241,293.150213538826,293.292318544755
0.0135,295.530659772826,293.156835232534,293.150244315062,293.302582618303
0.014,295.608040571162,293.157551858682,293.15027808571,293.313140471352
0.0145,295.684752030046,293.158313755188,293.150315194278,293.323984199215
0.015,295.760809821562,293.159121847173,293.150356153822,293.335104464486
0.0155,295.836219112169,293.159977539277,293.150400823733,293.346497453276
0.016,295.910990252023,293.160881999535,293.150449385936,293.358156626274
0.0165,295.985133591279,293.161836395982,293.150502022354,293.370075444174
0.017,296.058659480091,293.162841896654,293.150558914911,293.382247367666
0.0175,296.131578268615,293.163899669586,293.150620245531,293.394665857442
0.018,296.203900307006,293.165010882814,293.150686196136,293.407324374195
0.0185,296.275632396809,293.166175798902,293.150757024747,293.420218960341
0.019,296.346760550526,293.167389375835,293.150833435169,293.433360782979
0.0195,296.417312468109,293.168657208662,293.150915237287,293.446730680279
0.02,296.487297370283,293.169980177229,293.151002637243,293.460322934627
0.0205,296.556724477771,293.171359161385,293.15109584118,293.474131828414
0.021,296.625603011297,293.172795040977,293.151195055242,293.488151644028
0.0215,296.693942191585,293.174288695851,293.151300485569,293.502376663857
0.022,296.761751239359,293.175841005854,293.151412338306,293.51680117029
0.0225,296.829039375342,293.177452850835,293.151530819595,293.531419445716
0.023,296.895781549655,293.179117411841,293.151656459924,293.546250061353
0.0235,296.962007023367,293.180840070729,293.151789275768,293.561273096264
0.024,297.027725316741,293.182621774638,293.151929470436,293.576482620544
0.0245,297.092944276257,293.184463094693,293.152077263077,293.591873890557
0.025,297.157671748393,293.186364602022,293.152232872839,293.60744216267
0.0255,297.221915579629,293.188326867752,293.152396518871,293.62318269325
0.026,297.285683616443,293.19035046301,293.152568420322,293.639090738662
0.0265,297.348983705315,293.192435958922,293.152748796341,293.655161555273
0.027,297.411802191763,293.194579418893,293.152937875771,293.671405471943
0.0275,297.474152527235,293.196782589144,293.153135875232,293.687813815873
0.028,297.536047339347,293.199047043177,293.153343011719,293.704378491778
0.0285,297.597493356947,293.201373117805,293.153559504884,293.721095539503
0.029,297.65849730888,293.203761149841,293.153785574381,293.737960998891
0.0295,297.719065923993,293.206211476098,293.154021439861,293.754970909784
0.03,297.779205931133,293.208724433387,293.154267320977,293.772121312027
0.0305,297.838924059147,293.211300358523,293.154523437383,293.789408245461
0.031,297.898218529008,293.213937921402,293.154789931693,293.806833659317
0.0315,297.95709254717,293.216636768707,293.155066991665,293.824396040016
0.032,298.01555686759,293.219398025876,293.155354873398,293.842088631646
0.0325,298.073616818305,293.222221755266,293.155653783862,293.859908447023
0.033,298.131277629728,293.225108000108,293.15596392914,293.87785256677
0.0335,298.188544434649,293.228056784504,293.156285514434,293.895918139317
0.034,298.24542226823,293.231068113431,293.15661874406,293.914102380903
0.0345,298.301916068015,293.234141972737,293.15696382145,293.932402575574
0.035,298.358030994914,293.23727845655,293.157320911843,293.950815819957
0.0355,298.413772294136,293.240477712074,293.157690158448,293.969339133842
0.036,298.469144249545,293.243739524571,293.158071803983,293.987970291575
0.0365,298.524151490799,293.247063836171,293.158466038742,294.006706782747
0.037,298.578798555767,293.250450572195,293.158873051457,294.025546160114
0.0375,298.633089890531,293.253899641149,293.159293029298,294.044486039601
0.038,298.687029849384,293.257410934733,293.159726157873,294.063524100301
0.0385,298.740622694828,293.260984327832,293.160172621225,294.082658084474
0.039,298.793873180212,293.264619839254,293.160632586241,294.101885365714
0.0395,298.846788421539,293.268318148107,293.161106152537,294.121201561598
0.04,298.899370553713,293.272078567864,293.161593549057,294.140605976729
0.0405,298.951623793661,293.275900994884,293.162094944987,294.160096367691
0.041,299.003552289546,293.279785315064,293.162610507337,294.179670537171
0.0415,299.055160120775,293.283731403843,293.163140400937,294.199326333954
0.042,299.106451297988,293.287739126205,293.163684788437,294.219061652926
0.0425,299.157429763069,293.29180833667,293.164243830309,294.238874435074
0.043,299.208099389136,293.295938879306,293.164817684848,294.258762667487
0.0435,299.25846398055,293.300130587717,293.165406508168,294.27872438335
0.044,299.308527272908,293.304383285052,293.166010454205,294.298757661951
0.0445,299.358292933047,293.308696784,293.166629674717,294.31886062868
0.045,299.407764559042,293.313070886793,293.167264319283,294.339031455025
0.0455,299.456945680207,293.317505385204,293.167914535303,294.359268358574
0.046,299.505839757096,293.322000060546,293.168580467997,294.379569603017
0.0465,299.554450181499,293.326554683678,293.169262260409,294.399933498143
0.047,299.602780276447,293.331169014995,293.169960053402,294.420358399843
0.0475,299.650834196429,293.335843013175,293.170674012738,294.440842050826
0.048,299.698614731832,293.34057632608,293.171404263038,294.461383188551
0.0485,299.746124829899,293.34536864343,293.172150933531,294.481980431348
0.049,299.793367577225,293.350219692742,293.17291415753,294.50263229123
0.0495,299.840345993507,293.355129191506,293.17369406622,294.52333732495
0.05,299.887063031543,293.360096847186,293.174490788667,294.544094133995
0.0505,299.933521577234,293.36512235722,293.175304451812,294.564901364589
0.051,299.979724449581,293.370205409019,293.176135180476,294.585757707691
0.0515,300.025674400689,293.375345679967,293.176983097355,294.606661898997
0.052,300.071374115762,293.380542837424,293.177848323023,294.627612718938
0.0525,300.116826213108,293.385796538721,293.178730975931,294.648608992683
0.053,300.162033244134,293.391106431164,293.179631172408,294.669649590134
0.0535,300.206997693353,293.396472152032,293.180549026661,294.690733425932
0.054,300.251721978375,293.401893328578,293.181484650772,294.711859459452
0.0545,300.296209102698,293.407369753175,293.182438142637,294.733026212473
0.055,300.340475689117,293.41290488028,293.183409345094,294.754222138966
0.0555,300.384512813146,293.418495317743,293.184398569762,294.775454564745
0.056,300.428323040693,293.424140764298,293.18540591255,294.796722320836
0.0565,300.471908888974,293.429840913537,293.186431466905,294.818024269548
0.057,300.515272826507,293.435595453909,293.187475323813,294.839359304476
0.0575,300.558417273119,293.44140406872,293.188537571806,294.860726350503
0.058,300.601344599938,293.447266436135,293.189618296951,294.882124363794
0.0585,300.644057129401,293.453182229177,293.190717582861,294.903552331802
0.059,300.686557135247,293.459151115726,293.191835510686,294.925009273266
0.0595,300.728846842525,293.465172758519,293.19297215912,294.946494238208
0.06,300.770928427583,293.471246815153,293.194127604396,294.968006307939
0.0605,300.81280401808,293.477372938081,293.195301920288,294.989544595053
0.061,300.854475692977,293.483550774613,293.196495178111,295.011108243432
0.0615,300.895945482542,293.48977996692,293.197707446722,295.03269642824
0.062,300.937218079668,293.496060803392,293.198938798451,295.054306387584
0.0625,300.978300453448,293.502394125807,293.200189308259,295.075933703043
0.063,301.019189194485,293.508778289186,293.201459026039,295.097581486639
0.0635,301.059886391669,293.515212976004,293.202748011365,295.119248854717
0.064,301.100394095612,293.521697866099,293.204056321375,295.140934947347
0.0645,301.140714318645,293.528232636667,293.205384010771,295.162638928324
0.065,301.180849034821,293.534816962265,293.206731131817,295.184359985166
0.0655,301.220800179912,293.54145051481,293.208097734344,295.206097329118
0.066,301.260569651411,293.548132963578,293.209483865742,295.227850195146
0.0665,301.300159308534,293.554863975207,293.21088957097,295.249617841943
0.067,301.339570972214,293.561643213691,293.212314892546,295.271399551926
0.0675,301.378806425107,293.568470340388,293.213759870554,295.293194631235
0.068,301.417867411589,293.575345014014,293.215224542643,295.315002409736
0.0685,301.456755637756,293.582266890644,293.216708944022,295.336822241019
0.069,301.495472771425,293.589235623715,293.218213107466,295.358653502397
0.0695,301.534023985288,293.596251557743,293.219737172019,295.380493101513
0.07,301.572411397562,293.603314444057,293.22128118175,295.402340092299
0.0705,301.610634235852,293.610423472885,293.222845090781,295.424195559657
0.071,301.64869419432,293.617578322239,293.224428927648,295.446058849508
0.0715,301.68659293627,293.624778668946,293.226032718678,295.467929326274
0.072,301.724332094151,293.632024188645,293.227656487989,295.489806372877
0.0725,301.761913269556,293.639314555789,293.22930025749,295.511689390739
0.073,301.799338033221,293.646649443644,293.230964046883,295.533577799781
0.0735,301.836607925028,293.654028524289,293.23264787366,295.555471038427
0.074,301.873724454002,293.661451468617,293.234351753105,295.5773685636
0.0745,301.910689098311,293.668917946336,293.236075698293,295.599269850723
0.075,301.94750330527,293.676427625963,293.237819720091,295.621174393719
0.0755,301.984168491337,293.683980174833,293.239583827158,295.643081705012
0.076,302.020686042112,293.691575259093,293.241368025942,295.664991315527
0.0765,302.057057312341,293.6992125437,293.243172320686,295.686902774687
0.077,302.093287651294,293.706892327377,293.244996922876,295.708812899395
0.0775,302.129376380396,293.714613961717,293.246841729745,295.73072262351
0.078,302.165324061177,293.722376997601,293.248706702454,295.752632030796
0.0785,302.20113206207,293.730181116871,293.250591843542,295.774540650973
0.079,302.236801726268,293.738026001066,293.252497153634,295.796448028427
0.0795,302.272334371718,293.745911331424,293.254422631439,295.818353722206
0.08,302.307731291125,293.753836788883,293.256368273749,295.840257306026
0.0805,302.342993751949,293.761802054077,293.258334075438,295.862158368265
0.081,302.37812299641,293.769806807342,293.260320029466,295.884056511965
0.0815,302.413120241482,293.77785072871,293.262326126873,295.905951354835
0.082,302.447986678898,293.785933497914,293.264352356787,295.927842529246
0.0825,302.482723475146,293.794054794383,293.266398706415,295.949729682236
0.083,302.517331771472,293.802214297246,293.268465161051,295.971612475504
0.0835,302.551812683877,293.810411685333,293.270551704071,295.993490585417
0.084,302.586167568402,293.818646675863,293.272658331776,296.015363523687
0.0845,302.620401599993,293.826919546469,293.274785253621,296.037228218215
0.085,302.65451257317,293.835229501646,293.276932265641,296.059086583347
0.0855,302.688501622582,293.843576236463,293.279099350238,296.080938273247
0.086,302.722369862687,293.851959446427,293.281286488182,296.102782953331
0.0865,302.756118387751,293.860378827479,293.283493658606,296.124620300264
