"time","axis.controller.PI.x","axis.gear.spring.phi_rel","axis.gear.spring.w_rel","axis.initializeFlange.phi_flange","axis.initializeFlange.w_flange","axis.motor.C.v","axis.motor.La.i","axis.gear.bearingFriction.mode","axis.gear.bearingFriction.startBackward","axis.gear.bearingFriction.startForward"
0,-0,0,0,0,0,-0,0,0,0,0
0.00032,0.0021515476770808,0,0,0,0,-10.332140401658,0.0971096205819714,0,0,0
0.00064,0.00861077583707569,4.18867369947761e-25,2.5555785344686e-21,-4.28529283154703e-30,-4.96022094353277e-26,-29.5258758817557,0.416236157005563,0,0,0
0.000652329983410152,0.00894593895929833,4.50229505620884e-25,2.62211186521091e-21,-4.92052932293353e-30,-5.34147558175945e-26,-30.2622982361067,0.430440771350262,0,0,0
0.000652329983410152,0.00894593895929833,4.50229505620884e-25,2.62211186521091e-21,-4.92052932293353e-30,-5.34147558175945e-26,-30.2622982361067,0.430440771350262,0,0,1
0.000652343821290939,0.00894631870998851,-6.11336795802e-19,-9.99999861746646e-11,4.00428650996587e-28,6.5836589666381e-20,-30.2631230447547,0.430456736335455,0,0,1
0.000652343821290939,0.00894631870998851,-6.11336795802e-19,-9.99999861746646e-11,4.00428650996587e-28,6.5836589666381e-20,-30.2631230447547,0.430456736335455,1,0,0
0.00096,0.019284408106044,-4.99685395837094e-06,-0.0484729135170849,4.35350128547168e-11,5.71314141452513e-07,-47.1565957665899,0.779962456166086,1,0,0
0.00128,0.0336488754930697,-4.13499782184546e-05,-0.193348328657531,7.7807361521422e-10,5.01839366682545e-06,-61.3645969464341,1.09272924867909,1,0,0
0.0016,0.0511400608803548,-0.000137131750024806,-0.417076810960037,4.12570079289766e-09,1.76290026177103e-05,-73.24981251465,1.35077767688456,1,0,0
0.00192,0.0712924914575408,-0.000315148214731819,-0.705331934162145,1.34022378257222e-08,4.28224707105214e-05,-83.6030905318799,1.57144655984796,1,0,0
