"time","uniformDensity_y","normalDensity_y","weibullDensity_y"
0,0,7.43359757367149e-07,0
0.01,0,7.62168472052463e-07,0
0.02,0,7.81433554474645e-07,0
0.03,0,8.01165564675402e-07,0
0.04,0,8.21375294022536e-07,0
0.05,0,8.42073769958439e-07,0
0.06,0,8.63272260838537e-07,0
0.07,0,8.84982280861255e-07,0
0.08,0,9.07215595091015e-07,0
0.09,0,9.29984224575876e-07,0
0.1,0,9.53300451561405e-07,0
0.11,0,9.77176824802422e-07,0
0.12,0,1.00162616497424e-06,0
0.13,0,1.02666157018513e-06,0
0.14,0,1.05229642159156e-06,0
0.15,0,1.07854438911822e-06,0
0.16,0,1.10541943728421e-06,0
0.17,0,1.13293583113745e-06,0
0.18,0,1.161108142299e-06,0
0.19,0,1.18995125511907e-06,0
0.2,0,1.21948037294668e-06,0
0.21,0,1.24971102451469e-06,0
0.22,0,1.28065907044227e-06,0
0.23,0,1.31234070985659e-06,0
0.24,0,1.34477248713576e-06,0
0.25,0,1.37797129877499e-06,0
0.26,0,1.41195440037791e-06,0
0.27,0,1.44673941377524e-06,0
0.28,0,1.48234433427264e-06,0
0.29,0,1.51878753803003e-06,0
0.3,0,1.55608778957447e-06,0
0.31,0,1.59426424944852e-06,0
0.32,0,1.63333648199664e-06,0
0.33,0,1.67332446329148e-06,0
0.34,0,1.71424858920252e-06,0
0.35,0,1.75612968360914e-06,0
0.36,0,1.79898900676062e-06,0
0.37,0,1.8428482637852e-06,0
0.38,0,1.88772961335067e-06,0
0.39,0,1.93365567647878e-06,0
0.4,0,1.98064954551604e-06,0
0.41,0,2.02873479326313e-06,0
0.42,0,2.0779354822656e-06,0
0.43,0,2.12827617426826e-06,0
0.44,0,2.17978193983582e-06,0
0.45,0,2.23247836814232e-06,0
0.46,0,2.28639157693207e-06,0
0.47,0,2.34154822265458e-06,0
0.48,0,2.39797551077626e-06,0
0.49,0,2.45570120627155e-06,0
0.5,0,2.51475364429622e-06,0
0.51,0,2.57516174104562e-06,0
0.52,0,2.63695500480065e-06,0
0.53,0,2.70016354716438e-06,0
0.54,0,2.76481809449203e-06,0
0.55,0,2.83094999951743e-06,0
0.56,0,2.89859125317864e-06,0
0.57,0,2.96777449664605e-06,0
0.58,0,3.03853303355556e-06,0
0.59,0,3.11090084245028e-06,0
0.6,0,3.18491258943354e-06,0
0.61,0,3.26060364103657e-06,0
0.62,0,3.33801007730373e-06,0
0.63,0,3.41716870509879e-06,0
0.64,0,3.4981170716352e-06,0
0.65,0,3.58089347823396e-06,0
0.66,0,3.66553699431197e-06,0
0.67,0,3.75208747160451e-06,0
0.68,0,3.84058555862523e-06,0
0.69,0,3.93107271536683e-06,0
0.7,0,4.02359122824615e-06,0
0.71,0,4.11818422529702e-06,0
0.72,0,4.21489569161439e-06,0
0.73,0,4.31377048505342e-06,0
0.74,0,4.41485435218705e-06,0
0.75,0,4.51819394452569e-06,0
0.76,0,4.62383683500281e-06,0
0.77,0,4.73183153473005e-06,0
0.78,0,4.84222751002572e-06,0
0.79,0,4.95507519972035e-06,0
0.8,0,5.07042603274338e-06,0
0.81,0,5.18833244599453e-06,0
0.82,0,5.3088479025042e-06,0
0.83,0,5.43202690988645e-06,0
0.84,0,5.55792503908889e-06,0
0.85,0,5.68659894344333e-06,0
0.86,0,5.81810637802133e-06,0
0.87,0,5.95250621929891e-06,0
0.88,0,6.08985848513435e-06,0
0.89,0,6.23022435506348e-06,0
0.9,0,6.37366619091673e-06,0
0.91,0,6.52024755776197e-06,0
0.92,0,6.67003324517792e-06,0
0.93,0,6.82308928886196e-06,0
0.94,0,6.97948299257739e-06,0
0.95,0,7.13928295044389e-06,0
