"time","FF.RS1.TD1.x","FF.RS2.TD1.x"
0,3,4
0.001,3,4
0.001,3,4
0.05,3,4
0.1,3,4
0.15,3,4
0.2,3,4
0.25,3,4
0.3,3,4
0.35,3,4
0.4,3,4
0.45,3,4
0.5,3,4
0.55,3,4
0.6,3,4
0.65,3,4
0.7,3,4
0.75,3,4
0.8,3,4
0.85,3,4
0.9,3,4
0.95,3,4
1,3,4
1.05,3,4
1.1,3,4
1.15,3,4
1.2,3,4
1.25,3,4
1.3,3,4
1.35,3,4
1.4,3,4
1.45,3,4
1.5,3,4
1.55,3,4
1.6,3,4
1.65,3,4
1.7,3,4
1.75,3,4
1.8,3,4
1.85,3,4
1.9,3,4
1.95,3,4
2,3,4
2.05,3,4
2.1,3,4
2.15,3,4
2.2,3,4
2.25,3,4
2.3,3,4
2.35,3,4
2.4,3,4
2.45,3,4
2.5,3,4
2.55,3,4
2.6,3,4
2.65,3,4
2.7,3,4
2.75,3,4
2.8,3,4
2.85,3,4
2.9,3,4
2.95,3,4
3,3,4
3.05,3,4
3.1,3,4
3.15,3,4
3.2,3,4
3.25,3,4
3.3,3,4
3.35,3,4
3.4,3,4
3.45,3,4
3.5,3,4
3.55,3,4
3.6,3,4
3.65,3,4
3.7,3,4
3.75,3,4
3.8,3,4
3.85,3,4
3.9,3,4
3.95,3,4
4,3,4
4.05,3,4
4.1,3,4
4.15,3,4
4.2,3,4
4.25,3,4
4.3,3,4
4.35,3,4
4.4,3,4
4.45,3,4
4.5,3,4
4.55,3,4
4.6,3,4
4.65,3,4
4.7,3,4
4.75,3,4
4.8,3,4
4.85,3,4
4.9,3,4
4.95,3,4
5,3,4
5.05,3,4
5.1,3,4
5.15,3,4
5.2,3,4
5.25,3,4
5.3,3,4
5.35,3,4
5.4,3,4
5.45,3,4
5.5,3,4
5.55,3,4
5.6,3,4
5.65,3,4
5.7,3,4
5.75,3,4
5.8,3,4
5.85,3,4
5.9,3,4
5.95,3,4
6,3,4
6.05,3,4
6.1,3,4
6.15,3,4
6.2,3,4
6.25,3,4
6.3,3,4
6.35,3,4
6.4,3,4
6.45,3,4
6.5,3,4
6.55,3,4
6.6,3,4
6.65,3,4
6.7,3,4
6.75,3,4
6.8,3,4
6.85,3,4
6.9,3,4
6.95,3,4
7,3,4
7.05,3,4
7.1,3,4
7.15,3,4
7.2,3,4
7.25,3,4
7.3,3,4
7.35,3,4
7.4,3,4
7.45,3,4
7.5,3,4
7.55,3,4
7.6,3,4
7.65,3,4
7.7,3,4
7.75,3,4
7.8,3,4
7.85,3,4
7.9,3,4
7.95,3,4
8,3,4
8.05,3,4
8.1,3,4
8.15,3,4
8.2,3,4
8.25,3,4
8.3,3,4
8.35,3,4
8.4,3,4
8.45,3,4
8.5,3,4
8.55,3,4
8.6,3,4
8.65,3,4
8.7,3,4
8.75,3,4
8.8,3,4
8.85,3,4
8.9,3,4
8.95,3,4
9,3,4
9.05,3,4
9.1,3,4
9.15,3,4
9.2,3,4
9.25,3,4
9.3,3,4
9.35,3,4
9.4,3,4
9.45,3,4
9.5,3,4
9.55,3,4
9.6,3,4
9.65,3,4
9.7,3,4
9.75,3,4
9.8,3,4
9.85,3,4
9.9,3,4
9.95,3,4
10,3,4
10,4,4
10.001000000005,4,4
10.001000000005,4,4
10.05,4,4
10.1,4,4
10.15,4,4
10.2,4,4
10.25,4,4
10.3,4,4
10.35,4,4
10.4,4,4
10.45,4,4
10.5,4,4
10.55,4,4
10.6,4,4
10.65,4,4
10.7,4,4
10.75,4,4
10.8,4,4
10.85,4,4
10.9,4,4
10.95,4,4
11,4,4
11.05,4,4
11.1,4,4
11.15,4,4
11.2,4,4
11.25,4,4
11.3,4,4
11.35,4,4
11.4,4,4
11.45,4,4
11.5,4,4
11.55,4,4
11.6,4,4
11.65,4,4
11.7,4,4
11.75,4,4
11.8,4,4
11.85,4,4
11.9,4,4
11.95,4,4
12,4,4
12.05,4,4
12.1,4,4
12.15,4,4
12.2,4,4
12.25,4,4
12.3,4,4
12.35,4,4
12.4,4,4
12.45,4,4
12.5,4,4
12.55,4,4
12.6,4,4
12.65,4,4
12.7,4,4
12.75,4,4
12.8,4,4
12.85,4,4
12.9,4,4
12.95,4,4
13,4,4
13.05,4,4
13.1,4,4
13.15,4,4
13.2,4,4
13.25,4,4
13.3,4,4
13.35,4,4
13.4,4,4
13.45,4,4
13.5,4,4
13.55,4,4
13.6,4,4
13.65,4,4
13.7,4,4
13.75,4,4
13.8,4,4
13.85,4,4
13.9,4,4
13.95,4,4
14,4,4
14.05,4,4
14.1,4,4
14.15,4,4
14.2,4,4
14.25,4,4
14.3,4,4
14.35,4,4
14.4,4,4
14.45,4,4
