"time","freeMotion.r_rel_a[1]","freeMotion.r_rel_a[2]","freeMotion.r_rel_a[3]","freeMotion.v_rel_a[1]","freeMotion.v_rel_a[2]","freeMotion.v_rel_a[3]","referenceSystem.pointMass1.w_a[1]","referenceSystem.pointMass1.w_a[2]","referenceSystem.pointMass1.w_a[3]","referenceSystem.pointMass3.v_0[1]","referenceSystem.pointMass6.frame_a.r_0[1]","referenceSystem.pointMass6.frame_a.r_0[2]","referenceSystem.pointMass6.frame_a.r_0[3]","referenceSystem.pointMass6.v_0[2]","referenceSystem.pointMass6.v_0[3]"
0,2,0,0,0,0,-1,0,0,0,0,2,0,-1,0,-1
0.0006,1.99999972600187,1.6853904964812e-31,-0.000599999950382576,-0.000913326457696343,4.8842213864241e-28,-0.999999806878341,-7.250630270365e-51,1.68367726734588e-07,2.84608220846163e-38,-0.00091332645769636,1.99999972595861,-1.54951181193533e-41,-1.00059999995038,-5.61869584987329e-38,-0.999999806878341
0.0012,1.99999890400796,2.39861734707011e-25,-0.00119999960308087,-0.00182665306982879,4.34942479875364e-22,-0.99999922751344,-3.07702449918868e-47,6.73470687469271e-07,-5.79856475457621e-35,-0.00182665306982775,1.99999890366192,3.64911552024927e-38,-1.00119999960308,6.61012866138603e-35,-0.999999227513439
0.0018,1.99999753401792,1.00665336034935e-24,-0.00179999871071458,-0.00273997996473831,1.69693221850396e-21,-0.999998261904426,-3.41036441966918e-44,1.51530927057382e-06,-2.26598113588338e-34,-0.00273997996473339,1.99999753289389,1.53327280370366e-37,-1.00179999871071,2.58656538050676e-34,-0.999998261904424
0.0024,1.99999561603121,1.75611219357871e-24,-0.00239999682472273,-0.00365330737512691,2.12140274139861e-21,-0.999996910049175,-2.81401580368073e-43,2.6938842941371e-06,-2.8295403455316e-34,-0.00365330737512077,1.99999561326294,2.67078841220236e-37,-1.00239999682472,3.2296875119303e-34,-0.999996910049168
0.003,1.99999315004795,2.60370825327521e-24,-0.00299999404970298,-0.00456663524673187,2.07127904067033e-21,-0.999995171948176,-7.01324253792934e-43,4.20919556987951e-06,-2.75640521441647e-34,-0.00456663524672597,1.99999314486036,3.95446277587888e-37,-1.0029999940497,3.14552066577954e-34,-0.999995171948153
0.0036,1.99999013606652,3.610930974129e-24,-0.00359998968595053,-0.00547996394258171,1.94599253065408e-21,-0.99999304759492,-8.12454971898201e-35,6.06124559788329e-06,4.54392880894693e-28,-0.00547996394257627,1.99999012707452,5.13179817586032e-31,-1.00359998968595,2.31415274797195e-28,-0.999993047594865
0.0042,1.99998657408527,4.83951224924096e-24,-0.00419998303100157,-0.00639329382713643,2.14654961993238e-21,-0.999990536982874,-3.25302343992446e-34,8.25003688808877e-06,1.81936398529954e-27,-0.00639329382713042,1.99998655929138,2.0547413250365e-30,-1.004199983031,9.27315923523307e-28,-0.999990536982752
0.0048,1.9999824641054,6.24436300322675e-24,-0.0047999745979368,-0.00730662463419385,2.38005457377317e-21,-0.999987640116811,-6.72594708162423e-34,1.07755676072315e-05,3.76171491676124e-27,-0.00730662463418716,1.99998244195943,4.24837995873968e-30,-1.00479997459794,1.91908992151982e-27,-0.999987640116572
0.0054,1.99997780612691,7.82548323608635e-24,-0.00539996438675624,-0.00821995636375398,2.64650739217645e-21,-0.99998435699673,-1.12312258969975e-33,1.36378377553113e-05,6.28144567527979e-27,-0.00821995636374648,1.99997777507867,7.09409571869557e-30,-1.00539996438676,3.2079198816311e-27,-0.999984356996306
