"time","inductor.i","meanCurrent.x","meanVoltage.x","rootMeanSquareVoltage.mean.x","meanCurrent.y","meanVoltage.y","pulse2m.twomPulse.timerNegative[1].entryTime","pulse2m.twomPulse.timerNegative[2].entryTime","pulse2m.twomPulse.timerNegative[3].entryTime","pulse2m.twomPulse.timerPositive[1].entryTime","pulse2m.twomPulse.timerPositive[2].entryTime","pulse2m.twomPulse.timerPositive[3].entryTime","rectifier.pre_n[1].u","rectifier.pre_n[2].u","rectifier.pre_n[3].u","rectifier.pre_p[1].u","rectifier.pre_p[2].u","rectifier.pre_p[3].u","rectifier.thyristor_n.idealThyristor[1].off","rectifier.thyristor_n.idealThyristor[2].off","rectifier.thyristor_n.idealThyristor[3].off","rectifier.thyristor_p.idealThyristor[1].off","rectifier.thyristor_p.idealThyristor[2].off","rectifier.thyristor_p.idealThyristor[3].off","rootMeanSquareVoltage.mean.y"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
0.0001,0.0038938778141502,3.31492385072225e-07,-0.0220994923381484,5.23888514414736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
0.000185592705431615,0.00389881368444496,6.65129806974532e-07,-0.0443419871316355,11.0189176522775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
0.0002,0.00389882425315054,7.21301245828993e-07,-0.0480867497219329,11.9922611756672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
0.0003,0.00389883036688434,1.11118418923996e-06,-0.0740789459493308,18.7482038229053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
0.0004,0.00389883035318099,1.50106722453492e-06,-0.100071148302328,25.5041496544969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
0.0005,0.00389883035150041,1.8909502596496e-06,-0.126063350643307,32.2600954798405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
0.0006,0.00389883035108321,2.28083329474533e-06,-0.152055552983022,39.0160413045275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
0.0007,0.00389883035100274,2.67071632983601e-06,-0.1780477553224,45.7719871290395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
0.0008,0.00389883035092227,3.06059936492669e-06,-0.204039957661779,52.5279329535515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
0.0009,0.0038988303509052,3.45048240001642e-06,-0.230032160001094,59.2838787780306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
0.001,0.00389883035090323,3.84036543510592e-06,-0.256024362340395,66.0398246025018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
0.0011,0.00389883035090126,4.23024847019542e-06,-0.282016564679695,72.795770426973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
0.0012,0.00389883035089928,4.62013150528493e-06,-0.308008767018995,79.5517162514443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
0.0013,0.00389883035089731,5.01001454037443e-06,-0.334000969358295,86.3076620759155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
0.0014,0.00389883035089533,5.39989757546393e-06,-0.359993171697595,93.0636079003867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
0.0015,0.00389883035089501,5.78978061055341e-06,-0.385985374036894,99.8195537248571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
0.0016,0.00389883035089498,6.17966364564288e-06,-0.411977576376192,106.575499549327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
0.00166666666666667,0.00389883035089496,6.43958566903586e-06,-0.429305711269057,111.079463432307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
0.00166666666666667,0.00389883035089496,6.43958566903586e-06,-0.429305711269057,111.079463432307,0,0,0,0,0,0.00166666666666667,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
0.00166666676666667,0.00389883035089496,6.4395860589189e-06,-0.42930573726126,111.079470188253,0,0,0,0,0,0.00166666666666667,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
0.00166666676666667,0.00389883035089496,6.4395860589189e-06,-0.42930573726126,111.079470188253,0,0,0,0,0,0.00166666666666667,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0
