"time","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc.stator.zeroInductor.i0","cRun.v","cStart.v","loadInertia.phi","loadInertia.w"
0,0,0,0,0,0,0,0,0,0
5e-05,8.58647261674356e-16,-1.67103539060104e-11,5.20536179746781e-13,-8.18432316868532e-09,-3.93394092347074e-17,1.79107367468204e-08,1.78182507055527e-08,9.37338691508757e-30,3.63500227754671e-25
0.0001,1.36582812492898e-14,-6.68285572960649e-11,4.14735556419166e-12,-1.63993665790543e-08,-3.91575915151902e-17,7.14648443776517e-08,7.12798966188809e-08,1.19556418969855e-27,2.31767029401198e-23
0.00015,1.13058441395333e-13,-1.65795908903098e-10,1.83202750422658e-11,-2.46545146733006e-08,-3.89666664068375e-17,1.77034238001304e-07,1.76757114113678e-07,7.46897624021797e-26,7.30137910710804e-22
0.0002,2.16716605796926e-13,-2.67143637287969e-10,3.3010170161894e-11,-3.29116149569434e-08,-3.8775301658287e-17,2.85138234171642e-07,2.84768948154776e-07,1.51748687718375e-25,1.47081425373646e-21
0.00025,4.93530088916638e-13,-4.14211701846564e-10,6.25536877685321e-11,-4.1197598225712e-08,-3.85887845208156e-17,4.41776652609016e-07,4.41315665832095e-07,7.94872210274133e-25,7.06915308874151e-21
0.0003,7.88520097205655e-13,-5.66079138710688e-10,9.3656425415243e-11,-4.94866134100464e-08,-3.84027762485956e-17,6.03509844654532e-07,6.02957205548576e-07,1.49741687839648e-24,1.31774122958328e-20
0.00035,1.36154073317277e-12,-7.61088669594186e-10,1.43406298687363e-10,-5.7795610661132e-08,-3.82154637461659e-17,8.10848218726423e-07,8.10204533757472e-07,4.4254317504478e-24,3.57840008226909e-20
0.0004,1.98095387760892e-12,-9.63296939619775e-10,1.96267654333383e-10,-6.61079421427257e-08,-3.80279336183919e-17,1.02579632562185e-06,1.02506169598552e-06,7.72479112560514e-24,6.11435194460794e-20
0.00045,2.84442101785754e-12,-1.18754840748716e-09,2.61788654275396e-10,-7.44210989528027e-08,-1.2342618486537e-16,1.26387088190875e-06,1.2630457833291e-06,1.68819131984678e-23,1.21695977106302e-19
0.0005,3.95652206067049e-12,-1.43425673489564e-09,3.40206868851859e-10,-8.27350965794416e-08,-2.96016316566432e-16,1.52550587753825e-06,1.52459079466675e-06,3.20067244909955e-23,2.18101802978371e-19
0.00055,5.27980522880568e-12,-1.7000392403508e-09,4.2957958789915e-10,-9.10498083702661e-08,-5.42664597358294e-16,1.80715239855741e-06,1.80614774304238e-06,5.2200310715958e-23,3.4496039663813e-19
0.0006,6.81427052226312e-12,-1.98489592385263e-09,5.2990681141727e-10,-9.93652343252763e-08,-8.63371027240955e-16,2.10881044496622e-06,2.10771662845598e-06,7.74626718733553e-23,5.02271758085579e-19
0.00065,8.81682754591738e-12,-2.29505437026132e-09,6.49311796838099e-10,-1.07675536833527e-07,-9.86107520747195e-16,2.43668568133633e-06,2.43550340434748e-06,1.26733084092272e-22,7.80243053132719e-19
0.0007,1.12623283848105e-11,-2.62990498471748e-09,7.8699938904403e-10,-1.15981287316799e-07,-9.37501884038061e-16,2.79017065850293e-06,2.78890059327588e-06,1.98157652864979e-22,1.17004424159655e-18
0.00075,1.4068864551967e-11,-2.98746227487777e-09,9.40379713180512e-10,-1.24284346935091e-07,-8.04282711423285e-16,3.16728687279747e-06,3.16592959947495e-06,2.85698116395463e-22,1.64291527587353e-18
0.0008,1.7236436047387e-11,-3.3677262407422e-09,1.10945276924754e-09,-1.32584715688402e-07,-5.86450002902868e-16,3.56803432421992e-06,3.5665904229447e-06,3.89354474683723e-22,2.19885615596365e-18
0.00085,2.10888677676675e-11,-3.7717014117306e-09,1.30135273017756e-09,-1.408716496397e-07,-4.18464218354028e-16,3.99291708667184e-06,3.99138740418635e-06,5.59857633806765e-22,3.04943813985957e-18
0.0009,2.5683416137995e-11,-4.19956540162184e-09,1.51734100991082e-09,-1.49143249122116e-07,-3.2409970416704e-16,4.4420242869311e-06,4.44040971711606e-06,8.06177473347541e-22,4.23206975924664e-18
0.00095,3.08617190209085e-11,-4.65082695903982e-09,1.75392873873264e-09,-1.57404768311138e-07,-2.37600411150148e-16,4.91510941454923e-06,4.91341072090843e-06,1.10350473742081e-21,5.6432849835845e-18
0.001,3.6623776416408e-11,-5.12548608398453e-09,2.01111591664304e-09,-1.65656207206764e-07,-1.58966339303353e-16,5.41217246952624e-06,5.41039041556345e-06,1.45183942602656e-21,7.28308381287315e-18
0.00105,4.36422911253397e-11,-5.62293445686652e-09,2.29852692875929e-09,-1.73884320928673e-07,-8.29651505306695e-17,5.93136285665027e-06,5.92949852541454e-06,2.13972340534778e-21,9.85534853684025e-18
0.0011,5.22883919889856e-11,-6.14283646893837e-09,2.62147152983809e-09,-1.82081802301867e-07,-6.71017396895219e-18,6.47165960610255e-06,6.46971425693546e-06,3.32634466794692e-21,1.37484096608099e-17
0.00115,6.20775612925472e-11,-6.68563026556976e-09,2.97301770610233e-09,-1.90258191020753e-07,6.6029971469953e-17,7.03439561877474e-06,7.03237028086371e-06,4.80387942380725e-21,1.84552922798507e-17
0.0012,7.30097990360244e-11,-7.2513158467607e-09,3.35316545755199e-09,-1.98413487085332e-07,1.35255285786046e-16,7.61957089466684e-06,7.61746659719929e-06,6.57232767292879e-21,2.39759963939627e-17
0.00125,8.50851052194171e-11,-7.83989321251116e-09,3.76191478418708e-09,-2.06547690495602e-07,2.00965768979327e-16,8.22718543377885e-06,8.22500320594218e-06,8.63168941531152e-21,3.03105220031458e-17
0.0013,9.83034798427254e-11,-8.45136236282117e-09,4.1992656860076e-09,-2.14660801251564e-07,2.63161421049795e-16,8.85723923611078e-06,8.85498010709241e-06,1.09819646509555e-20,3.74588691074001e-17
0.00135,1.12664922905949e-10,-9.08572329769072e-09,4.66521816301355e-09,-2.22752819353218e-07,3.21842241997452e-16,9.50973230166262e-06,9.50739730064996e-06,1.36231533798606e-20,4.54210377067255e-17
0.0014,1.28169434409089e-10,-9.7429760171198e-09,5.15977221520493e-09,-2.30823744800564e-07,3.77008231822296e-16,1.01846646304344e-05,1.01822547866148e-05,1.65552556020269e-20,5.41970278011221e-17
