"time","PID1.I.y","PID2.I.y","PID3.I.y","PID4.I.y","firstOrder1.y","firstOrder2.y","firstOrder3.y","firstOrder4.y"
0,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.002,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.004,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.006,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.008,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.01,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.012,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.014,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.016,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.018,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.02,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.022,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.024,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.026,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.028,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.03,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.032,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.034,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.036,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.038,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.04,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.042,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.044,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.046,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.048,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.05,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.052,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.054,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.056,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.058,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.06,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.062,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.064,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.066,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.068,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.07,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.072,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.074,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.076,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.078,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.08,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.082,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.084,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.086,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.088,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.09,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.092,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.094,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.096,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.098,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.1,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.102,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.104,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.106,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.108,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.11,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.112,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.114,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.116,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.118,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.12,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.122,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.124,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.126,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.128,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.13,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.132,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.134,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.136,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.138,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.14,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.142,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.144,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.146,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.148,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.15,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.152,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.154,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.156,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.158,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.16,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.162,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.164,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.166,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.168,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.17,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.172,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.174,0.5,0.9,0.1,0.5,0.5,1,0,0.5
0.176,0.5,0.9,0.1,0.5,0.5,1,0,0.5
