"time","velocity[1]","velocity[2]","cp[1]","cp[2]","eta[1]","eta[2]","lambda[1]","lambda[2]","rho[1]","rho[2]","Nu[1]","Nu[2]","m_flow[1]","m_flow[2]","kc_OUT_1[1]","kc_OUT_1[2]","Re[1]","Re[2]","input_Nu.y"
0,54.6902961038315,0.797699340438691,1007,4189,1.824e-05,0.0010016,0.02569,0.5985,1.188,998.21,600,600,0.324860358856759,3.98135729309653,154.14,3591,226768.122485352,50611.2374929138,600
0.000202,54.7223190968674,0.798140306396895,1007,4189,1.824e-05,0.0010016,0.02569,0.5985,1.188,998.21,600.2828,600.2828,0.325050575435393,3.98355817624222,154.21265132,3592.692558,226900.902786876,50639.2152430579,600.2828
0.000404,54.7543453002501,0.798581304523524,1007,4189,1.824e-05,0.0010016,0.02569,0.5985,1.188,998.21,600.5656,600.5656,0.325240811083486,3.98575921994214,154.28530264,3594.385116,227033.696399799,50667.1950341763,600.5656
0.000606,54.786374712593,0.799022334804186,1007,4189,1.824e-05,0.0010016,0.02569,0.5985,1.188,998.21,600.8484,600.8484,0.325431065792802,3.98796042412443,154.35795396,3596.077674,227166.50331837,50695.1768653558,600.8484
0.000808,54.8184073325108,0.7994633972245,1007,4189,1.824e-05,0.0010016,0.02569,0.5985,1.188,998.21,601.1312,601.1312,0.325621339555114,3.99016178871734,154.43060528,3597.770232,227299.323536846,50723.160735684,601.1312
0.00101,54.8504431586195,0.7999044917701,1007,4189,1.824e-05,0.0010016,0.02569,0.5985,1.188,998.21,601.414,601.414,0.3258116323622,3.99236331364916,154.5032566,3599.46279,227432.157049489,50751.1466442494,601.414
0.001212,54.8824821895364,0.800345618426634,1007,4189,1.824e-05,0.0010016,0.02569,0.5985,1.188,998.21,601.6968,601.6968,0.326001944205846,3.99456499884825,154.57590792,3601.155348,227565.003850564,50779.1345901414,601.6968
0.001414,54.9145244238799,0.800786777179759,1007,4189,1.824e-05,0.0010016,0.02569,0.5985,1.188,998.21,601.9796,601.9796,0.326192275077847,3.99676684424304,154.64855924,3602.847906,227697.863934345,50807.12457245,601.9796
0.001616,54.9465698602697,0.801227968015149,1007,4189,1.824e-05,0.0010016,0.02569,0.5985,1.188,998.21,602.2624,602.2624,0.326382624970002,3.99896884976201,154.72121056,3604.540464,227830.737295106,50835.1165902664,602.2624
0.001818,54.9786184973268,0.801669190918491,1007,4189,1.824e-05,0.0010016,0.02569,0.5985,1.188,998.21,602.5452,602.5452,0.326572993874121,4.00117101533374,154.79386188,3606.233022,227963.62392713,50863.1106426823,602.5452
