"time","resistor.pin_p.reference.gamma"
0,0
0.0005,1.57396591857908e-06
0.001,6.2895006232132e-06
0.0015,1.41466265712015e-05
0.002,2.51453438443024e-05
0.0025,3.9285653864216e-05
0.003,5.6567556362559e-05
0.0035,7.69910512370695e-05
0.004,0.000100556138487747
0.0045,0.000127262818482353
0.005,0.000157111091107606
0.0055,0.000190100956294383
0.006,0.000226232414042683
0.0065,0.000265505464352507
0.007,0.000307920107223854
0.0075,0.000353476342656725
0.008,0.00040217417065112
0.0085,0.000454013591401451
0.009,0.000508994604891826
0.0095,0.000567117211015263
0.01,0.000628381409771764
0.0105,0.000692787201161326
0.011,0.000760334585183952
0.0115,0.00083102356183964
0.012,0.000904854131128391
0.0125,0.000981826293050205
0.013,0.00106194004760508
0.0135,0.00114519539479302
0.014,0.00123159233461402
0.0145,0.00132113086706809
0.015,0.00141381099215521
0.0155,0.0015096327098754
0.016,0.00160859602022865
0.0165,0.0017107009232426
0.017,0.00181594741898935
0.0175,0.00192433550738344
0.018,0.00203586518842486
0.0185,0.00215053646211362
0.019,0.00226834932844972
0.0195,0.00238930378743314
0.02,0.0025133998390639
0.0205,0.002640637483342
0.021,0.00277101672026743
0.0215,0.0029045375498402
0.022,0.0030411999720603
0.0225,0.00318100398692773
0.023,0.0033239495944425
0.0235,0.00347003679460461
0.024,0.00361926558741405
0.0245,0.00377163597287082
0.025,0.00392714795097493
0.0255,0.00408580152172637
0.026,0.00424759668512515
0.0265,0.00441253344117126
0.027,0.00458061178986471
0.0275,0.00475183173120549
0.028,0.00492619326519361
0.0285,0.00510369639182906
0.029,0.00528434111111184
0.0295,0.00546812742304196
0.03,0.00565505532761942
0.0305,0.0058451248248442
0.031,0.00603833591471633
0.0315,0.00623468859723579
0.032,0.00643418287240258
0.0325,0.00663681874021671
0.033,0.00684259620071501
0.0335,0.00705151525390651
0.034,0.00726357589975012
0.0345,0.00747877813824582
0.035,0.00769712196939363
0.0355,0.00791860739319355
0.036,0.00814323440964556
0.0365,0.00837100301874967
0.037,0.00860191322050589
0.0375,0.00883596501491421
0.038,0.00907315840197463
0.0385,0.00931349338168715
0.039,0.00955696995405178
0.0395,0.00980358811906851
0.04,0.0100533478767373
0.0405,0.0103062492270583
0.041,0.0105622921700313
0.0415,0.0108214767056564
0.042,0.0110838028339337
0.0425,0.011349270554863
0.043,0.0116178798684444
0.0435,0.011889630774678
0.044,0.0121645232735636
0.0445,0.0124425573651014
0.045,0.0127237330492912
0.0455,0.0130080503261332
0.046,0.0132955091956272
0.0465,0.0135861096577734
0.047,0.0138798517125716
0.0475,0.014176735360022
0.048,0.0144767606001245
0.0485,0.014779927432879
0.049,0.0150862358582857
0.0495,0.0153956858763444
0.05,0.0157082774870553
0.0505,0.0160240106904183
0.051,0.0163428854864333
0.0515,0.0166649018751005
0.052,0.0169900598564198
0.0525,0.0173183594303912
0.053,0.0176498005970146
0.0535,0.0179843833562902
0.054,0.0183221077082179
0.0545,0.0186629736527977
0.055,0.0190069811900296
0.0555,0.0193541303199136
0.056,0.0197044210424496
0.0565,0.0200578533576378
0.057,0.0204144272654781
0.0575,0.0207741427659705
0.058,0.021136999859115
0.0585,0.0215029985449116
0.059,0.0218721388233603
0.0595,0.0222444206944611
0.06,0.022619844158214
0.0605,0.022998409214619
0.061,0.0233801158636761
0.0615,0.0237649641053853
0.062,0.0241529539397467
0.0625,0.0245440853667601
0.063,0.0249383583864256
0.0635,0.0253357729987432
0.064,0.0257363292037129
0.0645,0.0261400270013347
0.065,0.0265468663916087
0.0655,0.0269568473745347
0.066,0.0273699699501455
0.0665,0.0277862341184119
0.067,0.0282056398793314
0.0675,0.0286281872329041
0.068,0.02905387617913
0.0685,0.0294827067180091
0.069,0.0299146788495412
0.0695,0.0303497925737266
0.07,0.0307880478905651
0.0705,0.0312294448000568
0.071,0.0316739833022016
0.0715,0.0321216633969996
0.072,0.0325724850844508
0.0725,0.0330264483645551
0.073,0.0334835532373126
0.0735,0.0339437997027232
0.074,0.034407187760787
0.0745,0.034873717411504
0.075,0.0353433886548741
0.0755,0.0358162014908973
0.076,0.0362921559195738
0.0765,0.0367712519409034
0.077,0.0372534895548861
0.0775,0.037738868761522
0.078,0.0382273895608111
0.0785,0.0387190519527533
0.079,0.0392138559373487
0.0795,0.0397118015145973
0.08,0.040212888684499
0.0805,0.0407171174470539
0.081,0.0412244878022619
0.0815,0.0417349997501231
0.082,0.0422486532906374
0.0825,0.0427654484238049
0.083,0.0432853851496256
0.0835,0.0438084634680994
0.084,0.0443346833792264
0.0845,0.0448640448830066
0.085,0.0453965479794399
0.0855,0.0459321926685263
0.086,0.046470978950266
0.0865,0.0470129068246588
0.087,0.0475579762917047
0.0875,0.0481061873514038
0.088,0.0486575400037561
0.0885,0.0492120342487615
0.089,0.0497696700864201
0.0895,0.0503304475167318
0.09,0.0508943665396967
0.0905,0.0514614271553148
0.091,0.052031629363586
0.0915,0.0526049731645104
0.092,0.0531814585580879
0.0925,0.0537610855443186
0.093,0.0543438541232025
0.0935,0.0549297642947395
0.094,0.0555188160589297
0.0945,0.056111009415773
0.095,0.0567063443652695
0.0955,0.0573048209074192
0.096,0.057906439042222
0.0965,0.058511198769678
0.097,0.0591191000897871
0.0975,0.0597301430025494
0.098,0.0603443275079649
0.0985,0.0609616536060335
0.099,0.0615821212967552
0.0995,0.0622057305801302
0.1,0.0628324814561583
0.1005,0.0634623739248395
0.101,0.0640954079861739
0.1015,0.0647315836401615
0.102,0.0653709008868022
0.1025,0.0660133597260961
0.103,0.0666589601580432
0.1035,0.0673077021826434
0.104,0.0679595857998968
0.1045,0.0686146110098033
0.105,0.069272777812363
0.1055,0.0699340862075758
0.106,0.0705985361954418
0.1065,0.071266127775961
0.107,0.0719368609491333
0.1075,0.0726107357149588
0.108,0.0732877520734375
0.1085,0.0739679100245693
0.109,0.0746512095683543
0.1095,0.0753376507047924
0.11,0.0760272334338837
0.1105,0.0767199577556281
0.111,0.0774158236700257
0.1115,0.0781148311770765
0.112,0.0788169802767804
0.1125,0.0795222709691375
0.113,0.0802307032541478
0.1135,0.0809422771318112
0.114,0.0816569926021277
0.1145,0.0823748496650974
0.115,0.0830958483207203
0.1155,0.0838199885689964
0.116,0.0845472704099256
