"time","pump.medium.h","pump.medium.p"
0,84065.171976008,142612.641266445
0.002,84065.1719760046,142612.641266402
0.004,84065.1719760014,142612.641266402
0.006,84065.1719759982,142612.641266402
0.008,84065.1719759949,142612.641266402
0.01,84065.1719759917,142612.641266402
0.012,84065.1719759885,142612.641266402
0.014,84065.1719759853,142612.641266402
0.016,84065.1719759821,142612.641266402
0.018,84065.171975979,142612.641266402
0.02,84065.1719759759,142612.641266402
0.022,84065.1719759727,142612.641266402
0.024,84065.1719759696,142612.641266402
0.026,84065.1719759665,142612.641266402
0.028,84065.1719759633,142612.641266402
0.03,84065.1719759602,142612.641266402
0.032,84065.1719759571,142612.641266402
0.034,84065.171975954,142612.641266402
0.036,84065.1719759511,142612.641266402
0.038,84065.1719759481,142612.641266402
0.04,84065.1719759451,142612.641266402
0.042,84065.1719759421,142612.641266402
0.044,84065.1719759391,142612.641266402
0.046,84065.1719759361,142612.641266402
0.048,84065.1719759332,142612.641266402
0.05,84065.1719759302,142612.641266402
0.052,84065.1719759272,142612.641266402
0.054,84065.1719759242,142612.641266402
0.056,84065.1719759212,142612.641266402
0.058,84065.1719759183,142612.641266402
0.06,84065.1719759153,142612.641266402
0.062,84065.1719759123,142612.641266402
0.064,84065.1719759093,142612.641266402
0.066,84065.1719759064,142612.641266402
0.068,84065.1719759037,142612.641266402
0.07,84065.1719759009,142612.641266402
0.072,84065.1719758982,142612.641266402
0.074,84065.1719758955,142612.641266402
0.076,84065.1719758928,142612.641266402
0.078,84065.1719758901,142612.641266402
0.08,84065.1719758873,142612.641266403
0.082,84065.1719758846,142612.641266403
0.084,84065.1719758819,142612.641266403
0.086,84065.1719758792,142612.641266403
0.088,84065.1719758764,142612.641266403
0.09,84065.1719758737,142612.641266403
0.092,84065.171975871,142612.641266403
0.094,84065.1719758683,142612.641266403
0.096,84065.1719758656,142612.641266403
0.098,84065.1719758628,142612.641266403
0.1,84065.1719758601,142612.641266403
0.102,84065.1719758574,142612.641266403
0.104,84065.1719758547,142612.641266403
0.106,84065.1719758519,142612.641266403
0.108,84065.1719758492,142612.641266403
0.11,84065.1719758465,142612.641266403
0.112,84065.1719758438,142612.641266403
0.114,84065.1719758411,142612.641266403
0.116,84065.1719758383,142612.641266403
0.118,84065.1719758356,142612.641266403
0.12,84065.1719758329,142612.641266403
0.122,84065.1719758302,142612.641266403
0.124,84065.1719758274,142612.641266403
0.126,84065.1719758247,142612.641266403
0.128,84065.171975822,142612.641266403
0.13,84065.1719758193,142612.641266403
0.132,84065.1719758168,142612.641266403
0.134,84065.1719758145,142612.641266403
0.136,84065.1719758122,142612.641266403
0.138,84065.1719758099,142612.641266403
0.14,84065.1719758076,142612.641266403
0.142,84065.1719758053,142612.641266403
0.144,84065.1719758031,142612.641266403
0.146,84065.1719758008,142612.641266403
0.148,84065.1719757985,142612.641266403
0.15,84065.1719757962,142612.641266403
0.152,84065.1719757939,142612.641266403
0.154,84065.1719757916,142612.641266403
0.156,84065.1719757893,142612.641266403
0.158,84065.1719757871,142612.641266403
0.16,84065.1719757848,142612.641266403
0.162,84065.1719757825,142612.641266403
0.164,84065.1719757802,142612.641266403
0.166,84065.1719757779,142612.641266403
0.168,84065.1719757757,142612.641266403
0.17,84065.1719757734,142612.641266403
0.172,84065.1719757711,142612.641266403
0.174,84065.1719757688,142612.641266403
0.176,84065.1719757665,142612.641266403
0.178,84065.1719757642,142612.641266403
0.18,84065.1719757619,142612.641266403
0.182,84065.1719757597,142612.641266403
