"time","specificEnthalpy.h_out","specificEnthalpy1.h_out"
0,1800000,1800000
0.000202,1802030.72494607,1802030.72494607
0.000404,1804061.4466209,1804061.4466209
0.000606,1806092.16175323,1806092.16175323
0.000808,1808122.86707184,1808122.86707184
0.00101,1810153.5593055,1810153.5593055
0.001212,1812184.23518303,1812184.23518303
0.001414,1814214.89143326,1814214.89143326
0.001616,1816245.52478504,1816245.52478504
0.001818,1818276.13196728,1818276.13196728
0.00202,1820306.70970891,1820306.70970891
0.002222,1822337.25473893,1822337.25473893
0.002424,1824367.76378638,1824367.76378638
0.002626,1826398.23358035,1826398.23358035
0.002828,1828428.66085001,1828428.66085001
0.00303,1830459.0423246,1830459.0423246
0.003232,1832489.3747334,1832489.3747334
0.003434,1834519.65480582,1834519.65480582
0.003636,1836549.87927131,1836549.87927131
0.003838,1838580.04485944,1838580.04485944
0.00404,1840610.14829986,1840610.14829986
0.004242,1842640.18632232,1842640.18632232
0.004444,1844670.15565667,1844670.15565667
0.004646,1846700.0530329,1846700.0530329
0.004848,1848729.87518107,1848729.87518107
0.00505,1850759.61883141,1850759.61883141
0.005252,1852789.28071423,1852789.28071423
0.005454,1854818.85756001,1854818.85756001
0.005656,1856848.34609935,1856848.34609935
0.005858,1858877.74306298,1858877.74306298
0.00606,1860907.04518181,1860907.04518181
0.006262,1862936.24918687,1862936.24918687
0.006464,1864965.35180936,1864965.35180936
0.006666,1866994.34978065,1866994.34978065
0.006868,1869023.23983228,1869023.23983228
0.00707,1871052.01869595,1871052.01869595
0.007272,1873080.68310354,1873080.68310354
0.007474,1875109.22978714,1875109.22978714
0.007676,1877137.65547899,1877137.65547899
0.007878,1879165.95691156,1879165.95691156
0.00808,1881194.1308175,1881194.1308175
0.008282,1883222.17392967,1883222.17392967
0.008484,1885250.08298114,1885250.08298114
0.008686,1887277.8547052,1887277.8547052
0.008888,1889305.48583536,1889305.48583536
0.00909,1891332.97310536,1891332.97310536
0.009292,1893360.31324916,1893360.31324916
0.009494,1895387.50300096,1895387.50300096
0.009696,1897414.53909522,1897414.53909522
0.009898,1899441.41826662,1899441.41826662
0.0101,1901468.13725012,1901468.13725012
0.010302,1903494.69278091,1903494.69278091
0.010504,1905521.08159447,1905521.08159447
0.010706,1907547.30042654,1907547.30042654
0.010908,1909573.34601311,1909573.34601311
0.01111,1911599.21509049,1911599.21509049
0.011312,1913624.90439524,1913624.90439524
0.011514,1915650.41066423,1915650.41066423
0.011716,1917675.73063462,1917675.73063462
0.011918,1919700.86104387,1919700.86104387
0.01212,1921725.79862974,1921725.79862974
0.012322,1923750.5401303,1923750.5401303
0.012524,1925775.08228394,1925775.08228394
0.012726,1927799.42182938,1927799.42182938
0.012928,1929823.55550566,1929823.55550566
0.01313,1931847.48005213,1931847.48005213
0.013332,1933871.19220852,1933871.19220852
0.013534,1935894.68871486,1935894.68871486
0.013736,1937917.96631156,1937917.96631156
0.013938,1939941.02173935,1939941.02173935
0.01414,1941963.85173936,1941963.85173936
0.014342,1943986.45305304,1943986.45305304
0.014544,1946008.82242224,1946008.82242224
0.014746,1948030.95658916,1948030.95658916
0.014948,1950052.8522964,1950052.8522964
0.01515,1952074.50628693,1952074.50628693
0.015352,1954095.91530412,1954095.91530412
0.015554,1956117.07609172,1956117.07609172
0.015756,1958137.98539389,1958137.98539389
0.015958,1960158.6399552,1960158.6399552
0.01616,1962179.03652061,1962179.03652061
0.016362,1964199.17183553,1964199.17183553
0.016564,1966219.04264575,1966219.04264575
0.016766,1968238.64569751,1968238.64569751
0.016968,1970257.97773749,1970257.97773749
0.01717,1972277.03551279,1972277.03551279
0.017372,1974295.81577094,1974295.81577094
0.017574,1976314.31525996,1976314.31525996
0.017776,1978332.53072827,1978332.53072827
0.017978,1980350.45892479,1980350.45892479
0.01818,1982368.09659888,1982368.09659888
0.018382,1984385.44050037,1984385.44050037
0.018584,1986402.48737957,1986402.48737957
0.018786,1988419.23398726,1988419.23398726
0.018988,1990435.67707472,1990435.67707472
0.01919,1992451.8133937,1992451.8133937
0.019392,1994467.63969646,1994467.63969646
0.019594,1996483.15273574,1996483.15273574
0.019796,1998498.3492648,1998498.3492648
0.019998,2000513.22603741,2000513.22603741
0.0202,2002527.77980785,2002527.77980785
0.020402,2004542.00733092,2004542.00733092
0.020604,2006555.90536194,2006555.90536194
0.020806,2008569.47065678,2008569.47065678
0.021008,2010582.69997183,2010582.69997183
0.02121,2012595.59006402,2012595.59006402
0.021412,2014608.13769084,2014608.13769084
0.021614,2016620.33961032,2016620.33961032
0.021816,2018632.19258104,2018632.19258104
0.022018,2020643.69336216,2020643.69336216
0.02222,2022654.8387134,2022654.8387134
0.022422,2024665.62539506,2024665.62539506
0.022624,2026676.05016799,2026676.05016799
0.022826,2028686.10979366,2028686.10979366
0.023028,2030695.8010341,2030695.8010341
0.02323,2032705.12065195,2032705.12065195
0.023432,2034714.06541045,2034714.06541045
0.023634,2036722.63207342,2036722.63207342
0.023836,2038730.81740531,2038730.81740531
0.024038,2040738.6181712,2040738.6181712
0.02424,2042746.03113674,2042746.03113674
0.024442,2044753.05306825,2044753.05306825
0.024644,2046759.68073267,2046759.68073267
0.024846,2048765.91089756,2048765.91089756
0.025048,2050771.74033113,2050771.74033113
0.02525,2052777.16580224,2052777.16580224
0.025452,2054782.18408039,2054782.18408039
0.025654,2056786.79193575,2056786.79193575
0.025856,2058790.98613913,2058790.98613913
0.026058,2060794.76346203,2060794.76346203
0.02626,2062798.12067661,2062798.12067661
0.026462,2064801.05455571,2064801.05455571
0.026664,2066803.56187284,2066803.56187284
0.026866,2068805.63940222,2068805.63940222
0.027068,2070807.28391873,2070807.28391873
0.02727,2072808.49219799,2072808.49219799
0.027472,2074809.26101628,2074809.26101628
0.027674,2076809.58715062,2076809.58715062
0.027876,2078809.46737872,2078809.46737872
0.028078,2080808.89847902,2080808.89847902
0.02828,2082807.87723069,2082807.87723069
0.028482,2084806.40041362,2084806.40041362
0.028684,2086804.46480843,2086804.46480843
0.028886,2088802.06719649,2088802.06719649
0.029088,2090799.2043599,2090799.2043599
0.02929,2092795.87308151,2092795.87308151
0.029492,2094792.07014496,2094792.07014496
0.029694,2096787.79233459,2096787.79233459
0.029896,2098783.03643556,2098783.03643556
0.030098,2100777.79923376,2100777.79923376
0.0303,2102772.07751589,2102772.07751589
0.030502,2104765.8680694,2104765.8680694
0.030704,2106759.16768254,2106759.16768254
0.030906,2108751.97314435,2108751.97314435
0.031108,2110744.28124466,2110744.28124466
0.03131,2112736.08877412,2112736.08877412
0.031512,2114727.39252417,2114727.39252417
0.031714,2116718.18928705,2116718.18928705
0.031916,2118708.47585584,2118708.47585584
0.032118,2120698.24902444,2120698.24902444
0.03232,2122687.50558756,2122687.50558756
0.032522,2124676.24234076,2124676.24234076
0.032724,2126664.45608042,2126664.45608042
0.032926,2128652.14360377,2128652.14360377
0.033128,2130639.30170891,2130639.30170891
0.03333,2132625.92719475,2132625.92719475
0.033532,2134612.01686109,2134612.01686109
0.033734,2136597.56750858,2136597.56750858
0.033936,2138582.57593875,2138582.57593875
0.034138,2140567.03895399,2140567.03895399
0.03434,2142550.95335757,2142550.95335757
0.034542,2144534.31595365,2144534.31595365
0.034744,2146517.12354728,2146517.12354728
0.034946,2148499.3729444,2148499.3729444
0.035148,2150481.06095185,2150481.06095185
0.03535,2152462.18437737,2152462.18437737
0.035552,2154442.74002962,2154442.74002962
0.035754,2156422.72471816,2156422.72471816
0.035956,2158402.13525348,2158402.13525348
0.036158,2160380.968447,2160380.968447
0.03636,2162359.22111105,2162359.22111105
0.036562,2164336.89005893,2164336.89005893
0.036764,2166313.97210483,2166313.97210483
0.036966,2168290.46406393,2168290.46406393
0.037168,2170266.36275235,2170266.36275235
0.03737,2172241.66498715,2172241.66498715
0.037572,2174216.36758636,2174216.36758636
0.037774,2176190.46736898,2176190.46736898
0.037976,2178163.96115498,2178163.96115498
0.038178,2180136.84576529,2180136.84576529
0.03838,2182109.11802186,2182109.11802186
0.038582,2184080.77474758,2184080.77474758
0.038784,2186051.81276637,2186051.81276637
0.038986,2188022.22890312,2188022.22890312
0.039188,2189992.01998373,2189992.01998373
0.03939,2191961.18283511,2191961.18283511
0.039592,2193929.71428519,2193929.71428519
0.039794,2195897.61116289,2195897.61116289
0.039996,2197864.87029819,2197864.87029819
0.040198,2199831.48852206,2199831.48852206
0.0404,2201797.46266653,2201797.46266653
0.040602,2203762.78956465,2203762.78956465
0.040804,2205727.46605053,2205727.46605053
0.041006,2207691.48895931,2207691.48895931
0.041208,2209654.85512719,2209654.85512719
0.04141,2211617.56139144,2211617.56139144
0.041612,2213579.60459036,2213579.60459036
0.041814,2215540.98156335,2215540.98156335
0.042016,2217501.68915088,2217501.68915088
0.042218,2219461.72419449,2219461.72419449
0.04242,2221421.08353679,2221421.08353679
0.042622,2223379.76402151,2223379.76402151
0.042824,2225337.76249344,2225337.76249344
0.043026,2227295.0757985,2227295.0757985
0.043228,2229251.70078368,2229251.70078368
0.04343,2231207.63429712,2231207.63429712
0.043632,2233162.87318804,2233162.87318804
0.043834,2235117.4143068,2235117.4143068
0.044036,2237071.25450485,2237071.25450485
0.044238,2239024.39063482,2239024.39063482
0.04444,2240976.81955043,2240976.81955043
0.044642,2242928.53810657,2242928.53810657
0.044844,2244879.54315925,2244879.54315925
0.045046,2246829.83156565,2246829.83156565
0.045248,2248779.40018409,2248779.40018409
0.04545,2250728.24587406,2250728.24587406
0.045652,2252676.3654962,2252676.3654962
0.045854,2254623.75591233,2254623.75591233
0.046056,2256570.41398545,2256570.41398545
0.046258,2258516.33657973,2258516.33657973
0.04646,2260461.52056052,2260461.52056052
0.046662,2262405.96279438,2262405.96279438
0.046864,2264349.66014905,2264349.66014905
0.047066,2266292.60949347,2266292.60949347
0.047268,2268234.80769778,2268234.80769778
0.04747,2270176.25163335,2270176.25163335
0.047672,2272116.93817274,2272116.93817274
0.047874,2274056.86418975,2274056.86418975
0.048076,2275996.0265594,2275996.0265594
0.048278,2277934.42215794,2277934.42215794
0.04848,2279872.04786284,2279872.04786284
0.048682,2281808.90055283,2281808.90055283
0.048884,2283744.97710787,2283744.97710787
0.049086,2285680.2744092,2285680.2744092
0.049288,2287614.78933928,2287614.78933928
0.04949,2289548.51878184,2289548.51878184
0.049692,2291481.45962188,2291481.45962188
0.049894,2293413.60874568,2293413.60874568
0.050096,2295344.96304078,2295344.96304078
0.050298,2297275.519396,2297275.519396
0.0505,2299205.27470146,2299205.27470146
0.050702,2301134.22584856,2301134.22584856
0.050904,2303062.36972999,2303062.36972999
0.051106,2304989.70323975,2304989.70323975
0.051308,2306916.22327314,2306916.22327314
0.05151,2308841.92672678,2308841.92672678
0.051712,2310766.8104986,2310766.8104986
0.051914,2312690.87148784,2312690.87148784
0.052116,2314614.10659507,2314614.10659507
0.052318,2316536.51272221,2316536.51272221
0.05252,2318458.08677249,2318458.08677249
0.052722,2320378.82565049,2320378.82565049
0.052924,2322298.72626214,2322298.72626214
0.053126,2324217.78551471,2324217.78551471
0.053328,2326136.00031684,2326136.00031684
0.05353,2328053.36757852,2328053.36757852
0.053732,2329969.8842111,2329969.8842111
