"time","pipe.volume.medium.h","pipe.volume.medium.p","m_flow_initial"
0,1999999.99999929,9756927.48888017,0
0.0008,1999999.99999929,9756927.48888017,0
0.0016,1999999.99999929,9756927.48888017,0
0.0024,1999999.99999929,9756927.48888017,0
0.0032,1999999.99999929,9756927.48888017,0
0.004,1999999.99999929,9756927.48888017,0
0.0048,1999999.99999929,9756927.48888017,0
0.0056,1999999.99999929,9756927.48888017,0
0.0064,1999999.99999929,9756927.48888017,0
0.0072,1999999.99999929,9756927.48888017,0
0.008,1999999.99999929,9756927.48888017,0
0.0088,1999999.99999929,9756927.48888017,0
0.0096,1999999.99999929,9756927.48888017,0
0.0104,1999999.99999929,9756927.48888018,0
0.0112,1999999.99999929,9756927.48888018,0
0.012,1999999.99999929,9756927.48888018,0
0.0128,1999999.99999929,9756927.48888018,0
0.0136,1999999.99999929,9756927.48888018,0
0.0144,1999999.99999929,9756927.48888018,0
0.0152,1999999.99999929,9756927.48888018,0
0.016,1999999.99999929,9756927.48888018,0
0.0168,1999999.99999929,9756927.48888018,0
0.0176,1999999.99999929,9756927.48888018,0
0.0184,1999999.99999929,9756927.48888018,0
0.0192,1999999.9999993,9756927.48888018,0
0.02,1999999.9999993,9756927.48888018,0
0.0208,1999999.9999993,9756927.48888018,0
0.0216,1999999.9999993,9756927.48888018,0
0.0224,1999999.9999993,9756927.48888018,0
0.0232,1999999.9999993,9756927.48888018,0
0.024,1999999.9999993,9756927.48888018,0
0.0248,1999999.9999993,9756927.48888018,0
0.0256,1999999.9999993,9756927.48888019,0
0.0264,1999999.9999993,9756927.48888019,0
0.0272,1999999.9999993,9756927.48888019,0
0.028,1999999.9999993,9756927.48888019,0
0.0288,1999999.9999993,9756927.48888019,0
0.0296,1999999.9999993,9756927.48888019,0
0.0304,1999999.9999993,9756927.48888019,0
0.0312,1999999.9999993,9756927.48888019,0
0.032,1999999.9999993,9756927.48888019,0
0.0328,1999999.9999993,9756927.48888019,0
0.0336,1999999.9999993,9756927.48888019,0
0.0344,1999999.9999993,9756927.48888019,0
0.0352,1999999.9999993,9756927.48888019,0
0.036,1999999.9999993,9756927.48888019,0
0.0368,1999999.9999993,9756927.48888019,0
0.0376,1999999.9999993,9756927.48888019,0
0.0384,1999999.9999993,9756927.48888019,0
0.0392,1999999.9999993,9756927.48888019,0
0.04,1999999.9999993,9756927.48888019,0
0.0408,1999999.9999993,9756927.48888019,0
0.0416,1999999.9999993,9756927.48888019,0
0.0424,1999999.9999993,9756927.48888019,0
0.0432,1999999.9999993,9756927.48888019,0
0.044,1999999.9999993,9756927.48888019,0
0.0448,1999999.9999993,9756927.4888802,0
0.0456,1999999.9999993,9756927.4888802,0
0.0464,1999999.9999993,9756927.4888802,0
0.0472,1999999.9999993,9756927.4888802,0
0.048,1999999.9999993,9756927.4888802,0
0.0488,1999999.9999993,9756927.4888802,0
0.0496,1999999.9999993,9756927.4888802,0
0.0504,1999999.9999993,9756927.4888802,0
0.0512,1999999.9999993,9756927.4888802,0
0.052,1999999.9999993,9756927.4888802,0
0.0528,1999999.9999993,9756927.4888802,0
0.0536,1999999.9999993,9756927.4888802,0
0.0544,1999999.9999993,9756927.4888802,0
0.0552,1999999.9999993,9756927.4888802,0
0.056,1999999.9999993,9756927.4888802,0
0.0568,1999999.9999993,9756927.4888802,0
0.0576,1999999.9999993,9756927.4888802,0
0.0584,1999999.9999993,9756927.48888021,0
0.0592,1999999.9999993,9756927.48888021,0
0.06,1999999.9999993,9756927.48888021,0
0.0608,1999999.9999993,9756927.48888021,0
0.0616,1999999.9999993,9756927.48888021,0
0.0624,1999999.9999993,9756927.48888021,0
0.0632,1999999.9999993,9756927.48888021,0
0.064,1999999.9999993,9756927.48888021,0
0.0648,1999999.9999993,9756927.48888021,0
0.0656,1999999.9999993,9756927.48888021,0
0.0664,1999999.9999993,9756927.48888021,0
0.0672,1999999.9999993,9756927.48888021,0
0.068,1999999.9999993,9756927.48888021,0
0.0688,1999999.9999993,9756927.48888021,0
0.0696,1999999.9999993,9756927.48888021,0
0.0704,1999999.9999993,9756927.48888021,0
0.0712,1999999.9999993,9756927.48888021,0
0.072,1999999.9999993,9756927.48888021,0
0.0728,1999999.9999993,9756927.48888021,0
0.0736,1999999.9999993,9756927.48888021,0
0.0744,1999999.9999993,9756927.48888021,0
0.0752,1999999.9999993,9756927.48888021,0
0.076,1999999.9999993,9756927.48888022,0
0.0768,1999999.9999993,9756927.48888022,0
0.0776,1999999.9999993,9756927.48888022,0
0.0784,1999999.9999993,9756927.48888022,0
0.0792,1999999.9999993,9756927.48888022,0
0.08,1999999.9999993,9756927.48888022,0
0.0808,1999999.9999993,9756927.48888022,0
0.0816,1999999.9999993,9756927.48888022,0
0.0824,1999999.9999993,9756927.48888022,0
0.0832,1999999.9999993,9756927.48888022,0
0.084,1999999.9999993,9756927.48888022,0
0.0848,1999999.9999993,9756927.48888022,0
0.0856,1999999.9999993,9756927.48888022,0
0.0864,1999999.9999993,9756927.48888022,0
0.0872,1999999.9999993,9756927.48888022,0
0.088,1999999.9999993,9756927.48888022,0
0.0888,1999999.9999993,9756927.48888022,0
0.0896,1999999.9999993,9756927.48888022,0
0.0904,1999999.9999993,9756927.48888022,0
0.0912,1999999.9999993,9756927.48888022,0
0.092,1999999.9999993,9756927.48888022,0
0.0928,1999999.9999993,9756927.48888022,0
0.0936,1999999.9999993,9756927.48888022,0
0.0944,1999999.9999993,9756927.48888023,0
0.0952,1999999.9999993,9756927.48888023,0
0.096,1999999.9999993,9756927.48888023,0
0.0968,1999999.9999993,9756927.48888023,0
0.0976,1999999.9999993,9756927.48888023,0
0.0984,1999999.9999993,9756927.48888023,0
0.0992,1999999.9999993,9756927.48888023,0
0.1,1999999.9999993,9756927.48888023,0
0.1,1999999.9999993,9756927.48888023,2.49748425695417
0.1008,1999999.9999993,9756927.48888023,2.49748425695417
0.1016,1999999.9999993,9756927.48888023,2.49748425695417
0.1024,1999999.9999993,9756927.48888023,2.49748425695417
0.1032,1999999.9999993,9756927.48888023,2.49748425695417
0.104,1999999.9999993,9756927.48888023,2.49748425695417
0.1048,1999999.9999993,9756927.48888023,2.49748425695417
0.1056,1999999.9999993,9756927.48888023,2.49748425695417
0.1064,1999999.9999993,9756927.48888023,2.49748425695417
0.1072,1999999.9999993,9756927.48888023,2.49748425695417
0.108,1999999.9999993,9756927.48888023,2.49748425695417
0.1088,1999999.9999993,9756927.48888023,2.49748425695417
0.1096,1999999.9999993,9756927.48888023,2.49748425695417
0.1104,1999999.9999993,9756927.48888023,2.49748425695417
0.1112,1999999.9999993,9756927.48888023,2.49748425695417
0.112,1999999.9999993,9756927.48888023,2.49748425695417
0.1128,1999999.9999993,9756927.48888023,2.49748425695417
0.1136,1999999.9999993,9756927.48888023,2.49748425695417
0.1144,1999999.9999993,9756927.48888024,2.49748425695417
0.1152,1999999.9999993,9756927.48888024,2.49748425695417
0.116,1999999.9999993,9756927.48888024,2.49748425695417
0.1168,1999999.9999993,9756927.48888024,2.49748425695417
0.1176,1999999.9999993,9756927.48888024,2.49748425695417
0.1184,1999999.9999993,9756927.48888024,2.49748425695417
0.1192,1999999.9999993,9756927.48888024,2.49748425695417
0.12,1999999.9999993,9756927.48888024,2.49748425695417
0.1208,1999999.9999993,9756927.48888024,2.49748425695417
0.1216,1999999.9999993,9756927.48888024,2.49748425695417
0.1224,1999999.9999993,9756927.48888024,2.49748425695417
0.1232,1999999.9999993,9756927.48888024,2.49748425695417
0.124,1999999.9999993,9756927.48888024,2.49748425695417
0.1248,1999999.9999993,9756927.48888024,2.49748425695417
0.1256,1999999.9999993,9756927.48888024,2.49748425695417
0.1264,1999999.9999993,9756927.48888024,2.49748425695417
0.1272,1999999.9999993,9756927.48888024,2.49748425695417
0.128,1999999.9999993,9756927.48888024,2.49748425695417
0.1288,1999999.9999993,9756927.48888024,2.49748425695417
0.1296,1999999.9999993,9756927.48888024,2.49748425695417
0.1304,1999999.9999993,9756927.48888024,2.49748425695417
0.1312,1999999.9999993,9756927.48888024,2.49748425695417
0.132,1999999.9999993,9756927.48888024,2.49748425695417
0.1328,1999999.9999993,9756927.48888024,2.49748425695417
0.1336,1999999.9999993,9756927.48888024,2.49748425695417
0.1344,1999999.9999993,9756927.48888025,2.49748425695417
0.1352,1999999.9999993,9756927.48888025,2.49748425695417
0.136,1999999.9999993,9756927.48888025,2.49748425695417
0.1368,1999999.9999993,9756927.48888025,2.49748425695417
0.1376,1999999.9999993,9756927.48888025,2.49748425695417
0.1384,1999999.9999993,9756927.48888025,2.49748425695417
0.1392,1999999.9999993,9756927.48888025,2.49748425695417
0.14,1999999.9999993,9756927.48888025,2.49748425695417
0.1408,1999999.9999993,9756927.48888025,2.49748425695417
0.1416,1999999.9999993,9756927.48888025,2.49748425695417
0.1424,1999999.9999993,9756927.48888025,2.49748425695417
0.1432,1999999.9999993,9756927.48888025,2.49748425695417
0.144,1999999.9999993,9756927.48888025,2.49748425695417
0.1448,1999999.9999993,9756927.48888025,2.49748425695417
0.1456,1999999.9999993,9756927.48888025,2.49748425695417
0.1464,1999999.9999993,9756927.48888025,2.49748425695417
0.1472,1999999.9999993,9756927.48888025,2.49748425695417
0.148,1999999.9999993,9756927.48888025,2.49748425695417
0.1488,1999999.9999993,9756927.48888025,2.49748425695417
0.1496,1999999.9999993,9756927.48888025,2.49748425695417
0.1504,1999999.9999993,9756927.48888025,2.49748425695417
0.1512,1999999.9999993,9756927.48888025,2.49748425695417
0.152,1999999.9999993,9756927.48888025,2.49748425695417
0.1528,1999999.9999993,9756927.48888025,2.49748425695417
0.1536,1999999.9999993,9756927.48888026,2.49748425695417
0.1544,1999999.9999993,9756927.48888026,2.49748425695417
0.1552,1999999.9999993,9756927.48888026,2.49748425695417
0.156,1999999.9999993,9756927.48888026,2.49748425695417
0.1568,1999999.9999993,9756927.48888026,2.49748425695417
0.1576,1999999.9999993,9756927.48888026,2.49748425695417
0.1584,1999999.9999993,9756927.48888026,2.49748425695417
0.1592,1999999.9999993,9756927.48888026,2.49748425695417
0.16,1999999.9999993,9756927.48888026,2.49748425695417
0.1608,1999999.9999993,9756927.48888026,2.49748425695417
0.1616,1999999.9999993,9756927.48888026,2.49748425695417
0.1624,1999999.9999993,9756927.48888026,2.49748425695417
0.1632,1999999.9999993,9756927.48888026,2.49748425695417
0.164,1999999.9999993,9756927.48888026,2.49748425695417
0.1648,1999999.9999993,9756927.48888026,2.49748425695417
0.1656,1999999.9999993,9756927.48888026,2.49748425695417
0.1664,1999999.9999993,9756927.48888026,2.49748425695417
0.1672,1999999.9999993,9756927.48888026,2.49748425695417
0.168,1999999.9999993,9756927.48888026,2.49748425695417
0.1688,1999999.9999993,9756927.48888026,2.49748425695417
0.1696,1999999.9999993,9756927.48888026,2.49748425695417
0.1704,1999999.9999993,9756927.48888026,2.49748425695417
0.1712,1999999.9999993,9756927.48888026,2.49748425695417
0.172,1999999.9999993,9756927.48888026,2.49748425695417
0.1728,1999999.9999993,9756927.48888026,2.49748425695417
0.1736,1999999.9999993,9756927.48888026,2.49748425695417
0.1744,1999999.9999993,9756927.48888026,2.49748425695417
0.1752,1999999.9999993,9756927.48888026,2.49748425695417
0.176,1999999.9999993,9756927.48888027,2.49748425695417
0.1768,1999999.9999993,9756927.48888027,2.49748425695417
0.1776,1999999.9999993,9756927.48888027,2.49748425695417
0.1784,1999999.9999993,9756927.48888027,2.49748425695417
0.1792,1999999.9999993,9756927.48888027,2.49748425695417
0.18,1999999.9999993,9756927.48888027,2.49748425695417
0.1808,1999999.9999993,9756927.48888027,2.49748425695417
0.1816,1999999.9999993,9756927.48888027,2.49748425695417
0.1824,1999999.9999993,9756927.48888027,2.49748425695417
0.1832,1999999.9999993,9756927.48888027,2.49748425695417
0.184,1999999.9999993,9756927.48888027,2.49748425695417
0.1848,1999999.9999993,9756927.48888027,2.49748425695417
0.1856,1999999.9999993,9756927.48888027,2.49748425695417
0.1864,1999999.9999993,9756927.48888027,2.49748425695417
0.1872,1999999.9999993,9756927.48888027,2.49748425695417
0.188,1999999.9999993,9756927.48888027,2.49748425695417
0.1888,1999999.9999993,9756927.48888027,2.49748425695417
0.1896,1999999.9999993,9756927.48888027,2.49748425695417
0.1904,1999999.9999993,9756927.48888027,2.49748425695417
0.1912,1999999.9999993,9756927.48888027,2.49748425695417
0.192,1999999.9999993,9756927.48888027,2.49748425695417
0.1928,1999999.9999993,9756927.48888027,2.49748425695417
0.1936,1999999.9999993,9756927.48888027,2.49748425695417
0.1944,1999999.9999993,9756927.48888027,2.49748425695417
0.1952,1999999.9999993,9756927.48888027,2.49748425695417
0.196,1999999.9999993,9756927.48888027,2.49748425695417
0.1968,1999999.9999993,9756927.48888027,2.49748425695417
0.1976,1999999.9999993,9756927.48888027,2.49748425695417
0.1984,1999999.9999993,9756927.48888027,2.49748425695417
0.1992,1999999.9999993,9756927.48888027,2.49748425695417
0.2,1999999.9999993,9756927.48888027,2.49748425695417
0.2008,1999999.9999993,9756927.48888028,2.49748425695417
0.2016,1999999.9999993,9756927.48888028,2.49748425695417
0.2024,1999999.9999993,9756927.48888028,2.49748425695417
0.2032,1999999.9999993,9756927.48888028,2.49748425695417
0.204,1999999.9999993,9756927.48888028,2.49748425695417
0.2048,1999999.9999993,9756927.48888028,2.49748425695417
0.2056,1999999.9999993,9756927.48888028,2.49748425695417
0.2064,1999999.9999993,9756927.48888028,2.49748425695417
0.2072,1999999.9999993,9756927.48888028,2.49748425695417
0.208,1999999.9999993,9756927.48888028,2.49748425695417
0.2088,1999999.9999993,9756927.48888028,2.49748425695417
0.2096,1999999.9999993,9756927.48888028,2.49748425695417
0.2104,1999999.9999993,9756927.48888028,2.49748425695417
0.2112,1999999.9999993,9756927.48888028,2.49748425695417
0.212,1999999.9999993,9756927.48888028,2.49748425695417
0.2128,1999999.9999993,9756927.48888028,2.49748425695417
0.2136,1999999.9999993,9756927.48888028,2.49748425695417
0.2144,1999999.9999993,9756927.48888028,2.49748425695417
0.2152,1999999.9999993,9756927.48888028,2.49748425695417
0.216,1999999.9999993,9756927.48888028,2.49748425695417
0.2168,1999999.9999993,9756927.48888028,2.49748425695417
0.2176,1999999.9999993,9756927.48888028,2.49748425695417
0.2184,1999999.9999993,9756927.48888028,2.49748425695417
0.2192,1999999.9999993,9756927.48888028,2.49748425695417
0.22,1999999.9999993,9756927.48888028,2.49748425695417
0.2208,1999999.9999993,9756927.48888029,2.49748425695417
0.2216,1999999.9999993,9756927.48888029,2.49748425695417
