"time","bodyOfConstraint.body.w_a[1]","bodyOfConstraint.body.w_a[2]","bodyOfConstraint.body.w_a[3]","bodyOfJoint.body.w_a[2]","joint.phi"
0,0,0,0,0,0
0.002,3.08162812117518e-18,-0.00834639091909124,3.27615135982297e-18,-0.00834639091909124,-8.34639397018713e-06
0.004,0,-0.0166927264609383,7.77891571614428e-18,-0.0166927264609383,-3.3385476896046e-05
0.006,9.02325272675679e-18,-0.0250389612732484,1.5725393707361e-17,-0.0250389612732484,-7.51170285246758e-05
0.008,7.5115729936858e-18,-0.0333850097985058,1.57252656353154e-17,-0.0333850097985058,-0.000133540395292257
0.01,1.80277751848459e-17,-0.0417308918149795,2.04640801066497e-17,-0.0417308918149795,-0.000208655726127783
0.012,1.6833283486921e-17,-0.050076548350282,1.96562027304228e-17,-0.050076548350282,-0.000300462353071005
0.014,1.5415247064628e-17,-0.0584219065452194,2.32520979111022e-17,-0.0584219065452194,-0.000408959450870525
0.016,1.20185167898973e-17,-0.0667670165490985,2.13010583597518e-17,-0.0667670165490985,-0.000534147587550545
0.018,3.60555503696918e-17,-0.0751117459260703,4.32126329009661e-17,-0.0751117459260702,-0.00067602479131889
0.02,1.20185167898973e-17,-0.0834560668148032,3.27295298472804e-17,-0.0834560668148032,-0.000834590647357699
0.022,2.10324043823202e-17,-0.091800025155806,3.63397958807772e-17,-0.091800025155806,-0.00100984583965954
0.024,3.00462919747432e-17,-0.100143425856626,3.24507145171133e-17,-0.100143425856626,-0.00120178650621774
0.026,2.40370335797946e-17,-0.10848632882925,2.2957235957726e-17,-0.10848632882925,-0.00141041383303664
0.028,3.60555503696918e-17,-0.116828737542098,3.6044902076325e-17,-0.116828737542098,-0.00163572778987905
0.03,2.40370335797946e-17,-0.125170497556408,3.93192356989794e-17,-0.125170497556408,-0.0018777241506996
0.032,4.80740671595891e-17,-0.133511620832298,6.28876767046315e-17,-0.133511620832298,-0.0021364032427737
0.034,3.84859926356117e-17,-0.141852067441764,4.58671374679806e-17,-0.141852067441764,-0.00241176397351583
