"time","q","qd"
0,1,0
0.001,0.999998499998756,-0.00299999818099128
0.002,0.999994000008928,-0.00599998544963018
0.003,0.999986500061923,-0.00899994834694036
0.004,0.999976000175373,-0.0119998836043414
0.005,0.999962500516072,-0.0149997593730547
0.006,0.999946001025696,-0.0179995867896179
0.007,0.999926501704246,-0.0209993658540307
0.008,0.999904002658657,-0.0239990830108224
0.009,0.99987850418067,-0.0269987012777774
0.01,0.999850006058346,-0.029998247521155
0.011,0.999818508291684,-0.0329977217409551
0.012,0.99978401118539,-0.0359970945899446
0.013,0.999746515107212,-0.0389963306488747
0.014,0.999706019728058,-0.0419954616139612
0.015,0.999662525047927,-0.0449944874852042
0.016,0.999616031644528,-0.0479933665125127
0.017,0.999566539774012,-0.0509920801842091
0.018,0.999514049075545,-0.0539906545772172
0.019,0.999458559549127,-0.056989089691537
0.02,0.999400071891326,-0.0599873493004401
0.021,0.99933858633749,-0.0629854211640361
0.022,0.999274102831675,-0.0659833081918785
0.023,0.999206621531621,-0.0689810021802944
0.024,0.999136142595068,-0.0719784949256111
0.025,0.999062666179756,-0.0749757782241558
0.026,0.998986192443426,-0.0779728438722557
0.027,0.998906721543817,-0.080969683666238
0.028,0.998824254585324,-0.0839662719051812
0.029,0.998738791202699,-0.0869626100519378
0.03,0.998650331581985,-0.0899586893797014
0.031,0.9985588759347,-0.0929545006907961
0.032,0.998464424472365,-0.0959500347875464
0.033,0.998366977406497,-0.0989452824722763
0.034,0.998266534948615,-0.10194023454731
0.035,0.998163097633237,-0.104934881708845
0.036,0.998056666671048,-0.107929214430909
0.037,0.99794724151988,-0.110923223763466
0.038,0.997834822454641,-0.113916900488011
0.039,0.997719409750239,-0.116910235386042
0.04,0.997601003681583,-0.119903219239054
0.041,0.997479604523581,-0.122895842828544
0.042,0.997355212551141,-0.125888096936009
0.043,0.997227829434476,-0.128879974831734
0.044,0.997097456115938,-0.131871468487731
0.045,0.996964091935988,-0.134862567018727
0.046,0.996827737291582,-0.137853261423919
0.047,0.996688392579681,-0.140843542702504
0.048,0.996546058197242,-0.143833401853679
0.049,0.996400734541226,-0.14682282987664
0.05,0.99625242200859,-0.149811817770585
0.051,0.996101120996294,-0.152800356534709
0.052,0.995946831901297,-0.155788437168211
0.053,0.995789555120556,-0.158776050670285
0.054,0.995629291051032,-0.16176318804013
0.055,0.995466040089684,-0.164749840276942
0.056,0.995299802633469,-0.167735998379917
0.057,0.995130579079347,-0.170721653348253
0.058,0.994958370090224,-0.173706796161442
0.059,0.994783179547883,-0.176691417560489
