"time","freeMotion.Q[1]","freeMotion.Q[2]","freeMotion.Q[3]","freeMotion.Q[4]","freeMotion.r_rel_a[1]","freeMotion.r_rel_a[2]","freeMotion.r_rel_a[3]","freeMotion.v_rel_a[1]","freeMotion.v_rel_a[2]","freeMotion.v_rel_a[3]","freeMotion.w_rel_b[1]","freeMotion.w_rel_b[2]","freeMotion.w_rel_b[3]"
0,0,0,0,1,0.2,-0.5,0.1,0,0,0,0,0,0
0.002,-3.59171079093152e-49,-4.01170281905957e-25,-1.60455311646677e-24,1,0.2,-0.499979613873561,0.0999920002250726,-1.76145125625461e-18,0.0203860060203178,-0.00799972767355885,0,-4.94590053932313e-22,-1.97819415720478e-21
0.004,-1.7259758580694e-48,-9.02940715425516e-25,-3.61146769424715e-24,1,0.2,-0.499918459460483,0.099968002456693,-3.21601509615228e-18,0.0407685230932455,-0.0159980862398507,0,-5.279890789992e-22,-2.11177889884359e-21
0.006,-4.21365099188094e-48,-1.43003416738365e-24,-5.71966450123531e-24,1,0.2,-0.499816547212026,0.0999280107960686,-5.22830913611405e-18,0.0611444074518681,-0.0239938420448108,0,-5.34458431711541e-22,-2.13765390619242e-21
0.008,-7.84987803234649e-48,-1.96526577731357e-24,-7.86041082151284e-24,1,0.2,-0.499673892678721,0.0998720313454246,-6.52883266110899e-18,0.0815106976151122,-0.031985832965654,0,-5.33564682910971e-22,-2.13407924304298e-21
0.01,-1.26336270816228e-47,-2.50202956873338e-24,-1.00072852592934e-23,1,0.2,-0.499490518150688,0.0998000728516877,-8.75527436046137e-18,0.101864163712056,-0.0399727915600097,0,-5.29632994733969e-22,-2.11835395105969e-21
0.012,-1.85019506702234e-47,-3.03369225438641e-24,-1.21337571926715e-23,1,0.2,-0.499266451931502,0.0997121464215403,-1.12123774435404e-17,0.122201411992403,-0.0479533860771592,0,-5.27519777421654e-22,-2.10990186692344e-21
0.014,-2.54781548007228e-47,-3.56255089692988e-24,-1.42490140111006e-23,1,0.2,-0.499001730395969,0.0996082663289181,-1.34532250656297e-17,0.142519135035053,-0.0559263186430579,0,-5.26623193179412e-22,-2.10631586307065e-21
0.016,-2.0032314620697e-45,-4.10533388605083e-24,-1.63555895932263e-23,1,0.2,-0.498696402309238,0.0994884517098846,-1.56276399232035e-17,0.16281408400499,-0.0638903143735828,0,-5.37727806007148e-22,-2.10519100582727e-21
0.018,-7.99758328180014e-45,-4.68019884810313e-24,-1.84592455641446e-23,1,0.2,-0.498350517936587,0.0993527222891737,-1.78512823532036e-17,0.183083012758604,-0.0718440994407546,0,-5.71539521962548e-22,-2.10204722501268e-21
0.02,-1.88897169816253e-44,-5.29659435086726e-24,-2.05620598714654e-23,1,0.2,-0.497964128698414,0.0992010982448022,-2.00920184767966e-17,0.203322659230657,-0.079786393768744,0,-6.28458646639911e-22,-2.09620974232633e-21
0.022,-3.27507089788797e-44,-5.94541506678645e-24,-2.26588200246184e-23,1,0.2,-0.497537301607401,0.0990336058733984,-2.21523611930773e-17,0.223529766768537,-0.0877159194057054,0,-6.78148652168212e-22,-2.09427491866379e-21
0.024,-5.09646480179729e-44,-6.63975927557811e-24,-2.47531225507758e-23,1,0.2,-0.49707008700748,0.0988502649305596,-2.40553681040689e-17,0.243701078204917,-0.0956313981978121,0,-7.25724782380041e-22,-2.09401098990962e-21
0.026,-6.92282550926985e-44,-7.37129750606979e-24,-2.68449145763227e-23,1,0.2,-0.496562599190109,0.0986511202657064,-2.59903516163537e-17,0.263833430972786,-0.103531589113603,0,-7.73197170450316e-22,-2.09410271526433e-21
0.028,-8.44539350612635e-44,-8.13549760307623e-24,-2.8934385078175e-23,1,0.2,-0.496014937120333,0.0984362107139784,-2.80855264357935e-17,0.283923637887714,-0.111415241461429,0,-8.20530304930535e-22,-2.09370690414434e-21
0.03,-9.61065987159079e-44,-8.93580043127451e-24,-3.10222308337835e-23,1,0.2,-0.49542716758314,0.0982055624826539,-3.03408237167356e-17,0.303968460077406,-0.119281084266666,0,-8.63393544533717e-22,-2.09297150438011e-21
0.032,-1.02443035794844e-43,-9.77187316258348e-24,-3.31089082746277e-23,1,0.2,-0.494799372594592,0.0979592077558769,-3.28168922233883e-17,0.323964683133837,-0.127127856154782,0,-8.99489166571999e-22,-2.09157535022648e-21
0.034,-1.01720036036284e-43,-1.06433829689211e-23,-3.51948738321874e-23,1,0.2,-0.494131634170749,0.0976971787177912,-3.55743807199597e-17,0.343909092648986,-0.134954295751244,0,-9.26519448357515e-22,-2.08919727593832e-21
0.036,-9.99881323328195e-44,-1.15434882709903e-23,-3.7279921907869e-23,1,0.2,-0.493424089412833,0.097419529168657,-3.85791521320809e-17,0.363798523198942,-0.142759160903508,0,-9.49340840515312e-22,-2.08699798691582e-21
0.038,-1.02649912734702e-43,-1.24658886045519e-23,-3.93639019419685e-23,1,0.2,-0.492676870842472,0.0971263111116453,-4.18049495520776e-17,0.383629805287429,-0.15054120786098,0,-9.72215020452035e-22,-2.08601499091887e-21
0.04,-1.04426646962443e-43,-1.34132037433434e-23,-4.14475706864319e-23,1,0.2,-0.491890035487136,0.0968175469250584,-4.53554199830076e-17,0.403399702285479,-0.158299166529347,0,-9.89598877165519e-22,-2.08525489256966e-21
0.042,-1.05532472560637e-43,-1.43834662288288e-23,-4.35312183081999e-23,1,0.2,-0.491063679197163,0.0964932742217869,-4.92674073433792e-17,0.423105012087111,-0.166031780361554,0,-1.00099141197626e-21,-2.08476868840477e-21
0.044,-1.06181527073877e-43,-1.53747086024723e-23,-4.56151349742133e-23,1,0.2,-0.490197897822893,0.0961535306147215,-5.35777555517004e-17,0.442742532586343,-0.173737792810545,0,-1.00589162620477e-21,-2.0846073749608e-21
0.046,-1.06238367584634e-43,-1.63746353561543e-23,-4.76983577713192e-23,1,0.2,-0.489293030773859,0.0957984492924738,-5.87997685503429e-17,0.462309411412965,-0.181416084570025,0,-1.01138009091543e-21,-2.084339159048e-21
0.048,-1.059778096108e-43,-1.73830717090907e-23,-4.97813943682033e-23,1,0.2,-0.488349131624933,0.0954280512785032,-6.48875893298795e-17,0.481802385756066,-0.189065375271551,0,-1.01563984633732e-21,-2.08409883680075e-21
0.05,-1.05620292797099e-43,-1.83982363927922e-23,-5.18645575218452e-23,1,0.2,-0.487366291835662,0.0950423724626987,-7.18694723734688e-17,0.501218247204762,-0.196684405893945,0,-1.01803321621065e-21,-2.08394610830042e-21
0.052,-1.05337647652834e-43,-1.94169120242978e-23,-5.39479857485373e-23,1,0.2,-0.486344636732485,0.0946414620247455,-7.9839923892646e-17,0.520553835978902,-0.204271936499346,0,-1.01897674094478e-21,-2.08387354175536e-21
0.054,-1.05176329718591e-43,-2.0437306701308e-23,-5.60316825826584e-23,1,0.2,-0.485284334390118,0.0942253859192976,-8.8712738300791e-17,0.539806067128601,-0.211826756514238,0,-1.01885436078032e-21,-2.08386512628204e-21
0.056,-1.0457432964352e-43,-2.14645466084819e-23,-5.81149964696472e-23,1,0.2,-0.48418576034757,0.0937942915126313,-9.75246865849405e-17,0.558972218867282,-0.219347797875,0,-1.01789180209465e-21,-2.08386321528391e-21
0.058,-1.04024315585767e-43,-2.24917665225549e-23,-6.01984113478546e-23,1,0.2,-0.483048930537365,0.0933481850568713,-1.06832720921956e-16,0.578048939922295,-0.226833745499681,0,-1.01658902993611e-21,-2.08388233107787e-21
0.06,-1.03605964122628e-43,-2.35167968267131e-23,-6.22819665182814e-23,1,0.2,-0.481874001707061,0.0928871280617505,-1.1659851955197e-16,0.597033125515721,-0.234283381033996,0,-1.01533862272415e-21,-2.08390873601186e-21
0.062,-1.03398951831403e-43,-2.45374679041431e-23,-6.43657012819284e-23,1,0.2,-0.480661130604218,0.0924111820370018,-1.26783760715113e-16,0.615921670869642,-0.241695486123655,0,-1.01453315887821e-21,-2.08392869243383e-21
