"time","transformerL.inductor[1].i","transformerL.inductor[2].i","transformerL.inductor[3].i"
0,0,0,0
0.0005,0.000713487243455106,-0.0768027378513661,0.0760892506079334
0.001,0.00269896982796247,-0.141948382638852,0.139249412810915
0.0015,0.00575151360339543,-0.197291162806935,0.191539649203566
0.002,0.00969902757786919,-0.244384865537599,0.234685837959755
0.0025,0.0143966567288789,-0.284534131879593,0.27013747515074
0.003,0.0197224167093757,-0.318834396149322,0.299111979439972
0.0035,0.0255736073731085,-0.348204701127332,0.322631093754249
0.004,0.0318636380770613,-0.373416746245324,0.341553108168287
0.0045,0.0385194682471875,-0.395118306858131,0.356598838610968
0.005,0.0454794720919964,-0.413852773411044,0.368373301319072
0.0055,0.0526915795588342,-0.430076163512821,0.377384583954011
0.006,0.0601117341445555,-0.444171235318399,0.384059501173868
0.0065,0.0677026148321682,-0.456459184555732,0.388756569723587
0.007,0.0754325614407232,-0.467209480686555,0.391776919245855
0.0075,0.0832746592153665,-0.476648246297366,0.393373587082023
0.008,0.0912059792698891,-0.484965210686182,0.393759231416316
0.0085,0.0992069428700041,-0.492319530497914,0.393112587627933
0.009,0.10726078235938,-0.498844726235316,0.391583943875959
0.0095,0.115353091947492,-0.50465279667225,0.38929970472478
0.01,0.123471450042375,-0.509837678732537,0.386366228690184
0.0105,0.131605102906639,-0.514478146344919,0.382873043438302
0.011,0.139744697069729,-0.518640263242002,0.378895566172295
0.0115,0.147882057242685,-0.522379419465227,0.374497362222563
0.012,0.156009999295758,-0.525742047079304,0.369732047783567
0.0125,0.164122178960194,-0.528767009040313,0.36464483008014
0.013,0.172212953155395,-0.531486872547989,0.359273919392615
0.0135,0.180277244398876,-0.533929154185429,0.353651909786573
0.014,0.188310504116953,-0.536116660174496,0.347806156057563
0.0145,0.196308576996609,-0.538068732033566,0.341760155036977
0.015,0.204267678955766,-0.539801452654967,0.33553377369922
0.0155,0.2121843291642,-0.541328272783145,0.329143943618965
0.016,0.220055293499927,-0.542660532872083,0.322605239372176
0.0165,0.227877566962252,-0.543807628393438,0.315930061431205
0.017,0.235648318688049,-0.544777517387604,0.309129198699574
0.0175,0.243364874797657,-0.54557688179216,0.302212006994522
0.018,0.251024701465028,-0.546211286663381,0.295186585198372
0.0185,0.258625371911609,-0.546685486564146,0.288060114652555
0.019,0.266164565413129,-0.54700343887415,0.280838873461039
0.0195,0.273640048839231,-0.547168476929737,0.273528428090524
0.02,0.281049660960748,-0.547183457899847,0.266133796939117
0.0205,0.288391310637138,-0.547050783423506,0.258659472786386
0.021,0.295662965717515,-0.546772505305267,0.25110953958777
0.0215,0.302862643852159,-0.546350413751282,0.243487769899141
0.022,0.309988413295048,-0.545786033904321,0.23579762060929
0.0225,0.317038384307626,-0.545080708572816,0.228042324265206
0.023,0.324010706813307,-0.544235623626188,0.220224916812898
0.0235,0.330903568644784,-0.543251827818232,0.212348259173464
0.024,0.337715191161932,-0.542130276826935,0.20441508566502
0.0245,0.34444382853406,-0.540871843531193,0.196428014997149
0.025,0.351087766148483,-0.539477336259784,0.188389570111317
0.0255,0.357645318805466,-0.537947519028794,0.180302200223344
0.026,0.364114831491502,-0.536283107865479,0.172168276373993
0.0265,0.370494676201452,-0.534484803820448,0.163990127619012
0.027,0.376783251666948,-0.532553298776474,0.155770047109542
0.0275,0.38297898185715,-0.530489292726767,0.147510310869633
0.028,0.389080315179568,-0.528293505059924,0.13921318988037
0.0285,0.395085728635496,-0.525966638640642,0.130880910005161
0.029,0.400993734498132,-0.523509320689566,0.122515586191449
0.0295,0.406802858779236,-0.520922307865452,0.114119449086232
0.03,0.412511657768781,-0.518206340591781,0.105694682823015
0.0305,0.418118716624237,-0.515362161923266,0.0972434452990436
0.031,0.423622644255531,-0.51239052077782,0.0887678765223026
0.0315,0.429022077088366,-0.509292186315776,0.0802701092274239
0.032,0.434315680688637,-0.506067995524432,0.0717523148358091
0.0325,0.439502144298696,-0.502718739879962,0.0632165955812798
0.033,0.444580184797237,-0.499245248481718,0.054665063684495
0.0335,0.449548548464905,-0.495648464181462,0.0460999157165704
0.034,0.454406005667242,-0.491929255816981,0.0375232501497531
0.0345,0.459151354474436,-0.488088546040027,0.028937191565604
0.035,0.463783426054453,-0.484127328445496,0.0203439023910559
0.0355,0.468301073788138,-0.480046584971453,0.011745511183328
0.036,0.472703179311742,-0.475847331752806,0.00314415244107739
0.0365,0.476988659342662,-0.471530618864852,-0.00545804047779754
0.037,0.481156454670544,-0.467097522338949,-0.0140589323315823
0.0375,0.485205533093077,-0.462549145679909,-0.0226563874131554
0.038,0.489134900455329,-0.457886612831877,-0.0312482876234404
0.0385,0.492943590246627,-0.453111076326906,-0.0398325139197088
0.039,0.496630660436942,-0.448223720237072,-0.0484069401998578
0.0395,0.500195200741303,-0.443225753395722,-0.056969447345569
0.04,0.503636330241586,-0.438118411616692,-0.0655179186248824
0.0405,0.506953197386515,-0.432902957694306,-0.0740502396921974
0.041,0.510144985852401,-0.427580680031108,-0.0825643058212813
0.0415,0.513210911606904,-0.422152893325375,-0.0910580182815183
0.042,0.516150208891521,-0.416620941853244,-0.0995292670382658
0.0425,0.518962147044444,-0.410986195529725,-0.107975951514708
0.043,0.521646025152763,-0.405250051160861,-0.116395973991891
0.0435,0.52420117205246,-0.399413932443726,-0.124787239608723
0.044,0.526627004268552,-0.393479234696555,-0.133147769571987
0.0445,0.528922906948354,-0.387447438438092,-0.141475468510251
0.045,0.531088301239081,-0.381320045115199,-0.149768256123872
0.0455,0.533122648725581,-0.375098572869637,-0.158024075855934
0.046,0.535025442059945,-0.368784565476613,-0.166240876583322
0.0465,0.536796214013798,-0.362379577623192,-0.174416636390596
0.047,0.538434565006063,-0.35588513014037,-0.182549434865684
0.0475,0.539940063780742,-0.349302871529086,-0.190637192251647
0.048,0.541312336702876,-0.342634432739745,-0.198677903963122
0.0485,0.542551042123151,-0.33588146886261,-0.206669573260532
0.049,0.543655870377901,-0.329045659127804,-0.214610211250087
0.0495,0.544626564440693,-0.322128643642651,-0.222497920798033
0.05,0.545462891272085,-0.315132111156868,-0.230330780115208
0.0505,0.546164632830474,-0.308057826599325,-0.238106806231141
0.051,0.546731614376733,-0.300907544371544,-0.245824070005181
0.0515,0.547163693821713,-0.293683040979845,-0.25348065284186
0.052,0.547460761726243,-0.286386115035339,-0.261074646690895
0.0525,0.547622764587594,-0.279018455618856,-0.26860430896873
0.053,0.547649650767046,-0.271581947944723,-0.276067702822315
0.0535,0.547541412180153,-0.264078437691624,-0.283462974488521
0.054,0.547298074387544,-0.256509787017889,-0.290788287369647
0.0545,0.546919696003765,-0.248877877903239,-0.298041818100518
0.055,0.546406372296063,-0.241184569817524,-0.305221802478531
0.0555,0.545758235846248,-0.233431691935531,-0.31232654391071
0.056,0.544975441558224,-0.225621219488016,-0.319354222070201
0.0565,0.544058182398967,-0.217755088606198,-0.326303093792763
0.057,0.543006684597323,-0.209835252796604,-0.333171431800712
0.0575,0.541821207644005,-0.201863682941074,-0.339957524702925
0.058,0.540502043385935,-0.193842286390118,-0.34665975699581
0.0585,0.539049517591807,-0.185773046821907,-0.353276470769894
0.059,0.537463989433905,-0.17765797794996,-0.359806011483938
0.0595,0.535745851053342,-0.169499084685146,-0.36624676636819
0.06,0.533895527786217,-0.16129838333827,-0.372597144447941
0.0605,0.531913477042652,-0.153057898452055,-0.378855578590591
0.061,0.52980017857006,-0.144779638481378,-0.385020540088675
0.0615,0.527556160164235,-0.136465658497927,-0.391090501666302
0.062,0.525181976393946,-0.128118007542993,-0.397063968850947
