"time","junctionIdeal.medium.h","junctionIdeal.medium.p","pipe1.mediums[1].h","pipe1.mediums[1].p","pipe2.mediums[1].h","pipe2.mediums[1].p","pipe3.mediums[1].h","pipe3.mediums[1].p","valveOpening1.a","valveOpening1.b","valveOpening1.last","valveOpening1.nextEvent","valveOpening2.a","valveOpening2.b","valveOpening2.last","valveOpening2.nextEvent"
0,113032.108473753,500000,84385.8376489031,497500,84381.1337746141,492500,84381.1337746141,492500,0,1,2,1,0,1,2,3
0.001,112828.299524332,369571.707748984,84337.2510758331,435401.348224253,84232.2655544765,336533.598765688,84232.2655544765,336533.598765688,0,1,2,1,0,1,2,3
0.002,112736.254934335,363217.682254118,84350.4826250647,431683.822595831,84233.2283383484,329044.006833186,84233.2283383484,329044.006833186,0,1,2,1,0,1,2,3
0.003,112649.998516254,362861.083836432,84367.3721029643,431474.159208068,84241.2910571959,328624.062648254,84241.2910571959,328624.062648254,0,1,2,1,0,1,2,3
0.004,112564.362695732,362841.409949353,84384.458356671,431462.528585161,84249.7254846894,328600.631960202,84249.7254846894,328600.631960202,0,1,2,1,0,1,2,3
0.005,112479.056175067,362840.951610187,84401.5461971002,431462.195696345,84258.1547535399,328599.814389453,84258.1547535399,328599.814389453,0,1,2,1,0,1,2,3
0.006,112394.061222388,362841.386757064,84418.6243714146,431462.388881065,84266.5572272986,328600.049255198,84266.5572272986,328600.049255198,0,1,2,1,0,1,2,3
0.007,112309.376205367,362842.001858695,84435.6924466587,431462.687829032,84274.9321601633,328600.497329398,84274.9321601633,328600.497329398,0,1,2,1,0,1,2,3
0.008,112224.999719005,362842.607100755,84452.7503146145,431462.981369789,84283.2794527262,328600.935015176,84283.2794527262,328600.935015176,0,1,2,1,0,1,2,3
0.009,112140.930456208,362843.224302862,84469.7979972043,431463.282191202,84291.5992667229,328601.388054269,84291.5992667229,328601.388054269,0,1,2,1,0,1,2,3
0.01,112057.167680404,362843.827530603,84486.8354832321,431463.575136466,84299.8916442729,328601.825875774,84299.8916442729,328601.825875774,0,1,2,1,0,1,2,3
0.011,111973.71058705,362844.424232215,84503.8627825603,431463.86455256,84308.1566772367,328602.257254299,84308.1566772367,328602.257254299,0,1,2,1,0,1,2,3
0.012,111890.558186508,362845.01843154,84520.8799041434,431464.152783003,84316.394472024,328602.686928437,84316.394472024,328602.686928437,0,1,2,1,0,1,2,3
0.013,111807.709624544,362845.608227086,84537.8868524663,431464.438720111,84324.6051135646,328603.112650981,84324.6051135646,328603.112650981,0,1,2,1,0,1,2,3
0.014,111725.160828316,362846.194941738,84554.8836551838,431464.723133669,84332.7890201664,328603.535957244,84332.7890201664,328603.535957244,0,1,2,1,0,1,2,3
0.015,111642.913685628,362846.777962325,84571.8702994778,431465.005666873,84340.9459979394,328603.956135593,84340.9459979394,328603.956135593,0,1,2,1,0,1,2,3
0.016,111560.968196481,362847.357288848,84588.8467853482,431465.286319725,84349.0760468836,328604.373186027,84349.0760468836,328604.373186027,0,1,2,1,0,1,2,3
0.017,111479.324360875,362847.932921305,84605.813112795,431465.565092223,84357.1791669989,328604.787108547,84357.1791669989,328604.787108547,0,1,2,1,0,1,2,3
0.018,111397.968506854,362848.505644731,84622.7693737801,431465.842422594,84365.2567572053,328605.19875021,84365.2567572053,328605.19875021,0,1,2,1,0,1,2,3
0.019,111316.907389984,362849.075071226,84639.7155228634,431466.118094302,84373.3081262707,328605.607692469,84373.3081262707,328605.607692469,0,1,2,1,0,1,2,3
0.02,111236.142220629,362849.641131292,84656.6515519036,431466.392068552,84381.3331503499,328606.013860336,84381.3331503499,328606.013860336,0,1,2,1,0,1,2,3
0.021,111155.672998791,362850.203824929,84673.5774609008,431466.664345344,84389.3318294431,328606.41725381,84389.3318294431,328606.417253809,0,1,2,1,0,1,2,3
0.022,111075.499724468,362850.763152136,84690.4932498548,431466.934924678,84397.3041635501,328606.817872891,84397.3041635501,328606.81787289,0,1,2,1,0,1,2,3
0.023,110995.622397662,362851.319112914,84707.3989187658,431467.203806553,84405.250152671,328607.215717579,84405.250152671,328607.215717579,0,1,2,1,0,1,2,3
0.024,110916.041018372,362851.871707262,84724.2944676337,431467.470990969,84413.1697968057,328607.610787874,84413.1697968057,328607.610787874,0,1,2,1,0,1,2,3
0.025,110836.755586598,362852.420935182,84741.1798964586,431467.736477928,84421.0630959543,328608.003083776,84421.0630959543,328608.003083776,0,1,2,1,0,1,2,3
0.026,110757.764232083,362852.966847599,84758.0552179497,431468.000293249,84428.930241374,328608.392652571,84428.930241374,328608.392652571,0,1,2,1,0,1,2,3
0.027,110679.042991519,362853.510097036,84774.9205949495,431468.262767775,84436.7736836135,328608.780100109,84436.7736836135,328608.780100109,0,1,2,1,0,1,2,3
0.028,110600.612145125,362854.050131262,84791.775889644,431468.523621512,84444.5913487663,328609.164913656,84444.5913487663,328609.164913656,0,1,2,1,0,1,2,3
0.029,110522.471692899,362854.586950277,84808.6211020332,431468.782854462,84452.3832368324,328609.547093213,84452.3832368324,328609.547093213,0,1,2,1,0,1,2,3
0.03,110444.621634841,362855.12055408,84825.4562321171,431469.040466625,84460.1493478117,328609.926638779,84460.1493478117,328609.926638779,0,1,2,1,0,1,2,3
0.031,110367.061970953,362855.650942671,84842.2812798956,431469.296457999,84467.8896817043,328610.303550354,84467.8896817043,328610.303550354,0,1,2,1,0,1,2,3
0.032,110289.792701233,362856.178116051,84859.0962453688,431469.550828586,84475.6042385102,328610.67782794,84475.6042385102,328610.67782794,0,1,2,1,0,1,2,3
0.033,110212.813825682,362856.70207422,84875.9011285366,431469.803578384,84483.2930182293,328611.049471534,84483.2930182293,328611.049471534,0,1,2,1,0,1,2,3
0.034,110136.125344299,362857.222817178,84892.6959293992,431470.054707395,84490.9560208617,328611.418481139,84490.9560208617,328611.418481139,0,1,2,1,0,1,2,3
0.035,110059.718658796,362857.740536158,84909.4807071209,431470.304311551,84498.5941253761,328611.785029205,84498.5941253761,328611.785029205,0,1,2,1,0,1,2,3
0.036,109983.57178337,362858.255720145,84926.2556129853,431470.552636153,84506.2095792927,328612.149556694,84506.2095792927,328612.149556694,0,1,2,1,0,1,2,3
