"time","position1.w","position2.w","r1.phi","r2.phi","revolute.phi","revolute.w","rotor1D.phi","rotor1D.w"
0,0,0,0,0,0,0,0,0
0.00022,0.0461585442886524,0.0461585442886524,3.43483138093491e-06,3.43483138093491e-06,5.58737191858168e-12,7.60272074175457e-08,5.58737191858168e-12,7.60272074175457e-08
0.00044,0.175509923008175,0.175509923008175,2.64146507395107e-05,2.64146507395107e-05,4.46153200818426e-11,3.0410665221396e-07,4.46153200818426e-11,3.0410665221396e-07
0.00066,0.375371912152689,0.375371912152689,8.58287720009563e-05,8.58287720009563e-05,1.50544636440174e-10,6.84238576637495e-07,1.50544636440174e-10,6.84238576637495e-07
0.00088,0.634350922042196,0.634350922042196,0.000195914195924413,0.000195914195924413,3.5682984751883e-10,1.21642225370271e-06,3.5682984751883e-10,1.21642225370271e-06
0.0011,0.942240840766348,0.942240840766348,0.000368531136563421,0.000368531136563421,6.96920944386652e-10,1.90065666664902e-06,6.96920944386652e-10,1.90065666664902e-06
0.00132,1.28992598884054,1.28992598884054,0.00061341734960633,0.00061341734960633,1.20426909017179e-09,2.73694050815634e-06,1.20426909017179e-09,2.73694050815634e-06
0.00154,1.66929206631478,1.66929206631478,0.000938419629908255,0.000938419629908255,1.91232494049887e-09,3.72527218023485e-06,1.91232494049887e-09,3.72527218023485e-06
0.00176,2.0731445935299,2.0731445935299,0.00134969985058374,0.00134969985058374,2.85453879916212e-09,4.86564979442579e-06,2.85453879916212e-09,4.86564979442579e-06
0.00198,2.49513020059697,2.49513020059697,0.00185193008183429,0.00185193008183429,4.06436061042057e-09,6.15807117184408e-06,4.06436061042057e-09,6.15807117184408e-06
0.0022,2.92966217647168,2.92966217647168,0.00244847229971873,0.00244847229971873,5.57523976976955e-09,7.60253384291647e-06,5.57523976976955e-09,7.60253384291647e-06
0.00242,3.37185278617741,3.37185278617741,0.00314153783695639,0.00314153783695639,7.42062501904615e-09,9.19903504761794e-06,7.42062501904615e-09,9.19903504761794e-06
