"time","Re","m_flow[1]","m_flow[2]","Nu[1]","Nu[2]","input_Re.y"
0,0,0,-4.13590306276514e-25,0.001,0.001,0
0.000202,2.02,0.017863963494133,0.0107690501016474,0.636021805614028,0.717973832405032,2.02
0.000404,4.04,0.035727926988266,0.0215381002032947,0.90572697668866,0.987433861856617,4.04
0.000606,6.06,0.053591890482399,0.0323071503049421,1.11379136181748,1.18980596540443,6.06
0.000808,8.08,0.071455853976532,0.0430762004065894,1.28980067831103,1.35810003008845,8.08
0.00101,10.1,0.0893198174706649,0.0538452505082368,1.44526241140914,1.50488898982542,10.1
0.001212,12.12,0.107183780964798,0.0646143006098841,1.58609480665052,1.63654850950421,12.12
0.001414,14.14,0.125047744458931,0.0753833507115315,1.71582110650884,1.75683331184236,14.14
0.001616,16.16,0.142911707953064,0.0861524008131789,1.83674090823006,1.8681725380523,16.16
0.001818,18.18,0.160775671447197,0.0969214509148262,1.9504538786396,1.9722433734117,18.18
0.00202,20.2,0.17863963494133,0.107690501016474,2.05812621965629,2.07026060643003,20.2
0.002222,22.22,0.196503598435463,0.118459551118121,2.16063931799144,2.16313707237927,22.22
0.002424,24.24,0.214367561929596,0.129228601219768,2.25867861964617,2.25157901266153,24.24
0.002626,26.26,0.232231525423729,0.139997651321416,2.35278972622627,2.3361459476789,26.26
0.002828,28.28,0.250095488917862,0.150766701423063,2.44341538233349,2.41728996690963,28.28
0.00303,30.3,0.267959452411995,0.16153575152471,2.53092075645575,2.49538246744685,30.3
0.003232,32.32,0.285823415906128,0.172304801626358,2.61561124962616,2.5707329145162,32.32
0.003434,34.34,0.303687379400261,0.183073851728005,2.6977453667097,2.64360235076968,34.34
0.003636,36.36,0.321551342894394,0.193842901829652,2.77754422737979,2.71421334446066,36.36
0.003838,38.38,0.339415306388527,0.2046119519313,2.85519873088663,2.78275745950258,38.38
0.00404,40.4,0.35727926988266,0.215381002032947,2.930875045665,2.84940096171921,40.4
0.004242,42.42,0.375143233376793,0.226150052134594,3.00471887910931,2.91428924448869,42.42
0.004444,44.44,0.393007196870926,0.236919102236242,3.07685884340044,2.97755030803991,44.44
0.004646,46.46,0.410871160365059,0.247688152337889,3.14740914090051,3.03929752827634,46.46
0.004848,48.48,0.428735123859192,0.258457202439537,3.21647173009805,3.09963188457337,48.48
0.00505,50.5,0.446599087353325,0.269226252541184,3.28413808991284,3.15864377024857,50.5
0.005252,52.52,0.464463050847458,0.279995302642831,3.3504906698313,3.21641447733445,52.52
0.005454,54.54,0.482327014341591,0.290764352744479,3.41560409167877,3.27301742443546,54.54
0.005656,56.56,0.500190977835724,0.301533402846126,3.47954615313691,3.32851917993058,56.56
0.005858,58.58,0.518054941329857,0.312302452947773,3.5423786715849,3.38298032067613,58.58
