"time","controller.busdelay.y","controller.positionToSpeed.x","controller.position_PI.x","controller.speed_PI.x","elastoGap.s_rel","elastoGap.v_rel","gearbox.phi_rel","gearbox.w_rel","rodMass.s","rodMass.v","slewRateLimiter.y"
0,0,-0.0097260963084150574,0,-0.029178288925245172,0,0,0,0,0,0,0
1.1603735636356411e-07,4.6625002279531983e-11,-0.0097260963084150574,2.2571810067318094e-09,-0.029178221209806492,7.2525581477928445e-13,1.1578834076290163e-05,3.2343777139611434e-13,7.252881572636481e-06,1.0781259046537125e-15,2.4176271908788235e-08,0
1.1603735636356411e-07,4.6625002279531983e-11,-0.0097260963084150574,2.2571810067318094e-09,-0.029178221209806492,7.2525581477928445e-13,1.1578834076290163e-05,3.2343777139611434e-13,7.252881572636481e-06,1.0781259046537125e-15,2.4176271908788235e-08,0
0.00026952960334872907,0.00021359214280478766,-0.0097260963084150939,5.2429417602780048e-06,-0.029020958278594675,6.3616190396854334e-07,0.0023465401943236403,0.00087266462599832305,7.1669184875386209,2.9088820866610743e-06,0.023889728291795399,0
0.00026952960334872907,0.00021359214280478766,-0.0097260963084150939,5.2429417602780048e-06,-0.029020958278594675,6.3616190396854334e-07,0.0023465401943236403,0.00087266462599832305,7.1669184875386209,2.9088820866610743e-06,0.023889728291795399,0
0.0002695990908190679,0.00021369756732019277,-0.0097260963084150939,5.2442934439354911e-06,-0.029020917706223004,6.3632505652480435e-07,0.0023498306724548889,0.00087316267808472934,7.1679537591574789,2.9105422602824295e-06,0.023893179197191597,0
0.0002695990908190679,0.00021369756732019277,-0.0097260963084150939,5.2442934439354911e-06,-0.029020917706223004,6.3632505652480435e-07,0.0023498306724548889,0.00087316267808472934,7.1679537591574789,2.9105422602824295e-06,0.023893179197191597,0
0.0002695993625719972,0.00021369797966303879,-0.0097260963084150939,5.2442987301258151e-06,-0.029020917547551785,6.3632569510463364e-07,0.0023498571506178735,0.00087316462599715185,7.1679537248454874,2.9105487533238381e-06,0.023893179082818357,0
0.0002695993625719972,0.00021369797966303879,-0.0097260963084150939,5.2442987301258151e-06,-0.029020917547551785,6.3632569510463364e-07,0.0023498571506178735,0.00087316462599715185,7.1679537248454874,2.9105487533238381e-06,0.023893179082818357,0
0.0050000000000000001,-0.0051729907450856873,-0.0097194033492594891,9.7112142217841603e-05,-0.026384204471972685,0.00010746701033458745,-0.009068524406099383,0.00090545430699835066,9.8080522791483391e-07,3.0351785384986534e-06,7.6058712995723551e-06,0
0.0050000000000000001,-0.0051729907450856873,-0.0097194033492594891,9.7112142217841603e-05,-0.026384204471972685,0.00010746701033458745,-0.009068524406099383,0.00090545430699835066,9.8080522791483391e-07,3.0351785384986534e-06,7.6058712995723551e-06,0
0.0061523374348448788,-10.735522258011292,-0.0079693369098689081,8.2455891835673503e-05,-0.061819012839308317,9.9367428976365632e-05,-0.0043572836557819366,0.00090536427089195142,-0.00010294792860226029,3.0406921704061291e-06,-3.4315976204437647e-07,0
0.0061523374348448788,-10.735522258011292,-0.0079693369098689081,8.2455891835673503e-05,-0.061819012839308317,9.9367428976365632e-05,-0.0043572836557819366,0.00090536427089195142,-0.00010294792860226029,3.0406921704061291e-06,-3.4315976204437647e-07,0
0.01,-12.06461909424651,-0.0034251841296031624,3.4222375530862956e-05,-0.15413564985069167,0.00010025573883799757,0.00053438134212660309,0.00090545523660449207,8.0622197808985868e-05,2.9418390272912588e-06,-5.1434462943518267e-05,0
0.01,-12.06461909424651,-0.0034251841296031624,3.4222375530862956e-05,-0.15413564985069167,0.00010025573883799757,0.00053438134212660309,0.00090545523660449207,8.0622197808985868e-05,2.9418390272912588e-06,-5.1434462943518267e-05,0
0.014999999999999999,1.6233333221665758,-0.0049112343727190158,0.0001059020048541282,-0.12224344274181861,9.9928951692374344e-05,2.8698840478942837e-05,0.00090567747210550749,3.0632754992932905e-05,2.6732396263116849e-06,-4.5683531971269298e-05,0
0.014999999999999999,1.6233333221665758,-0.0049112343727190158,0.0001059020048541282,-0.12224344274181861,9.9928951692374344e-05,2.8698840478942837e-05,0.00090567747210550749,3.0632754992932905e-05,2.6732396263116849e-06,-4.5683531971269298e-05,0
0.02,-6.4181671428137932,-0.0020121879760357231,8.0992048313381954e-05,-0.18094384113194228,0.00010000998140577964,-6.4005781003127863e-06,0.00090580523342186265,1.9397548476918387e-05,2.3971917328250895e-06,-6.9913114680379972e-05,0
0.02,-6.4181671428137932,-0.0020121879760357231,8.0992048313381954e-05,-0.18094384113194228,0.00010000998140577964,-6.4005781003127863e-06,0.00090580523342186265,1.9397548476918387e-05,2.3971917328250895e-06,-6.9913114680379972e-05,0
0.025000000000000001,-1.9389112448836223,-0.001751780172613472,9.4020186909586805e-05,-0.18573518747871065,0.00010000028228303944,-3.785739628143201e-08,0.00090588111356466145,1.169279658727121e-05,2.0174841276538115e-06,-7.8179215446508803e-05,0
0.025000000000000001,-1.9389112448836223,-0.001751780172613472,9.4020186909586805e-05,-0.18573518747871065,0.00010000028228303944,-3.785739628143201e-08,0.00090588111356466145,1.169279658727121e-05,2.0174841276538115e-06,-7.8179215446508803e-05,0
0.029999999999999999,1.2429866368282947,-0.0031571176640832633,0.00014680799249674412,-0.1560089488378579,9.9995783116058038e-05,4.3914507733642716e-08,0.00090592664139348838,6.9888435760803085e-06,1.6592317454033325e-06,-6.2705709447102441e-05,0
