"time","rev.phi","rev.w"
0,0,0
0.001,-9.76595099310188e-06,-0.0195312685449921
0.002,-3.90572885851987e-05,-0.0390547580386348
0.003,-8.78634003252431e-05,-0.0585704726171364
0.004,-0.000156177063633038,-0.0780784150737228
0.005,-0.000243991612751646,-0.0975785876943946
0.006,-0.000351274506096934,-0.117071001962871
0.007,-0.000478041268292201,-0.136555652400611
0.008,-0.000624291899337448,-0.156032539007614
0.009,-0.000790026399232674,-0.175501661783881
0.01,-0.000975211083520454,-0.194963029706394
0.011,-0.00117982849825839,-0.214416647426667
0.012,-0.00140390471221725,-0.233862507997316
0.013,-0.00164743972539702,-0.25330061141834
0.014,-0.00191043353779771,-0.272730957689739
0.015,-0.00219281215853522,-0.292153558437178
0.016,-0.00249459616442135,-0.311568410427566
0.017,-0.00281580395977081,-0.330975510769165
0.018,-0.0031564355445836,-0.350374859461974
0.019,-0.00351648897094843,-0.369766456443873
0.02,-0.00389586336934912,-0.38915029849802
0.021,-0.00429462536588287,-0.408526387749196
0.022,-0.00471277496054967,-0.4278947241974
0.023,-0.00515031215334953,-0.447255307842633
0.024,-0.00560722082768939,-0.46660813145896
0.025,-0.00608345145593854,-0.485953172840484
0.026,-0.00657902701097816,-0.505290442287182
0.027,-0.00709394040758375,-0.524619936622367
0.028,-0.00762818456053082,-0.543941652669353
0.029,-0.00818175238459487,-0.563255587251452
0.03,-0.00875463679455142,-0.582561737191978
0.031,-0.00934683070517595,-0.601860099314245
0.032,-0.00995832703124398,-0.621150670441565
0.033,-0.010589118687531,-0.640433447397251
0.034,-0.0112391806754003,-0.659708362880581
0.035,-0.0119085121304202,-0.678975435983227
0.036,-0.012597109110362,-0.698234674779382
0.037,-0.0133049636483025,-0.717486072936169
0.038,-0.0140320677773186,-0.736729624120716
0.039,-0.014778413530487,-0.75596532200015
0.04,-0.0155439929408845,-0.775193160241595
0.041,-0.0163287980415881,-0.794413132512179
0.042,-0.0171328200259994,-0.813625193658885
0.043,-0.0179560485086093,-0.832829225531939
0.044,-0.0187984775112709,-0.852025313744253
0.045,-0.0196600989414413,-0.871213446155263
0.046,-0.0205409047065777,-0.890393610624403
0.047,-0.0214408867141371,-0.90956579501111
0.048,-0.0223600368715768,-0.928729987174818
0.049,-0.023298347086354,-0.947886174974962
0.05,-0.0242558092659258,-0.967034346270979
0.051,-0.025232415017347,-0.986174332716738
0.052,-0.0262281563023382,-1.00530615038793
0.053,-0.027243025116316,-1.02442983288189
0.054,-0.0282770133513048,-1.04354536003324
0.055,-0.0293301128993293,-1.06265271167659
0.056,-0.0304023156524137,-1.08175186764658
0.057,-0.0314936135025826,-1.10084280777781
0.058,-0.0326039983418605,-1.11992551190492
0.059,-0.0337334615231508,-1.1389999204841
0.06,-0.0348819921780073,-1.15806581171991
0.061,-0.0360495842677842,-1.17712331659478
0.062,-0.0372362295578028,-1.19617240568868
0.063,-0.0384419198133841,-1.21521304958157
0.064,-0.0396666467998492,-1.23424521885342
0.065,-0.0409104022825192,-1.2532688840842
0.066,-0.0421731780267153,-1.27228401585388
0.067,-0.0434549657977585,-1.29129058474241
0.068,-0.0447557527179517,-1.31028837985125
0.069,-0.046075530407451,-1.32927736608639
0.07,-0.0474142926509072,-1.34825759295597
0.071,-0.0487720309413825,-1.36722902039837
0.072,-0.0501487367719391,-1.38619160835195
0.073,-0.051544401635639,-1.40514531675507
0.074,-0.0529590170255446,-1.4240901055461
0.075,-0.0543925744347179,-1.4430259346634
0.076,-0.0558450647548698,-1.46195274556379
0.077,-0.0573164723681189,-1.48087027964249
0.078,-0.0588067930576974,-1.49977862868918
0.079,-0.0603160177119834,-1.51867773405825
0.08,-0.0618441371773627,-1.53756753581353
0.081,-0.0633911422582294,-1.55644797272832
0.082,-0.0649570237169856,-1.57531898228533
0.083,-0.0665417722740415,-1.59418050067675
0.084,-0.0681453786078151,-1.61303246280419
0.085,-0.0697678312169114,-1.63187476007849
0.086,-0.0714091197754445,-1.65070730665318
0.087,-0.0730692359379997,-1.66953005531435
0.088,-0.0747481698847145,-1.68834292928109
0.089,-0.0764459117315064,-1.70714585004314
0.09,-0.0781624515300727,-1.72593873736093
0.091,-0.0798977792678908,-1.74472150926555
0.092,-0.081651884868218,-1.76349408205874
0.093,-0.0834247581900915,-1.78225637031294
0.094,-0.0852163890283284,-1.80100828687122
0.095,-0.0870267659323332,-1.81974973915371
0.096,-0.0888558779161246,-1.83848063450486
0.097,-0.0907037153841332,-1.85720088308852
0.098,-0.0925702677138382,-1.87591039032868
0.099,-0.094455524208435,-1.89460905988854
0.1,-0.0963594740968355,-1.9132967936705
0.101,-0.0982821065336677,-1.93197349181613
0.102,-0.100223410599276,-1.95063905270624
0.103,-0.10218337529972,-1.96929337296081
0.104,-0.104161989566778,-1.98793634743902
0.105,-0.106159240140451,-2.00656785125387
0.106,-0.108175114196392,-2.02518776208878
0.107,-0.110209602218841,-2.04379598459959
0.108,-0.112262692550812,-2.06239240412523
0.109,-0.114334373443518,-2.0809769040951
0.11,-0.116424633056376,-2.09954936602904
0.111,-0.118533459457007,-2.11810966953732
0.112,-0.120660840621236,-2.13665769232067
0.113,-0.122806764433089,-2.15519331017028
0.114,-0.124971218684797,-2.17371639696777
0.115,-0.127154188845347,-2.19222680672514
0.116,-0.129355660232856,-2.21072439106942
0.117,-0.131575622638672,-2.22920903646019
0.118,-0.133814063155709,-2.24768060646768
0.119,-0.136070968765528,-2.26613896259518
0.12,-0.13834632633834,-2.28458396427902
0.121,-0.140640122633001,-2.30301546888859
0.122,-0.142952344297018,-2.32143333172633
0.123,-0.145282977866545,-2.33983740602774
0.124,-0.147632009766382,-2.35822754296138
0.125,-0.14999942410146,-2.37660357495121
0.126,-0.152385204060515,-2.39496532627652
0.127,-0.154789338465159,-2.41331266252715
0.128,-0.157211812925284,-2.43164542381356
0.129,-0.159652612917615,-2.44996344801456
0.13,-0.162111723785715,-2.46826657077731
0.131,-0.16458913073998,-2.48655462551726
0.132,-0.167084818857644,-2.50482744341826
0.133,-0.169598773082774,-2.52308485343244
0.134,-0.172130978226274,-2.5413266822803
0.135,-0.174681416909693,-2.55955274136962
0.136,-0.177250069991177,-2.57776282950528
0.137,-0.179836924990728,-2.595956786489
0.138,-0.182441965794405,-2.61413442761959
0.139,-0.185065176131889,-2.63229556581656
0.14,-0.187706539576484,-2.65044001162005
0.141,-0.190366039545117,-2.66856757319088
0.142,-0.193043659298341,-2.68667805631055
0.143,-0.195739381940327,-2.7047712643812
0.144,-0.198453190418875,-2.72284699842564
0.145,-0.201185066031429,-2.74090505058152
0.146,-0.203934987698924,-2.75894520093904
0.147,-0.206702940463808,-2.77696725454759
0.148,-0.209488906128928,-2.79497100065062
0.149,-0.212292866286484,-2.8129562258759
0.15,-0.215114802315597,-2.83092271422495
0.151,-0.217954695379888,-2.84887024706251
0.152,-0.220812526425048,-2.8667986031059
0.153,-0.223688276176414,-2.88470755841454
0.154,-0.226581925136546,-2.90259688637933
0.155,-0.229493453582796,-2.92046635771212
