"time","Th","Ts","h2","s2"
0,300.000000000054,300,52261.1444812671,350.791965477213
0.0002,300.040367399157,300.030902279189,52302.1292436261,350.896543030967
0.0004,300.080734747177,300.061807711618,52343.1140059843,351.001120584719
0.0006,300.121102044012,300.092716297559,52384.0987683427,351.105698138477
0.0008,300.161469289562,300.123628037281,52425.0835307005,351.210275692229
0.001,300.201836483726,300.154542931054,52466.0682930591,351.314853245986
0.0012,300.242203626402,300.18546097915,52507.0530554179,351.419430799738
0.0014,300.28257071749,300.216382181837,52548.0378177758,351.524008353492
0.0016,300.322937756892,300.247306539386,52589.0225801343,351.628585907246
0.0018,300.363304744506,300.278234052069,52630.0073424924,351.733163460999
0.002,300.403671680233,300.309164720155,52670.9921048508,351.837741014755
0.0022,300.444038563974,300.340098543916,52711.9768672094,351.94231856851
0.0024,300.484405395631,300.371035523622,52752.9616295679,352.046896122263
0.0026,300.524772175104,300.401975659544,52793.9463919261,352.151473676016
0.0028,300.565138902295,300.432918951953,52834.9311542842,352.256051229772
0.003,300.605505577106,300.46386540112,52875.9159166432,352.360628783525
0.0032,300.645872199441,300.494815007318,52916.9006790015,352.465206337283
0.0034,300.686238769198,300.525767770815,52957.8854413594,352.569783891033
0.0036,300.726605286284,300.556723691885,52998.8702037179,352.674361444788
0.0038,300.766971750602,300.587682770798,53039.8549660774,352.778938998542
0.004,300.807338162052,300.618645007827,53080.8397284353,352.883516552296
0.0042,300.84770452054,300.649610403243,53121.8244907941,352.988094106049
0.0044,300.888070825968,300.680578957318,53162.8092531521,353.092671659804
0.0046,300.928437078242,300.711550670323,53203.7940155105,353.197249213559
0.0048,300.968803277266,300.742525542531,53244.7787778689,353.301826767317
0.005,301.009169422944,300.773503574213,53285.7635402278,353.406404321068
0.0052,301.049535515181,300.804484765643,53326.7483025853,353.510981874823
0.0054,301.089901553883,300.83546911709,53367.7330649443,353.615559428576
0.0056,301.130267538954,300.866456628831,53408.7178273031,353.720136982335
0.0058,301.1706334703,300.897447301134,53449.702589661,353.824714536086
0.006,301.210999347826,300.928441134273,53490.6873520187,353.929292089841
0.0062,301.251365171441,300.959438128522,53531.6721143785,354.033869643593
0.0064,301.291730941049,300.990438284151,53572.6568767361,354.138447197349
0.0066,301.332096656557,301.021441601436,53613.6416390949,354.243024751104
0.0068,301.372462317872,301.052448080648,53654.6264014532,354.347602304859
0.007,301.412827924901,301.083457722059,53695.611163811,354.452179858612
0.0072,301.453193477552,301.114470525944,53736.5959261702,354.556757412366
0.0074,301.493558975731,301.145486492575,53777.5806885276,354.661334966119
0.0076,301.533924419348,301.176505622225,53818.5654508872,354.765912519869
0.0078,301.574289808309,301.207527915169,53859.5502132443,354.870490073627
0.008,301.614655142524,301.238553371678,53900.5349756044,354.975067627381
0.0082,301.655020421901,301.269581992029,53941.5197379621,355.079645181137
0.0084,301.695385646348,301.300613776491,53982.5045003208,355.184222734889
0.0086,301.735750815774,301.33164872534,54023.4892626794,355.288800288645
0.0088,301.776115930089,301.36268683885,54064.4740250378,355.393377842398
0.009,301.816480989202,301.393728117295,54105.4587873964,355.497955396151
0.0092,301.856845993023,301.424772560949,54146.4435497551,355.602532949908
