"time","traceSubstance.C","traceSubstance1.C"
0,0,0
0.0004,6.076e-07,6.076e-07
0.0008,1.2152e-06,1.2152e-06
0.0012,1.8228e-06,1.8228e-06
0.0016,2.4304e-06,2.4304e-06
0.002,3.038e-06,3.038e-06
0.0024,3.6456e-06,3.6456e-06
0.0028,4.2532e-06,4.2532e-06
0.0032,4.8608e-06,4.8608e-06
0.0036,5.4684e-06,5.4684e-06
0.004,6.076e-06,6.076e-06
0.0044,6.6836e-06,6.6836e-06
0.0048,7.2912e-06,7.2912e-06
0.0052,7.8988e-06,7.8988e-06
0.0056,8.5064e-06,8.5064e-06
0.006,9.114e-06,9.114e-06
0.0064,9.7216e-06,9.7216e-06
0.0068,1.03292e-05,1.03292e-05
0.0072,1.09368e-05,1.09368e-05
0.0076,1.15444e-05,1.15444e-05
0.008,1.2152e-05,1.2152e-05
0.0084,1.27596e-05,1.27596e-05
0.0088,1.33672e-05,1.33672e-05
0.0092,1.39748e-05,1.39748e-05
0.0096,1.45824e-05,1.45824e-05
0.01,1.519e-05,1.519e-05
0.0104,1.57976e-05,1.57976e-05
0.0108,1.64052e-05,1.64052e-05
0.0112,1.70128e-05,1.70128e-05
0.0116,1.76204e-05,1.76204e-05
0.012,1.8228e-05,1.8228e-05
0.0124,1.88356e-05,1.88356e-05
0.0128,1.94432e-05,1.94432e-05
0.0132,2.00508e-05,2.00508e-05
0.0136,2.06584e-05,2.06584e-05
0.014,2.1266e-05,2.1266e-05
0.0144,2.18736e-05,2.18736e-05
0.0148,2.24812e-05,2.24812e-05
0.0152,2.30888e-05,2.30888e-05
0.0156,2.36964e-05,2.36964e-05
0.016,2.4304e-05,2.4304e-05
0.0164,2.49116e-05,2.49116e-05
0.0168,2.55192e-05,2.55192e-05
0.0172,2.61268e-05,2.61268e-05
0.0176,2.67344e-05,2.67344e-05
0.018,2.7342e-05,2.7342e-05
0.0184,2.79496e-05,2.79496e-05
0.0188,2.85572e-05,2.85572e-05
0.0192,2.91648e-05,2.91648e-05
0.0196,2.97724e-05,2.97724e-05
0.02,3.038e-05,3.038e-05
0.0204,3.09876e-05,3.09876e-05
0.0208,3.15952e-05,3.15952e-05
0.0212,3.22028e-05,3.22028e-05
0.0216,3.28104e-05,3.28104e-05
0.022,3.3418e-05,3.3418e-05
0.0224,3.40256e-05,3.40256e-05
0.0228,3.46332e-05,3.46332e-05
0.0232,3.52408e-05,3.52408e-05
0.0236,3.58484e-05,3.58484e-05
0.024,3.6456e-05,3.6456e-05
0.0244,3.70636e-05,3.70636e-05
0.0248,3.76712e-05,3.76712e-05
0.0252,3.82788e-05,3.82788e-05
0.0256,3.88864e-05,3.88864e-05
0.026,3.9494e-05,3.9494e-05
0.0264,4.01016e-05,4.01016e-05
0.0268,4.07092e-05,4.07092e-05
0.0272,4.13168e-05,4.13168e-05
0.0276,4.19244e-05,4.19244e-05
0.028,4.2532e-05,4.2532e-05
0.0284,4.31396e-05,4.31396e-05
0.0288,4.37472e-05,4.37472e-05
0.0292,4.43548e-05,4.43548e-05
0.0296,4.49624e-05,4.49624e-05
0.03,4.557e-05,4.557e-05
0.0304,4.61776e-05,4.61776e-05
0.0308,4.67852e-05,4.67852e-05
0.0312,4.73928e-05,4.73928e-05
0.0316,4.80004e-05,4.80004e-05
0.032,4.8608e-05,4.8608e-05
0.0324,4.92156e-05,4.92156e-05
0.0328,4.98232e-05,4.98232e-05
0.0332,5.04308e-05,5.04308e-05
0.0336,5.10384e-05,5.10384e-05
0.034,5.1646e-05,5.1646e-05
0.0344,5.22536e-05,5.22536e-05
0.0348,5.28612e-05,5.28612e-05
0.0352,5.34688e-05,5.34688e-05
0.0356,5.40764e-05,5.40764e-05
0.036,5.4684e-05,5.4684e-05
0.0364,5.52916e-05,5.52916e-05
0.0368,5.58992e-05,5.58992e-05
0.0372,5.65068e-05,5.65068e-05
0.0376,5.71144e-05,5.71144e-05
0.038,5.7722e-05,5.7722e-05
0.0384,5.83296e-05,5.83296e-05
0.0388,5.89372e-05,5.89372e-05
0.0392,5.95448e-05,5.95448e-05
0.0396,6.01524e-05,6.01524e-05
0.04,6.076e-05,6.076e-05
0.0404,6.13676e-05,6.13676e-05
0.0408,6.19752e-05,6.19752e-05
0.0412,6.25828e-05,6.25828e-05
0.0416,6.31904e-05,6.31904e-05
0.042,6.3798e-05,6.3798e-05
0.0424,6.44056e-05,6.44056e-05
0.0428,6.50132e-05,6.50132e-05
0.0432,6.56208e-05,6.56208e-05
0.0436,6.62284e-05,6.62284e-05
0.044,6.6836e-05,6.6836e-05
0.0444,6.74436e-05,6.74436e-05
0.0448,6.80512e-05,6.80512e-05
0.0452,6.86588e-05,6.86588e-05
0.0456,6.92664e-05,6.92664e-05
0.046,6.9874e-05,6.9874e-05
0.0464,7.04816e-05,7.04816e-05
0.0468,7.10892e-05,7.10892e-05
0.0472,7.16968e-05,7.16968e-05
0.0476,7.23044e-05,7.23044e-05
0.048,7.2912e-05,7.2912e-05
0.0484,7.35196e-05,7.35196e-05
0.0488,7.41272e-05,7.41272e-05
0.0492,7.47348e-05,7.47348e-05
0.0496,7.53424e-05,7.53424e-05
0.05,7.595e-05,7.595e-05
0.0504,7.65576e-05,7.65576e-05
0.0508,7.71652e-05,7.71652e-05
0.0512,7.77728e-05,7.77728e-05
0.0516,7.83804e-05,7.83804e-05
0.052,7.8988e-05,7.8988e-05
0.0524,7.95956e-05,7.95956e-05
0.0528,8.02032e-05,8.02032e-05
0.0532,8.08108e-05,8.08108e-05
0.0536,8.14184e-05,8.14184e-05
0.054,8.2026e-05,8.2026e-05
0.0544,8.26336e-05,8.26336e-05
0.0548,8.32412e-05,8.32412e-05
0.0552,8.38488e-05,8.38488e-05
0.0556,8.44564e-05,8.44564e-05
0.056,8.5064e-05,8.5064e-05
0.0564,8.56716e-05,8.56716e-05
0.0568,8.62792e-05,8.62792e-05
0.0572,8.68868e-05,8.68868e-05
0.0576,8.74944e-05,8.74944e-05
0.058,8.8102e-05,8.8102e-05
0.0584,8.87096e-05,8.87096e-05
0.0588,8.93172e-05,8.93172e-05
0.0592,8.99248e-05,8.99248e-05
0.0596,9.05324e-05,9.05324e-05
0.06,9.114e-05,9.114e-05
0.0604,9.17476e-05,9.17476e-05
0.0608,9.23552e-05,9.23552e-05
0.0612,9.29628e-05,9.29628e-05
0.0616,9.35704e-05,9.35704e-05
0.062,9.4178e-05,9.4178e-05
0.0624,9.47856e-05,9.47856e-05
0.0628,9.53932e-05,9.53932e-05
0.0632,9.60008e-05,9.60008e-05
0.0636,9.66084e-05,9.66084e-05
0.064,9.7216e-05,9.7216e-05
0.0644,9.78236e-05,9.78236e-05
0.0648,9.84312e-05,9.84312e-05
0.0652,9.90388e-05,9.90388e-05
0.0656,9.96464e-05,9.96464e-05
0.066,0.000100254,0.000100254
