"time","pump.medium.T","N_pump.y","Source.ports[1].m_flow","Source.ports[1].p","Source.ports[1].h_outflow","Sink.ports[1].m_flow","Sink.ports[1].p","Sink.ports[1].h_outflow","pump.port_b.m_flow","pump.port_b.p","pump.port_b.h_outflow","V1.port_b.m_flow","V1.port_b.p","V1.port_b.h_outflow","V1.minLimiter.y","V2.port_b.m_flow","V2.port_b.p","V2.port_b.h_outflow","V2.minLimiter.y","V1_Opening.y","V2_Opening.y"
0,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.002,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.004,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.006,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.008,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.01,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.012,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.014,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.016,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.018,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.02,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.022,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.024,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.026,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.028,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.03,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.032,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.034,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.036,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.038,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.04,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.042,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.044,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.046,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.048,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.05,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.052,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.054,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.056,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.058,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.06,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.062,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.064,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.066,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.068,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.07,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.072,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.074,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.076,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.078,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.08,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.082,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.084,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.086,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.088,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.09,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.092,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.094,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.096,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.098,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.1,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.102,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.104,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.106,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.108,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.11,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.112,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.114,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.116,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.118,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.12,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.122,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.124,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.126,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.128,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.13,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.132,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.134,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.136,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.138,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.14,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.142,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.144,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.146,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.148,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.15,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.152,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.154,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.156,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.158,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.16,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.162,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.164,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.166,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.168,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.17,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.172,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.174,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.176,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.178,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.18,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.182,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.184,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.186,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.188,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.19,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.192,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.194,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.196,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.198,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.2,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.202,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.204,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.206,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.208,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.21,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.212,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.214,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.216,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.218,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.22,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.222,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.224,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.226,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.228,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.23,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.232,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.234,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.236,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.238,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.24,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.242,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.244,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.246,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.248,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.25,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.252,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.254,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.256,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.258,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.26,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
0.262,293.15,0,0,100000,83680,0,100000,83680,-6.06345263342334e-10,100000.000000434,83680,-6.06345263342334e-10,100000,83680,1,-0,100000,83680,0.001,1,0
