"time","massFlowRate.y","sink.ports[1].m_flow","sink.ports[1].p","sink.ports[1].h_outflow","pump.port_b.m_flow","pump.port_b.p","pump.port_b.h_outflow","valve.port_b.m_flow","valve.port_b.p","valve.port_b.h_outflow","valve.minLimiter.y","valveOpening.y","pressure1.y","sink1.ports[1].m_flow","sink1.ports[1].p","sink1.ports[1].h_outflow","pump1.port_b.m_flow","pump1.port_b.p","pump1.port_b.h_outflow","valve1.port_b.m_flow","valve1.port_b.p","valve1.port_b.h_outflow","valve1.minLimiter.y","valveOpening1.y","sinkPressure.y"
0,1,1,800000,84670.3812595073,-1,999921.449225334,85138.2919715387,-1,800000,85138.2919715387,1,1,1000000,1.0001964521597,800000,84670.3812595073,-1.0001964521597,1000000,85138.3902587282,-1.0001964521597,800000,85138.3902587282,1,1,800000
0.0014,1.00062831836535,1.00062831836535,800000,84670.3812595073,-1.00062831836535,1000172.73456093,85138.6063939951,-1.00062831836535,800000,85138.6063939951,1,1,1000628.31836535,1.00176646371584,800000,84670.3812595073,-1.00176646371584,1000628.31836535,85139.1764460988,-1.00176646371584,800000,85139.1764460988,1,1,800000
0.0028,1.0012566357385,1.0012566357385,800000,84670.3812595073,-1.0012566357385,1000424.1772811,85138.9210133102,-1.0012566357385,800000,85138.9210133102,1,1,1001256.6357385,1.00333401692551,800000,84670.3812595073,-1.00333401692551,1001256.6357385,85139.9626317919,-1.00333401692551,800000,85139.9626317919,1,1,800000
0.0042,1.00188495112725,1.00188495112725,800000,84670.3812595073,-1.00188495112725,1000675.77698757,85139.2358289855,-1.00188495112725,800000,85139.2358289855,1,1,1001884.95112725,1.00489912082351,800000,84670.3812595073,-1.00489912082351,1001884.95112725,85140.748814566,-1.00489912082351,800000,85140.748814566,1,1,800000
0.0056,1.00251326353941,1.00251326353941,800000,84670.3812595073,-1.00251326353941,1000927.53328104,85139.5508405212,-1.00251326353941,800000,85139.5508405212,1,1,1002513.26353941,1.00646178437052,800000,84670.3812595073,-1.00646178437052,1002513.26353941,85141.5349931797,-1.00646178437052,800000,85141.5349931797,1,1,800000
0.007,1.00314157198278,1.00314157198278,800000,84670.3812595073,-1.00314157198278,1001179.44576125,85139.8660474165,-1.00314157198278,800000,85139.8660474165,1,1,1003141.57198278,1.00802201645391,800000,84670.3812595073,-1.00802201645391,1003141.57198278,85142.3211663913,-1.00802201645391,800000,85142.3211663913,1,1,800000
0.0084,1.00376987546518,1.00376987546518,800000,84670.3812595073,-1.00376987546518,1001431.51402691,85140.1814491691,-1.00376987546518,800000,85140.1814491691,1,1,1003769.87546518,1.00957982588847,800000,84670.3812595073,-1.00957982588847,1003769.87546518,85143.1073329596,-1.00957982588847,800000,85143.1073329596,1,1,800000
0.0098,1.00439817299443,1.00439817299443,800000,84670.3812595073,-1.00439817299443,1001683.73767577,85140.4970452755,-1.00439817299443,800000,85140.4970452755,1,1,1004398.17299443,1.01113522141728,800000,84670.3812595073,-1.01113522141728,1004398.17299443,85143.893491643,-1.01113522141728,800000,85143.893491643,1,1,800000
0.0112,1.00502646357837,1.00502646357837,800000,84670.3812595073,-1.00502646357837,1001936.11630455,85140.8128352309,-1.00502646357837,800000,85140.8128352309,1,1,1005026.46357837,1.01268821171236,800000,84670.3812595073,-1.01268821171236,1005026.46357837,85144.6796412002,-1.01268821171236,800000,85144.6796412002,1,1,800000
0.0126,1.00565474622483,1.00565474622483,800000,84670.3812595073,-1.00565474622483,1002188.64950902,85141.1288185295,-1.00565474622483,800000,85141.1288185295,1,1,1005654.74622483,1.01423880537554,800000,84670.3812595073,-1.01423880537554,1005654.74622483,85145.4657803896,-1.01423880537554,800000,85145.4657803896,1,1,800000
