"time","J2.D.v","RC.v","J1.D.v"
0,1.999999989975,-0.080000003972,9.919999996028
0.0001,1.98758870433375,-0.0809959876281039,9.9190040123719
0.0002,1.97547676509182,-0.0819738897428724,9.91802611025713
0.0003,1.96364897005846,-0.0829345135117055,9.91706548648829
0.0004,1.95209136702878,-0.0838785985484094,9.91612140145159
0.0005,1.94079111500009,-0.0848068278093284,9.91519317219067
0.0006,1.92973636455575,-0.0857198335725687,9.91428016642743
0.0007,1.91891615428011,-0.0866182026256787,9.91338179737432
0.0008,1.90832032065707,-0.0875024807865215,9.91249751921348
0.0009,1.89793941936977,-0.0883731768594409,9.91162682314056
0.001,1.88776465628829,-0.0892307661108064,9.91076923388919
0.0011,1.87778782672889,-0.0900756933335717,9.90992430666643
0.0012,1.86800126180628,-0.0909083755588292,9.90909162444117
0.0013,1.85839778089435,-0.091729204462873,9.90827079553713
0.0014,1.84897064936841,-0.0925385485105554,9.90746145148944
0.0015,1.83971354093134,-0.0933367548693732,9.90666324513063
0.0016,1.83062050393294,-0.0941241511234737,9.90587584887653
0.0017,1.82168593118006,-0.0949010468124174,9.90509895318758
0.0018,1.81290453280877,-0.0956677348159013,9.9043322651841
0.0019,1.80427131185156,-0.0964244926025913,9.90357550739741
0.002,1.7957815421843,-0.0971715833586398,9.90282841664136
0.0021,1.78743074858161,-0.097909257009279,9.90209074299072
0.0022,1.77921468864659,-0.0986377511450058,9.90136224885499
0.0023,1.77112933641254,-0.0993572918622727,9.90064270813773
0.0024,1.76317086744178,-0.100068094527196,9.8999319054728
0.0025,1.75533564527031,-0.100770364469573,9.89922963553043
0.0026,1.74762020906766,-0.101464297613423,9.89853570238658
0.0027,1.74002126239941,-0.102150081049275,9.89784991895072
0.0028,1.73253566299593,-0.102827893552575,9.89717210644742
0.0029,1.72516041344526,-0.103497906051731,9.89650209394827
0.003,1.71789265274124,-0.104160282048584,9.89583971795142
0.0031,1.71072964862987,-0.104815177993321,9.89518482200668
0.0032,1.70366879070836,-0.105462743615151,9.89453725638485
0.0033,1.69670758424177,-0.106103122209347,9.89389687779065
0.0034,1.68984364467251,-0.106736450880505,9.8932635491195
0.0035,1.68307469280832,-0.10736286074116,9.89263713925884
0.0036,1.67639855068387,-0.107982477064087,9.89201752293591
0.0037,1.66981313810188,-0.108595419385814,9.89140458061419
0.0038,1.66331646986942,-0.10920180155799,9.89079819844201
0.0039,1.65690665375605,-0.109801731742332,9.89019826825767
0.004,1.65058188921109,-0.1103953123439,9.8896046876561
0.0041,1.6443404668886,-0.110982639876379,9.88901736012362
0.0042,1.63818076904014,-0.111563804752011,9.88843619524799
0.0043,1.63210127084667,-0.112138890987664,9.88786110901234
0.0044,1.62610054277234,-0.112707975817433,9.88729202418257
0.0045,1.62017725403337,-0.113271129201094,9.88672887079891
0.0046,1.61433017728445,-0.113828413216781,9.88617158678322
0.0047,1.60855819463178,-0.114379881325504,9.8856201186745
0.0048,1.60286030508523,-0.114925577494751,9.88507442250525
0.0049,1.59723563355954,-0.115465535168534,9.88453446483147
0.005,1.59168344152441,-0.115999776072155,9.88400022392785
0.0051,1.586203139382,-0.116528308841975,9.88347169115803
0.0052,1.58079430061477,-0.117051127473939,9.88294887252606
0.0053,1.57545667769066,-0.117568209590069,9.88243179040993
0.0054,1.57019021963291,-0.11807951453012,9.88192048546988
0.0055,1.56499509105028,-0.118584981286751,9.88141501871325
0.0056,1.55987169227552,-0.119084526317533,9.88091547368247
0.0057,1.55482068006939,-0.119578041286495,9.88042195871351
0.0058,1.54984298811184,-0.120065390812069,9.87993460918793
0.0059,1.54493984622101,-0.120546410327248,9.87945358967275
0.006,1.54011279692348,-0.121020904190784,9.87897909580922
0.0061,1.53536370766158,-0.121488644223638,9.87851135577636
0.0062,1.53069477659821,-0.121949368879608,9.87805063112039
0.0063,1.52610852971179,-0.122402783288334,9.87759721671167
0.0064,1.52160780672836,-0.122848560426257,9.87715143957374
0.0065,1.51719573349087,-0.123286343668604,9.8767136563314
0.0066,1.5128756786998,-0.123715750944573,9.87628424905543
0.0067,1.5086511936442,-0.124136380650955,9.87586361934905
0.0068,1.50452593461581,-0.124547819372283,9.87545218062772
0.0069,1.50050356913799,-0.124949651309859,9.87505034869014
0.007,1.49658766884213,-0.125341469147729,9.87465853085227
0.0071,1.49278159359467,-0.125722885900064,9.87427711409994
0.0072,1.48908837305095,-0.126093547118521,9.87390645288148
0.0073,1.485510592892,-0.126453142720586,9.87354685727941
0.0074,1.48205029332785,-0.126801417657886,9.87319858234211
0.0075,1.47870888687541,-0.127138180693566,9.87286181930643
0.0076,1.4754871009546,-0.127463310699947,9.87253668930005
0.0077,1.47238494868417,-0.127776760103656,9.87222323989634
0.0078,1.46940172872804,-0.128078555362061,9.87192144463794
0.0079,1.46653605253986,-0.128368794612259,9.87163120538774
0.008,1.46378589523963,-0.12864764285425,9.87135235714575
0.0081,1.46114866488924,-0.128915325186307,9.87108467481369
0.0082,1.458621284221,-0.129172118690622,9.87082788130938
0.0083,1.45620027887859,-0.12941834357378,9.87058165642622
0.0084,1.45388186680956,-0.129654354113362,9.87034564588664
0.0085,1.4516620444027,-0.129880529868805,9.8701194701312
0.0086,1.44953666609168,-0.130097267502176,9.86990273249782
0.0087,1.44750151527544,-0.130304973440301,9.8696950265597
0.0088,1.44555236541822,-0.130504057506208,9.86949594249379
0.0089,1.44368503101887,-0.130694927562462,9.86930507243754
0.009,1.44189540875822,-0.130877985144294,9.86912201485571
0.0091,1.44017950955332,-0.131053622015792,9.86894637798421
0.0092,1.43853348249619,-0.131222217555373,9.86877778244463
