"time","h1","s1"
0,302499.198510246,6898.28624273953
0.0002,302540.05775309,6898.39049645028
0.0004,302580.916995934,6898.49475016102
0.0006,302621.776238778,6898.59900387177
0.0008,302662.635481622,6898.70325758252
0.001,302703.494724465,6898.80751129326
0.0012,302744.353967309,6898.91176500401
0.0014,302785.213210153,6899.01601871476
0.0016,302826.072452997,6899.12027242551
0.0018,302866.93169584,6899.22452613625
0.002,302907.790938684,6899.328779847
0.0022,302948.650181528,6899.43303355775
0.0024,302989.509424372,6899.5372872685
0.0026,303030.368667216,6899.64154097924
0.0028,303071.227910059,6899.74579468999
0.003,303112.087152903,6899.85004840074
0.0032,303152.946395747,6899.95430211149
0.0034,303193.805638591,6900.05855582223
0.0036,303234.664881435,6900.16280953298
0.0038,303275.524124278,6900.26706324373
0.004,303316.383367122,6900.37131695448
0.0042,303357.242609966,6900.47557066522
0.0044,303398.10185281,6900.57982437597
0.0046,303438.961095654,6900.68407808672
0.0048,303479.820338497,6900.78833179747
0.005,303520.679581341,6900.89258550821
0.0052,303561.538824185,6900.99683921896
0.0054,303602.398067029,6901.10109292971
0.0056,303643.257309873,6901.20534664045
0.0058,303684.116552716,6901.3096003512
0.006,303724.97579556,6901.41385406195
0.0062,303765.835038404,6901.5181077727
0.0064,303806.694281248,6901.62236148344
0.0066,303847.553524092,6901.72661519419
0.0068,303888.412766935,6901.83086890494
0.007,303929.272009779,6901.93512261569
0.0072,303970.131252623,6902.03937632643
0.0074,304010.990495467,6902.14363003718
0.0076,304051.849738311,6902.24788374793
0.0078,304092.708981154,6902.35213745868
0.008,304133.568223998,6902.45639116942
0.0082,304174.427466842,6902.56064488017
0.0084,304215.286709686,6902.66489859092
0.0086,304256.14595253,6902.76915230167
0.0088,304297.005195373,6902.87340601241
0.009,304337.864438217,6902.97765972316
0.0092,304378.723681061,6903.08191343391
0.0094,304419.582923905,6903.18616714466
0.0096,304460.442166749,6903.2904208554
0.0098,304501.301409592,6903.39467456615
0.01,304542.160652436,6903.4989282769
0.0102,304583.01989528,6903.60318198765
0.0104,304623.879138124,6903.70743569839
0.0106,304664.738380968,6903.81168940914
0.0108,304705.597623811,6903.91594311989
0.011,304746.456866655,6904.02019683063
0.0112,304787.316109499,6904.12445054138
0.0114,304828.175352343,6904.22870425213
0.0116,304869.034595187,6904.33295796288
0.0118,304909.89383803,6904.43721167362
0.012,304950.753080874,6904.54146538437
0.0122,304991.612323718,6904.64571909512
0.0124,305032.471566562,6904.74997280587
0.0126,305073.330809405,6904.85422651661
0.0128,305114.190052249,6904.95848022736
0.013,305155.049295093,6905.06273393811
0.0132,305195.908537937,6905.16698764886
0.0134,305236.767780781,6905.2712413596
0.0136,305277.627023624,6905.37549507035
0.0138,305318.486266468,6905.4797487811
0.014,305359.345509312,6905.58400249185
0.0142,305400.204752156,6905.68825620259
0.0144,305441.063995,6905.79250991334
0.0146,305481.923237843,6905.89676362409
0.0148,305522.782480687,6906.00101733484
0.015,305563.641723531,6906.10527104558
0.0152,305604.500966375,6906.20952475633
0.0154,305645.360209219,6906.31377846708
0.0156,305686.219452062,6906.41803217783
0.0158,305727.078694906,6906.52228588857
0.016,305767.93793775,6906.62653959932
0.0162,305808.797180594,6906.73079331007
0.0164,305849.656423438,6906.83504702082
0.0166,305890.515666281,6906.93930073156
0.0168,305931.374909125,6907.04355444231
0.017,305972.234151969,6907.14780815306
0.0172,306013.093394813,6907.2520618638
0.0174,306053.952637657,6907.35631557455
0.0176,306094.8118805,6907.4605692853
0.0178,306135.671123344,6907.56482299605
0.018,306176.530366188,6907.66907670679
0.0182,306217.389609032,6907.77333041754
0.0184,306258.248851876,6907.87758412829
0.0186,306299.108094719,6907.98183783904
0.0188,306339.967337563,6908.08609154978
0.019,306380.826580407,6908.19034526053
0.0192,306421.685823251,6908.29459897128
0.0194,306462.545066095,6908.39885268203
0.0196,306503.404308938,6908.50310639277
0.0198,306544.263551782,6908.60736010352
0.02,306585.122794626,6908.71161381427
0.0202,306625.98203747,6908.81586752502
0.0204,306666.841280314,6908.92012123576
0.0206,306707.700523157,6909.02437494651
0.0208,306748.559766001,6909.12862865726
0.021,306789.419008845,6909.23288236801
0.0212,306830.278251689,6909.33713607875
0.0214,306871.137494533,6909.4413897895
0.0216,306911.996737376,6909.54564350025
0.0218,306952.85598022,6909.64989721099
0.022,306993.715223064,6909.75415092174
0.0222,307034.574465908,6909.85840463249
0.0224,307075.433708752,6909.96265834324
0.0226,307116.292951595,6910.06691205398
0.0228,307157.152194439,6910.17116576473
0.023,307198.011437283,6910.27541947548
0.0232,307238.870680127,6910.37967318623
0.0234,307279.72992297,6910.48392689697
0.0236,307320.589165814,6910.58818060772
0.0238,307361.448408658,6910.69243431847
0.024,307402.307651502,6910.79668802922
0.0242,307443.166894346,6910.90094173996
0.0244,307484.026137189,6911.00519545071
0.0246,307524.885380033,6911.10944916146
0.0248,307565.744622877,6911.21370287221
0.025,307606.603865721,6911.31795658295
0.0252,307647.463108565,6911.4222102937
0.0254,307688.322351408,6911.52646400445
0.0256,307729.181594252,6911.6307177152
0.0258,307770.040837096,6911.73497142594
0.026,307810.90007994,6911.83922513669
0.0262,307851.759322784,6911.94347884744
0.0264,307892.618565627,6912.04773255819
0.0266,307933.477808471,6912.15198626893
0.0268,307974.337051315,6912.25623997968
0.027,308015.196294159,6912.36049369043
0.0272,308056.055537003,6912.46474740118
0.0274,308096.914779846,6912.56900111192
0.0276,308137.77402269,6912.67325482267
0.0278,308178.633265534,6912.77750853342
0.028,308219.492508378,6912.88176224416
