"time","PT1.y","pumps.medium.T","pumps.medium.p","reservoir.level","reservoir.medium.T","PumpRPMGenerator.y","controller.y"
0,0,293.15,600000,2.2,293.15,0.001,0
5.2008333661205e-05,2.60038286703335e-08,293.150180071199,612371.441176408,2.19999999437389,293.149999999999,0.001,0
5.2008333661205e-05,2.60038286703335e-08,293.150180071199,612371.441176408,2.19999999437389,293.149999999999,0.001,0
0.2,9.5193295869038e-05,293.150180071199,612371.441174718,2.19999999420133,293.149999999999,0.001,0
0.4,0.000181366924368008,293.150180071199,612371.441173028,2.19999999402874,293.149999999999,0.001,0
0.6,0.000259325600383864,293.150180071199,612371.441171339,2.19999999385614,293.149999999999,0.001,0
0.8,0.000329812676063756,293.150180071199,612371.441169649,2.19999999368354,293.149999999999,0.001,0
1,0.000393573981689314,293.150180071199,612371.441167958,2.19999999351095,293.149999999999,0.001,0
1.2,0.000451268290483047,293.150180071199,612371.441166269,2.19999999333835,293.149999999999,0.001,0
1.4,0.000503477051138867,293.150180071199,612371.441164579,2.19999999316575,293.149999999999,0.001,0
1.6,0.000550723058799157,293.150180071199,612371.441162889,2.19999999299316,293.149999999999,0.001,0
1.8,0.000593483288063439,293.150180071198,612371.441161199,2.19999999282056,293.149999999999,0.001,0
2,0.000632189700455878,293.150180071198,612371.441159509,2.19999999264796,293.149999999999,0.001,0
2.2,0.000667213695698331,293.150180071198,612371.441157819,2.19999999247536,293.149999999999,0.001,0
2.4,0.000698895409186102,293.150180071198,612371.441156129,2.19999999230277,293.149999999999,0.001,0
2.6,0.000727563443150846,293.150180071198,612371.441154439,2.19999999213017,293.149999999999,0.001,0
2.8,0.000753497199240973,293.150180071198,612371.441152749,2.19999999195757,293.149999999999,0.001,0
3,0.000776961452724343,293.150180071198,612371.441151059,2.19999999178498,293.149999999999,0.001,0
3.2,0.000798190927807379,293.150180071198,612371.441149369,2.19999999161238,293.149999999999,0.001,0
3.4,0.000817399139175969,293.150180071198,612371.441147679,2.19999999143978,293.149999999999,0.001,0
3.6,0.000834780650272267,293.150180071198,612371.441145989,2.19999999126718,293.149999999999,0.001,0
3.8,0.000850506529140014,293.150180071198,612371.441144299,2.19999999109459,293.149999999999,0.001,0
4,0.000864738023788528,293.150180071198,612371.441142609,2.19999999092199,293.149999999999,0.001,0
4.2,0.00087761276906894,293.150180071198,612371.441140919,2.19999999074939,293.149999999999,0.001,0
4.4,0.000889261802832135,293.150180071198,612371.44113923,2.1999999905768,293.149999999999,0.001,0
4.6,0.000899799928383587,293.150180071198,612371.44113754,2.1999999904042,293.149999999999,0.001,0
4.8,0.000909332525177756,293.150180071198,612371.441135851,2.1999999902316,293.149999999999,0.001,0
5,0.000917954558129723,293.150180071198,612371.441134161,2.19999999005901,293.149999999999,0.001,0
5.2,0.000925752004301285,293.150180071198,612371.44113247,2.19999998988641,293.149999999999,0.001,0
5.4,0.000932806193993359,293.150180071198,612371.44113078,2.19999998971381,293.149999999999,0.001,0
5.6,0.000939192700249281,293.150180071198,612371.441129089,2.19999998954121,293.149999999999,0.001,0
5.8,0.000944967319356035,293.150180071198,612371.441127397,2.19999998936862,293.149999999999,0.001,0
6,0.000950190945738217,293.150180071198,612371.441125707,2.19999998919602,293.149999999999,0.001,0
6.2,0.000954920548939144,293.150180071198,612371.441124017,2.19999998902342,293.149999999999,0.001,0
6.4,0.000959206249545983,293.150180071198,612371.441122328,2.19999998885083,293.149999999999,0.001,0
6.6,0.000963080731977113,293.150180071198,612371.441120639,2.19999998867823,293.149999999999,0.001,0
6.8,0.000966588743556923,293.150180071198,612371.441118951,2.19999998850563,293.149999999999,0.001,0
7,0.000969766651843918,293.150180071198,612371.441117262,2.19999998833304,293.149999999999,0.001,0
7.2,0.000972644740853038,293.150180071198,612371.441115573,2.19999998816044,293.149999999999,0.001,0
7.4,0.000975247798383072,293.150180071198,612371.441113883,2.19999998798784,293.149999999999,0.001,0
7.6,0.000977603897430128,293.150180071198,612371.441112193,2.19999998781524,293.149999999999,0.001,0
7.8,0.00097973690074684,293.150180071198,612371.4411105,2.19999998764265,293.149999999999,0.001,0
8,0.000981665745534556,293.150180071198,612371.441108808,2.19999998747005,293.149999999999,0.001,0
8.2,0.000983409758588114,293.150180071198,612371.441107116,2.19999998729745,293.149999999999,0.001,0
8.4,0.000984987610158254,293.150180071197,612371.441105426,2.19999998712486,293.149999999999,0.001,0
8.6,0.000986416199951801,293.150180071197,612371.441103738,2.19999998695226,293.149999999999,0.001,0
8.8,0.000987705854684987,293.150180071197,612371.441102049,2.19999998677966,293.149999999999,0.001,0
9,0.000988872503206123,293.150180071197,612371.44110036,2.19999998660707,293.149999999999,0.001,0
9.2,0.000989929431733163,293.150180071197,612371.441098672,2.19999998643447,293.149999999999,0.001,0
9.4,0.00099088706873347,293.150180071197,612371.441096984,2.19999998626187,293.149999999999,0.001,0
9.6,0.000991751991992309,293.150180071197,612371.441095295,2.19999998608927,293.149999999999,0.001,0
9.8,0.000992535478951822,293.150180071197,612371.441093605,2.19999998591668,293.149999999999,0.001,0
10,0.000993246225156061,293.150180071197,612371.441091912,2.19999998574408,293.149999999999,0.001,0
10.2,0.00099388976132527,293.150180071197,612371.441090218,2.19999998557148,293.149999999999,0.001,0
10.4,0.000994472044889401,293.150180071197,612371.441088526,2.19999998539889,293.149999999999,0.001,0
10.6,0.000994999267093048,293.150180071197,612371.441086835,2.19999998522629,293.149999999999,0.001,0
10.8,0.000995476468870797,293.150180071197,612371.441085146,2.19999998505369,293.149999999999,0.001,0
11,0.000995908165759203,293.150180071197,612371.441083455,2.1999999848811,293.149999999999,0.001,0
11.2,0.00099629850235618,293.150180071197,612371.441081762,2.1999999847085,293.149999999999,0.001,0
11.4,0.000996651286319265,293.150180071197,612371.441080068,2.1999999845359,293.149999999999,0.001,0
11.6,0.000996969798376002,293.150180071197,612371.441078371,2.1999999843633,293.149999999999,0.001,0
11.8,0.000997256558148903,293.150180071197,612371.441076675,2.19999998419071,293.149999999999,0.001,0
12,0.00099751464644633,293.150180071197,612371.44107498,2.19999998401811,293.149999999999,0.001,0
12.2,0.000997746723719176,293.150180071197,612371.441073287,2.19999998384551,293.149999999999,0.001,0
12.4,0.000997955374884252,293.150180071197,612371.441071596,2.19999998367292,293.149999999999,0.001,0
12.6,0.000998143175660544,293.150180071197,612371.44106991,2.19999998350032,293.149999999999,0.001,0
12.8,0.000998312758905491,293.150180071197,612371.441068231,2.19999998332772,293.149999999999,0.001,0
13,0.000998466880951242,293.150180071197,612371.441066561,2.19999998315513,293.149999999999,0.001,0
13.2,0.000998601327115717,293.150180071197,612371.441064881,2.19999998298253,293.149999999999,0.001,0
13.4,0.000998721301190086,293.150180071197,612371.441063201,2.19999998280993,293.149999999999,0.001,0
13.6,0.000998828539429336,293.150180071197,612371.44106152,2.19999998263733,293.149999999999,0.001,0
13.8,0.000998924788385389,293.150180071197,612371.441059836,2.19999998246474,293.149999999999,0.001,0
14,0.000999011875991936,293.150180071197,612371.441058147,2.19999998229214,293.149999999999,0.001,0
14.2,0.000999091749824575,293.150180071197,612371.44105645,2.19999998211954,293.149999999999,0.001,0
14.4,0.000999166515360941,293.150180071197,612371.441054742,2.19999998194695,293.149999999999,0.001,0
14.6,0.000999234635234549,293.150180071197,612371.44105304,2.19999998177435,293.149999999999,0.001,0
14.8,0.000999296019092879,293.150180071197,612371.441051348,2.19999998160175,293.149999999999,0.001,0
15,0.000999353037068556,293.150180071197,612371.441049657,2.19999998142915,293.149999999999,0.001,0
15.2,0.000999406355303094,293.150180071197,612371.441047966,2.19999998125656,293.149999999999,0.001,0
15.4,0.000999456520113291,293.150180071197,612371.441046276,2.19999998108396,293.149999999999,0.001,0
15.6,0.000999503957991232,293.150180071197,612371.441044588,2.19999998091136,293.149999999999,0.001,0
15.8,0.00099954897560429,293.150180071197,612371.441042901,2.19999998073877,293.149999999999,0.001,0
16,0.000999591178781295,293.150180071197,612371.441041212,2.19999998056617,293.149999999999,0.001,0
16.2,0.000999630904581553,293.150180071196,612371.441039522,2.19999998039357,293.149999999999,0.001,0
16.4,0.000999668039065142,293.150180071196,612371.441037832,2.19999998022098,293.149999999999,0.001,0
16.6,0.000999702337932411,293.150180071196,612371.441036142,2.19999998004838,293.149999999999,0.001,0
16.8,0.00099973343154287,293.150180071196,612371.441034452,2.19999997987578,293.149999999999,0.001,0
17,0.000999760824915185,293.150180071196,612371.441032762,2.19999997970318,293.149999999999,0.001,0
