"time","mass1.s","mass1.v","mass2.s","mass2.v","mass3.s","mass3.v","mass4.s","mass4.v"
0,0,100,0,100,0,100,0,100
0.00040000000000000002,0.039992001367696872,99.960007998632292,0.039992002734588264,99.960015991797064,0.039991999999882837,99.960000000000008,0.039991999999882837,99.960000000000008
0.00080000000000000004,0.079968010940472498,99.92003198905951,0.079968021866324734,99.920063934415879,0.079967999999871003,99.920000000000002,0.079967999999871003,99.920000000000002
0.0012000000000000001,0.11992803582783182,99.880071964172146,0.11992807158551211,99.880143785314687,0.11992799999986407,99.88000000000001,0.11992799999986407,99.88000000000001
0.0016000000000000001,0.15987208749489232,99.840127912505082,0.15987217475434581,99.840255475975908,0.15987199999985807,99.840000000000003,0.15987199999985807,99.840000000000003
0.002,0.19980016320351432,99.800199836796466,0.19980032591255684,99.800399022764111,0.19979999999985429,99.800000000000011,0.19979999999985429,99.800000000000011
0.0024000000000000002,0.23971227448109914,99.760287725518879,0.23971254801362479,99.760574356959694,0.23971199999985171,99.760000000000005,0.23971199999985171,99.760000000000005
0.0028,0.27960842702866612,99.720391572971323,0.27960885240947758,99.720781444576502,0.27960799999984981,99.720000000000013,0.27960799999984981,99.720000000000013
0.0032000000000000002,0.31948861537373385,99.680511384626243,0.31948922820325437,99.681020318238254,0.31948799999984906,99.680000000000007,0.31948799999984906,99.680000000000007
0.0036000000000000003,0.3593528868636951,99.640647113136296,0.35935376940567276,99.641290696707884,0.35935199999984796,99.640000000000001,0.35935199999984796,99.640000000000001
0.0040000000000000001,0.39920122781234008,99.600798772187645,0.39920244884204947,99.601592661279611,0.39919999999984668,99.600000000000009,0.39919999999984668,99.600000000000009
0.0044000000000000003,0.43903363408667123,99.560966365913316,0.43903525830610252,99.561926236502885,0.4390319999998456,99.560000000000002,0.4390319999998456,99.560000000000002
0.0048000000000000004,0.47885010568668879,99.521149894313297,0.47885219779783184,99.522291422377705,0.47884799999984462,99.52000000000001,0.47884799999984462,99.52000000000001
0.0052000000000000006,0.51865064261239247,99.4813493573876,0.51865326731723738,99.482688218904073,0.5186479999998439,99.480000000000004,0.5186479999998439,99.480000000000004
0.0055999999999999999,0.55843527315720454,99.44156472684277,0.55843852285338669,99.443116459010071,0.55843199999984305,99.439999999999998,0.55843199999984305,99.439999999999998
0.0060000000000000001,0.5982040135155593,99.40179598648443,0.59820799645299672,99.403576047068043,0.59819999999984252,99.400000000000006,0.59819999999984252,99.400000000000006
0.0064000000000000003,0.63795683892630828,99.362043161073686,0.63796163911691783,99.364067129291854,0.6379519999998422,99.359999999999999,0.6379519999998422,99.359999999999999
0.0068000000000000005,0.67769374938945137,99.322306250610538,0.67769945084514993,99.324589705681547,0.67768799999984197,99.319999999999993,0.67768799999984197,99.319999999999993
0.0072000000000000007,0.71741474490498891,99.282585255095,0.71742143163769323,99.285143776237092,0.71740799999984195,99.280000000000001,0.71740799999984195,99.280000000000001
0.0076,0.75711988940736086,99.242880110592637,0.75712770773566007,99.245728964628611,0.75711199999984169,99.239999999999995,0.75711199999984169,99.239999999999995
0.0080000000000000002,0.796809168368111,99.203190831631886,0.79681825045203192,99.206345356373248,0.79679999999984163,99.199999999999989,0.79679999999984163,99.199999999999989
0.0084000000000000012,0.83648256373336183,99.163517436266631,0.83649302413870386,99.166993057739461,0.83647199999984156,99.159999999999997,0.83647199999984156,99.159999999999997
0.0088000000000000005,0.87614007550311246,99.123859924496884,0.87615202879567555,99.127672068727264,0.87612799999984137,99.11999999999999,0.87612799999984137,99.11999999999999
0.0091999999999999998,0.91578170367736367,99.084218296322632,0.91579526442294723,99.088382389336658,0.91576799999984126,99.079999999999998,0.91576799999984126,99.079999999999998
0.0096000000000000009,0.95540753466007966,99.044592465339903,0.95542290100484306,99.049123513787293,0.95539199999984137,99.039999999999992,0.95539199999984137,99.039999999999992
0.01,0.99501751215658474,99.004982487843407,0.99503482779167141,99.009895771609635,0.99499999999984123,98.999999999999986,0.99499999999984123,98.999999999999986
0.010400000000000001,1.0346116361522635,98.965388363847723,1.0346310447546789,98.970699162889275,1.0345919999998414,98.959999999999994,1.0345919999998414,98.959999999999994
0.010800000000000001,1.0741899066471152,98.925810093352879,1.0742115518938646,98.931533687626185,1.0741679999998412,98.919999999999987,1.0741679999998412,98.919999999999987
0.0112,1.1137523428876808,98.886247657112307,1.113776386934606,98.892399233780637,1.1137279999998411,98.879999999999981,1.1137279999998411,98.879999999999981
0.011600000000000001,1.1532990003537464,98.846700999646245,1.1533256586234995,98.853295478388617,1.1532719999998411,98.839999999999989,1.1532719999998411,98.839999999999989
0.012,1.1928298343611441,98.807170165638823,1.1928592793745696,98.814222681569674,1.1927999999998413,98.799999999999983,1.1927999999998413,98.799999999999983
0.012400000000000001,1.2323448449098746,98.767655155090097,1.2323772491878173,98.775180843323866,1.2323119999998413,98.759999999999977,1.2323119999998413,98.759999999999977
0.012800000000000001,1.2718440319999371,98.728155968000038,1.2718795680632415,98.736169963651136,1.2718079999998411,98.719999999999985,1.2718079999998411,98.719999999999985
0.0132,1.3113274215574524,98.688672578442521,1.3113662865367541,98.697189892939107,1.311287999999841,98.679999999999993,1.311287999999841,98.679999999999993
0.013600000000000001,1.3507950359497403,98.649204964050242,1.3508374482073542,98.658240502112278,1.3507519999998412,98.639999999999986,1.3507519999998412,98.639999999999986
0.014,1.3902468629937923,98.609753137006194,1.3902930293275855,98.619321861475356,1.3901999999998411,98.599999999999994,1.3901999999998411,98.599999999999994
