"time","pipe1.mediums[1].h","pipe1.mediums[1].p","pipe2.mediums[1].h","pipe2.mediums[1].p","pipe3.mediums[1].h","pipe3.mediums[1].p","valveIncompressible.filter.x[1]","valveIncompressible.filter.x[2]","valveIncompressible1.filter.x[1]","valveIncompressible1.filter.x[2]","valveOpening1.a","valveOpening1.b","valveOpening1.last","valveOpening1.nextEvent","valveOpening2.a","valveOpening2.b","valveOpening2.last","valveOpening2.nextEvent"
0,84385.8376489031,497500,84381.1337746141,492500,84381.1337746141,492500,1,1,1,1,0,1,2,1,0,1,2,2
0.001,84334.2132744024,432649.667403038,84214.6797546487,326298.741847287,84214.6797546487,326298.741847287,1,1,1,1,0,1,2,1,0,1,2,2
0.002,84347.4014061634,429236.101283483,84207.6996821271,319292.679365645,84207.6996821271,319292.679365645,1,1,1,1,0,1,2,1,0,1,2,2
0.003,84363.9649542809,429069.382432889,84207.4030692097,318953.351378856,84207.4030692097,318953.351378856,1,1,1,1,0,1,2,1,0,1,2,2
0.004,84380.6838699646,429061.072045,84207.4351770187,318937.291256058,84207.4351770187,318937.291256058,1,1,1,1,0,1,2,1,0,1,2,2
0.005,84397.4011012442,429060.47977028,84207.4879338611,318936.979748797,84207.4879338611,318936.979748797,1,1,1,1,0,1,2,1,0,1,2,2
0.006,84414.1044266078,429060.320726155,84207.5487608757,318937.549507774,84207.5487608757,318937.549507774,1,1,1,1,0,1,2,1,0,1,2,2
0.007,84430.7975016385,429060.178817383,84207.6147604839,318938.153615838,84207.6147604839,318938.153615838,1,1,1,1,0,1,2,1,0,1,2,2
0.008,84447.4754065755,429060.033217693,84207.6883361935,318938.74929095,84207.6883361935,318938.74929095,1,1,1,1,0,1,2,1,0,1,2,2
0.009,84464.1437849841,429059.886816914,84207.7666726204,318939.342766088,84207.7666726204,318939.342766088,1,1,1,1,0,1,2,1,0,1,2,2
0.01,84480.7949787786,429059.740415908,84207.8535896964,318939.935220938,84207.8535896964,318939.935220938,1,1,1,1,0,1,2,1,0,1,2,2
0.011,84497.4224196536,429059.594014588,84207.9523671183,318940.526265525,84207.9523671183,318940.526265525,1,1,1,1,0,1,2,1,0,1,2,2
0.012,84514.0498605286,429059.447613269,84208.0511445402,318941.117310111,84208.0511445402,318941.117310111,1,1,1,1,0,1,2,1,0,1,2,2
0.013,84530.6773014036,429059.30121195,84208.1499219621,318941.708354698,84208.1499219621,318941.708354698,1,1,1,1,0,1,2,1,0,1,2,2
0.014,84547.2894407195,429059.154907724,84208.2563208545,318942.298689962,84208.2563208545,318942.298689962,1,1,1,1,0,1,2,1,0,1,2,2
0.015,84563.8354066306,429059.009023388,84208.3956796985,318942.885957677,84208.3956796985,318942.885957677,1,1,1,1,0,1,2,1,0,1,2,2
0.016,84580.3813725417,429058.863139052,84208.5350385425,318943.473225392,84208.5350385425,318943.473225392,1,1,1,1,0,1,2,1,0,1,2,2
0.017,84596.9273384528,429058.717254717,84208.6743973865,318944.060493107,84208.6743973865,318944.060493107,1,1,1,1,0,1,2,1,0,1,2,2
0.018,84613.4733043639,429058.571370381,84208.8137562305,318944.647760823,84208.8137562305,318944.647760823,1,1,1,1,0,1,2,1,0,1,2,2
0.019,84630.0192702751,429058.425486045,84208.9531150745,318945.235028538,84208.9531150745,318945.235028538,1,1,1,1,0,1,2,1,0,1,2,2
0.02,84646.5652361862,429058.27960171,84209.0924739186,318945.822296253,84209.0924739186,318945.822296253,1,1,1,1,0,1,2,1,0,1,2,2
0.021,84663.1112020973,429058.133717374,84209.2318327626,318946.409563968,84209.2318327626,318946.409563968,1,1,1,1,0,1,2,1,0,1,2,2
0.022,84679.6571680084,429057.987833038,84209.3711916066,318946.996831684,84209.3711916066,318946.996831684,1,1,1,1,0,1,2,1,0,1,2,2
0.023,84696.1444442359,429057.842314183,84209.5397088828,318947.581265334,84209.5397088828,318947.581265334,1,1,1,1,0,1,2,1,0,1,2,2
0.024,84712.6093322304,429057.696934747,84209.7193491663,318948.164617881,84209.7193491663,318948.164617881,1,1,1,1,0,1,2,1,0,1,2,2
0.025,84729.0742202249,429057.551555311,84209.8989894499,318948.747970427,84209.8989894499,318948.747970427,1,1,1,1,0,1,2,1,0,1,2,2
0.026,84745.5391082194,429057.406175875,84210.0786297334,318949.331322973,84210.0786297334,318949.331322973,1,1,1,1,0,1,2,1,0,1,2,2
0.027,84762.0039962139,429057.260796439,84210.2582700169,318949.914675519,84210.2582700169,318949.914675519,1,1,1,1,0,1,2,1,0,1,2,2
0.028,84778.4688842084,429057.115417003,84210.4379103005,318950.498028065,84210.4379103005,318950.498028065,1,1,1,1,0,1,2,1,0,1,2,2
0.029,84794.9337722028,429056.970037567,84210.617550584,318951.081380612,84210.617550584,318951.081380612,1,1,1,1,0,1,2,1,0,1,2,2
0.03,84811.3986601973,429056.824658131,84210.7971908675,318951.664733158,84210.7971908675,318951.664733158,1,1,1,1,0,1,2,1,0,1,2,2
0.031,84827.8425764402,429056.679409285,84210.9872239571,318952.247074544,84210.9872239571,318952.247074544,1,1,1,1,0,1,2,1,0,1,2,2
0.032,84844.2267816572,429056.534532256,84211.20684757,318952.826536945,84211.20684757,318952.826536945,1,1,1,1,0,1,2,1,0,1,2,2
0.033,84860.6109868742,429056.389655227,84211.426471183,318953.405999345,84211.426471183,318953.405999345,1,1,1,1,0,1,2,1,0,1,2,2
0.034,84876.9951920913,429056.244778198,84211.646094796,318953.985461745,84211.646094796,318953.985461745,1,1,1,1,0,1,2,1,0,1,2,2
0.035,84893.3793973083,429056.099901169,84211.8657184089,318954.564924146,84211.8657184089,318954.564924146,1,1,1,1,0,1,2,1,0,1,2,2
0.036,84909.7636025253,429055.95502414,84212.0853420219,318955.144386546,84212.0853420219,318955.144386546,1,1,1,1,0,1,2,1,0,1,2,2
0.037,84926.1478077423,429055.810147111,84212.3049656349,318955.723848946,84212.3049656349,318955.723848946,1,1,1,1,0,1,2,1,0,1,2,2
0.038,84942.5320129593,429055.665270082,84212.5245892478,318956.303311347,84212.5245892478,318956.303311347,1,1,1,1,0,1,2,1,0,1,2,2
0.039,84958.9162181764,429055.520393053,84212.7442128608,318956.882773747,84212.7442128608,318956.882773747,1,1,1,1,0,1,2,1,0,1,2,2
0.04,84975.2731163356,429055.375675362,84212.977323019,318957.460847667,84212.977323019,318957.460847667,1,1,1,1,0,1,2,1,0,1,2,2
0.041,84991.6163620326,429055.231037333,84213.2171759229,318958.038227402,84213.2171759229,318958.038227402,1,1,1,1,0,1,2,1,0,1,2,2
0.042,85007.9521982098,429055.086442539,84213.4606882773,318958.615230385,84213.4606882773,318958.615230385,1,1,1,1,0,1,2,1,0,1,2,2
0.043,85024.2806248674,429054.94189098,84213.7078600819,318959.191856616,84213.7078600819,318959.191856617,1,1,1,1,0,1,2,1,0,1,2,2
0.044,85040.6016420053,429054.797382656,84213.958691337,318959.768106097,84213.958691337,318959.768106097,1,1,1,1,0,1,2,1,0,1,2,2
0.045,85056.9152496236,429054.652917567,84214.2131820423,318960.343978826,84214.2131820423,318960.343978826,1,1,1,1,0,1,2,1,0,1,2,2
0.046,85073.2214477221,429054.508495713,84214.471332198,318960.919474804,84214.471332198,318960.919474804,1,1,1,1,0,1,2,1,0,1,2,2
0.047,85089.520236301,429054.364117093,84214.7331418041,318961.49459403,84214.7331418041,318961.49459403,1,1,1,1,0,1,2,1,0,1,2,2
0.048,85105.8116153602,429054.219781709,84214.9986108604,318962.069336505,84214.9986108604,318962.069336505,1,1,1,1,0,1,2,1,0,1,2,2
0.049,85122.0955848998,429054.075489559,84215.2677393672,318962.643702228,84215.2677393672,318962.643702228,1,1,1,1,0,1,2,1,0,1,2,2
0.05,85138.3721449196,429053.931240644,84215.5405273243,318963.217691201,84215.5405273243,318963.217691201,1,1,1,1,0,1,2,1,0,1,2,2
0.051,85154.6412954198,429053.787034964,84215.8169747317,318963.791303422,84215.8169747317,318963.791303422,1,1,1,1,0,1,2,1,0,1,2,2
0.052,85170.9030364003,429053.642872519,84216.0970815895,318964.364538891,84216.0970815895,318964.364538891,1,1,1,1,0,1,2,1,0,1,2,2
0.053,85187.1573678611,429053.498753308,84216.3808478976,318964.93739761,84216.3808478976,318964.93739761,1,1,1,1,0,1,2,1,0,1,2,2
0.054,85203.4042898023,429053.354677333,84216.668273656,318965.509879577,84216.668273656,318965.509879577,1,1,1,1,0,1,2,1,0,1,2,2
