"time","Tmix1_1.T","Tmix1_2.T","Tmix2.T"
0,296.994522450586,308.950678321808,308.950678321808
0.003,297.337122058583,308.235720642823,308.235720642823
0.006,297.648982302571,307.542382365587,307.542382365587
0.009,297.931531132406,306.870023076023,306.870023076023
0.012,298.186188994714,306.218002265142,306.218002265142
0.015,298.414320340739,305.58570090263,305.58570090263
0.018,298.617325389308,304.972480029721,304.972480029721
0.021,298.796503747461,304.377741386749,304.377741386749
0.024,298.953087860117,303.800912679536,303.800912679536
0.027,299.088259607284,303.241440582595,303.241440582595
0.03,299.203151745636,302.698789727313,302.698789727313
0.033,299.298842023695,302.172445686755,302.172445686755
0.036,299.37634975476,301.66191607388,301.66191607388
0.039,299.436676872739,301.166713525031,301.166713525031
0.042,299.480766237391,300.68637311739,300.68637311739
0.045,299.509531643934,300.220440211432,300.220440211432
0.048,299.523842046024,299.768476712657,299.768476712657
0.051,299.524531859468,299.33005730697,299.33005730697
0.054,299.512397114489,298.904770793533,298.904770793533
0.057,299.488198567868,298.492219082961,298.492219082961
0.06,299.45266479657,298.092016046821,298.092016046821
0.063,299.406488642268,297.703788797508,297.703788797508
0.066,299.350335615245,297.327174788743,297.327174788743
0.069,299.284838965042,296.96182350833,296.96182350833
0.072,299.210604268483,296.607394903076,296.607394903076
0.075,299.128208999246,296.263559650181,296.263559650181
0.078,299.038204116547,295.929998590078,295.929998590078
0.081,298.941116638716,295.606401714467,295.606401714467
0.084,298.837449389251,295.292468421176,295.292468421176
0.087,298.727677350948,294.987909040655,294.987909040655
0.09,298.612258384526,294.692440629207,294.692440629207
0.093,298.491627784223,294.40578923458,294.40578923458
0.096,298.366197929929,294.127690051308,294.127690051308
0.099,298.236359782228,293.857886916368,293.857886916368
0.102,298.102489447087,293.59612989114,293.59612989114
0.105,297.964943570008,293.342177060083,293.342177060083
0.108,297.824056529969,293.095795395488,293.095795395488
0.111,297.680150802543,292.856757357098,292.856757357098
0.114,297.533531630822,292.624842663156,292.624842663156
0.117,297.384487954272,292.399837914892,292.399837914892
0.12,297.233292752211,292.181536455485,292.181536455485
0.123,297.080207414769,291.969737201763,291.969737201763
0.126,296.925479375493,291.764245205486,291.764245205486
0.129,296.769340031624,291.56487222909,291.56487222909
0.132,296.61201141842,291.371434845329,291.371434845329
0.135,296.453703861006,291.183755068163,291.183755068163
0.138,296.294615265413,291.001660567137,291.001660567137
0.141,296.134929964656,290.824985029383,290.824985029383
0.144,295.974826262632,290.653565801732,290.653565801732
0.147,295.814471437079,290.487245442158,290.487245442158
0.15,295.654020258183,290.325872129249,290.325872129249
0.153,295.493620426347,290.169298024415,290.169298024415
0.156,295.333411618095,290.017379542958,290.017379542958
0.159,295.173524449763,289.869977620981,289.869977620981
0.162,295.014079802068,289.726957810467,289.726957810467
0.165,294.855193497766,289.588189099985,289.588189099985
0.168,294.69697353319,289.453544547114,289.453544547114
0.171,294.539519834187,289.322901275398,289.322901275398
0.174,294.382926357754,289.196139945506,289.196139945506
0.177,294.227281625564,289.073144585645,289.073144585645
0.18,294.072667838973,288.95380276501,288.95380276501
0.183,293.91915944388,288.838005995547,288.838005995547
