"time","loadInertia.phi","loadInertia.w","smpm.idq_dr[1]","smpm.idq_rr[2]","smpm.idq_sr[1]","smpm.idq_sr[2]","vfController.x"
0,0,0,0,0,0,0,0
5e-05,3.86491690599261e-20,3.13485516175929e-15,-0.000332218255184754,-7.73702390790891e-11,0.00038784036990533,9.03083047251658e-11,3.92705637243962e-07
0.0001,1.49294178515212e-18,7.48369331266766e-14,-0.00132535639447056,-1.09468013694118e-09,0.00154813872133609,1.27815367949857e-09,1.57080282038951e-06
0.00015,1.41168346134465e-17,5.13690992863782e-13,-0.002973989362556,-5.3491243594492e-09,0.00347593060064468,6.24769160509945e-09,3.53429821643214e-06
0.0002,8.36287758414466e-17,2.21574345000066e-12,-0.00527262253548747,-1.69858535210695e-08,0.0061661852746451,1.98472123504357e-08,6.28319174384539e-06
0.00025,3.07844314527603e-16,6.66651189196558e-12,-0.00821582712851369,-4.1279811553225e-08,0.00961393157517121,4.82511688628762e-08,9.81748347523374e-06
0.0003,8.84972480460825e-16,1.63985813657921e-11,-0.0117982495846683,-8.53097425206576e-08,0.0138142660063419,9.97528150026325e-08,1.4137173372601e-05
0.00035,2.16725094024401e-15,3.5018029345607e-11,-0.0160145668772125,-1.57374837814926e-07,0.0187623122484202,1.84083879399831e-07,1.92422614344095e-05
0.0004,4.69660273439018e-15,6.73764777705301e-11,-0.0208594943636068,-2.67156498056831e-07,0.0244532282330554,3.12605666205729e-07,2.5132747660013e-05
0.00045,9.31703316308003e-15,1.20104757309778e-10,-0.0263277937052102,-4.26087278296055e-07,0.0308822131559929,4.98746785020198e-07,3.18086320489769e-05
0.0005,1.73117288456596e-14,2.01985732910978e-10,-0.0324142706222275,-6.47267696974632e-07,0.0380445054761932,7.57911132073034e-07,3.92699146012796e-05
0.00055,3.03915815513637e-14,3.23567262670403e-10,-0.039113761688766,-9.44937982485603e-07,0.0459353711658058,1.10685629230058e-06,4.75165953168953e-05
0.0006,5.0780696322038e-14,4.97354177528268e-10,-0.0464211364386291,-1.33455935447107e-06,0.0545501055856453,1.56379095601883e-06,5.65486741958984e-05
0.00065,8.18288599418051e-14,7.39699018332908e-10,-0.0543313207162872,-1.83365745030757e-06,0.0638840543195058,2.14938456989406e-06,6.6366151238189e-05
0.0007,1.27254381213184e-13,1.06829814300407e-09,-0.0628392616540693,-2.46054306948126e-06,0.0739325819347266,2.88524087133992e-06,7.69690264436511e-05
0.00075,1.92138080861602e-13,1.50484970549103e-09,-0.0719399581899498,-3.23545252450151e-06,0.0846910991862145,3.79526437647318e-06,8.83572998125489e-05
0.0008,2.82147410491344e-13,2.07327648188348e-09,-0.0816284449706711,-4.17993201137229e-06,0.0961550486769749,4.90491803754566e-06,0.000100530971344995
0.00085,4.04186867240642e-13,2.80081726958303e-09,-0.0918997941016084,-5.31689800431376e-06,0.108319906420197,6.24130839233409e-06,0.000113490041041062
