"time","Revolute1.phi","Revolute1.w","Revolute2.phi","Revolute2.w","Revolute3.phi","Revolute3.w","Revolute4.phi","Revolute4.w","Revolute5.phi","Revolute5.w","Revolute6.phi","Revolute6.w","Revolute7.phi","Revolute7.w","Revolute8.phi","Revolute8.w"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0004,1.58667179007821e-06,0.00793335891945501,1.58667179007821e-06,0.00793335891945501,-1.17624573775868e-06,-0.00588122780013592,-1.17624573775868e-06,-0.00588122780013592,1.58667112197406e-06,0.00793335493714271,1.58667112197406e-06,0.00793335493714271,-1.17624663898227e-06,-0.00588123317198376,-1.17624663898227e-06,-0.00588123317198376
0.0008,6.34668714219172e-06,0.0158667178383869,6.34668714219172e-06,0.0158667178383869,-4.70497212348117e-06,-0.0117624233702975,-4.70497212348117e-06,-0.0117624233702975,6.34667645256437e-06,0.0158666859799073,6.34667645256437e-06,0.0158666859799073,-4.70498654297323e-06,-0.0117624663449608,-4.70498654297323e-06,-0.0117624663449608
0.0012,1.42800460609957e-05,0.0238000767554927,1.42800460609957e-05,0.0238000767554927,-1.05861613985172e-05,-0.0176435645987744,-1.05861613985172e-05,-0.0176435645987744,1.42800028275948e-05,0.0237999767328751,1.42800028275948e-05,0.0237999767328751,-1.05862197169916e-05,-0.0176436995214057,-1.05862197169916e-05,-0.0176436995214057
0.0016,2.53867485454019e-05,0.0317334356683486,2.53867485454019e-05,0.0317334356683486,-1.88197909440947e-05,-0.023524631185039,-1.88197909440947e-05,-0.023524631185039,2.53866334760243e-05,0.0317332121404263,2.53866334760243e-05,0.0317332121404263,-1.88199461634469e-05,-0.0235249327059207,-1.88199461634469e-05,-0.0235249327059207
0.002,3.96667945911314e-05,0.0396667945699127,3.96667945911314e-05,0.0396667945699127,-2.94058136772693e-05,-0.0294055913521007,-2.94058136772693e-05,-0.0294055913521007,3.96665334825705e-05,0.0396663686272095,3.96665334825705e-05,0.0396663686272095,-2.94061658908243e-05,-0.0294061659118781,-2.94061658908243e-05,-0.0294061659118781
0.0024,5.71201841924302e-05,0.0476001534528328,5.71201841924302e-05,0.0476001534528328,-4.23441936997261e-05,-0.0352864275799245,-4.23441936997261e-05,-0.0352864275799245,5.71196762199179e-05,0.0475994331861762,5.71196762199179e-05,0.0475994331861762,-4.23448789100765e-05,-0.0352873991532399,-4.23448789100764e-05,-0.0352873991532399
0.0028,7.77469173399261e-05,0.0555335123063351,7.77469173399261e-05,0.0555335123063351,-5.76348834934619e-05,-0.0411671176629058,-5.76348834934619e-05,-0.0411671176629058,7.77460264373835e-05,0.055532389327918,7.77460264373835e-05,0.055532389327918,-5.76360852390687e-05,-0.0411686324504653,-5.76360852390687e-05,-0.0411686324504653
0.0032,0.00010154699400966,0.0634668711066832,0.00010154699400966,0.0634668711066832,-7.52778001405629e-05,-0.0470476316986146,-7.52778001405629e-05,-0.0470476316986146,0.000101545522603785,0.0634652148237672,0.000101545522603785,0.0634652148237672,-7.52797849232998e-05,-0.0470498658486307,-7.52797849232997e-05,-0.0470498658486307
0.0036,0.000128520414187479,0.0714002298395887,0.000128520414187479,0.0714002298395887,-9.52728919661451e-05,-0.0529279501482555,-9.52728919661451e-05,-0.0529279501482555,0.000128518126374551,0.0713978951522498,0.000128518126374551,0.0713978951522498,-9.52759779896616e-05,-0.0529310993748703,-9.52759779896616e-05,-0.0529310993748703
