"time","coil.Phi","coil.i","r_mLeak.port_p.Phi","rootMeanSquare.mean.x","sourceQS.pin_p.reference.gamma"
0,0,0,0,0,0
4.0000000000000003e-05,-2.1681028765972549e-05,0.011985110808440358,5.9925554042172881e-06,1.9557754117152211e-09,0.012566370614359175
8.0000000000000007e-05,-4.335265590650893e-05,0.023965024468534366,1.1982512234263322e-05,1.5352655564790456e-08,0.025132741228718353
0.00012000000000000002,-6.5011447163568074e-05,0.03593784254809175,1.7968921274040198e-05,5.1707392336429198e-08,0.037699111843077525
0.00016000000000000001,-8.6653984700651285e-05,0.047901675692624067,2.3950837846301984e-05,1.224634032225963e-07,0.0502654824574367
0.00020000000000000001,-0.00010827685012189087,0.059854634238391304,2.9927317119186101e-05,2.3904703916598608e-07,0.062831853071795868
0.00024000000000000003,-0.00012987663194502868,0.071794832343465342,3.5897416171730865e-05,4.1283222283408185e-07,0.07539822368615505
0.00028000000000000003,-0.00015144992179071974,0.083720385881276171,4.1860192940630936e-05,6.5514342712415933e-07,0.087964594300514232
0.00032000000000000003,-0.00017299331784151168,0.095629414352526476,4.7814707176240465e-05,9.7721997574916684e-07,0.1005309649148734
0.00036000000000000002,-0.0001945034177962147,0.10752003699036164,5.3760018495172638e-05,1.3903082525502954e-06,0.11309733552923258
0.00040000000000000002,-0.0002159768278038647,0.11939037769953642,5.9695188849748458e-05,1.9055467848290779e-06,0.12566370614359174
0.00044000000000000002,-0.00023741015325506838,0.13123855996516187,6.5619279982564432e-05,2.5340832696162594e-06,0.13823007675795093
0.00048000000000000007,-0.00025880001774464901,0.14306271733578826,7.1531358667865675e-05,3.286832010083309e-06,0.15079644737231013
0.00052000000000000006,-0.00028014303778153881,0.15486097944261715,7.7430489721303164e-05,4.1747984684164626e-06,0.1633628179866693
0.00056000000000000006,-0.00030143584822892505,0.16663148606348935,8.3315743031711528e-05,5.2087529840987688e-06,0.17592918860102846
0.00060000000000000006,-0.00032267508882322695,0.17837237966943567,8.9186189834694374e-05,6.39940358866621e-06,0.18849555921538766
0.00064000000000000005,-0.00034385740382289373,0.19008180523184851,9.5040902615881937e-05,7.757400413958423e-06,0.20106192982974685
0.00068000000000000005,-0.00036497945841279858,0.20175791928958439,0.00010087895964476307,9.2931259785602954e-06,0.21362830044410602
0.00072000000000000005,-0.00038603790959890807,0.21339887386067399,0.00010669943693031061,1.1017067573800569e-05,0.22619467105846522
0.00076000000000000004,-0.00040702944021965017,0.22500283524296164,0.00011250141762144873,1.293938252982072e-05,0.23876104167282439
0.00080000000000000004,-0.00042795073256101599,0.23656796942884978,0.00011828398471439544,1.507023583537667e-05,0.25132741228718358
0.00084000000000000003,-0.00044879848220980299,0.2480924497634997,0.000124046224881705,1.7419623038021027e-05,0.26389378290154275
0.00088000000000000003,-0.00046956940622201255,0.25957446145976903,0.00012978723072985972,1.9997267490031622e-05,0.27646015351590192
0.00092000000000000003,-0.00049026022102125475,0.27101218938150096,0.00013550609469069292,2.2812901380211497e-05,0.28902652413026114
0.00096000000000000013,-0.00051086766126880103,0.28240382847334866,0.00014120191423665123,2.5876026257091767e-05,0.30159289474462037
0.001,-0.00053138848037327386,0.29374758404428319,0.00014687379202210971,2.9195908643827122e-05,0.31415926535897948
0.0010400000000000001,-0.00055181943293025431,0.3050416620588125,0.00015252083102936298,3.2781800931053051e-05,0.3267256359733387
0.00108,-0.00057215729429843057,0.31628427995938657,0.00015814213997961395,3.6642695460217172e-05,0.33929200658769787
