"time","dimlesslength","abscissa[1]","abscissa[2]","abscissa[3]","length","dimlesslength","Pr[1]","Pr[2]","Pr[3]","Re[1]","Re[2]","Re[3]","velocity[1]","velocity[2]","velocity[3]","cp[1]","cp[2]","cp[3]","eta[1]","eta[2]","eta[3]","lambda[1]","lambda[2]","lambda[3]","rho[1]","rho[2]","rho[3]","Nu_1[1]","Nu_1[2]","Nu_1[3]","Nu_2[1]","Nu_2[2]","Nu_2[3]","Nu_3[1]","Nu_3[2]","Nu_3[3]","Nu_4[1]","Nu_4[2]","Nu_4[3]","m_flow[1]","m_flow[2]","m_flow[3]"
0,0.01,0.01,0.01,0.01,1,0.01,0.714973919813157,7.01036324143693,996.999224806202,139865.241554731,14264.5960781203,100.300980694783,21.4742593094132,0.14313039773039,0.11017848156729,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,39.6874655273898,39.6874655273898,39.6874655273898,39.7537991651496,39.7537991651496,39.7537991651496,74.1850316295946,56.0429562063623,41.6132815309076,74.2040433910689,56.0762578839706,41.6736308832802,0.127557100297915,0.714370971592265,0.571715589960261
0.000202,0.01019998,0.01019998,0.01019998,0.01019998,1,0.01019998,0.714973919813157,7.01036324143693,996.999224806202,134434.630956832,13710.7381948071,96.406549435908,20.6404685913519,0.137573009446096,0.105900532142481,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,39.1679850300527,39.1679850300527,39.1679850300527,39.2360853082692,39.2360853082692,39.2360853082692,72.8050030022684,55.0744379029063,41.0328651284153,72.8247420425627,55.108920041485,41.0949299919671,0.12260438343263,0.68663376879594,0.549517331784675
0.000404,0.01039996,0.01039996,0.01039996,0.01039996,1,0.01039996,0.714973919813157,7.01036324143693,996.999224806202,129314.272787917,13188.5223801918,92.7346082149031,19.85431258966,0.132333116438426,0.101866983264572,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,38.665232065569,38.665232065569,38.665232065569,38.7351100446009,38.7351100446009,38.7351100446009,71.4779146204116,54.1425937003411,40.4722010179455,71.4983931163636,54.1782718198504,40.5359933121305,0.117934616782581,0.660481200800008,0.528587266824947
0.000606,0.01059994,0.01059994,0.01059994,0.01059994,1,0.01059994,0.714973919813157,7.01036324143693,996.999224806202,124480.976280053,12695.5834509476,89.2685263325239,19.1122307015839,0.127386986550617,0.0980595664662206,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,38.178362547276,38.178362547276,38.1783625472761,38.2500291217061,38.2500291217061,38.2500291217061,70.2007711079993,53.2453549529676,39.9302422635851,70.2220011633178,53.2822443806287,39.9957737148978,0.113526650367409,0.635794819223458,0.508830600095386
0.000808,0.01079992,0.01079992,0.01079992,0.01079992,1,0.01079992,0.714973919813157,7.01036324143693,996.999224806202,119913.677688106,12229.7731548506,85.9931984325685,18.4109888975678,0.122713064304088,0.0944616888367864,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,37.7065898757056,37.7065898757056,37.7065898757056,37.780055778995,37.780055778995,37.780055778995,68.970798940706,52.3808061070946,39.4060164308192,68.9927925865655,52.4189219811985,39.4732985788631,0.109361274051553,0.612467039594918,0.490161231065641
0.00101,0.0109999,0.0109999,0.0109999,0.0109999,1,0.0109999,0.714973919813157,7.01036324143693,996.999224806202,115593.2104081,11789.136725578,82.894879647806,17.7476444262941,0.118291735650203,0.0910582519336585,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,37.2491800462958,37.2491800462958,37.2491800462958,37.3244558552056,37.3244558552056,37.3244558552056,67.7854262794835,51.5471707879901,38.8986189909178,67.80819547511,51.586528061591,38.9676631941454,0.105421007892187,0.590399967216946,0.472500813992494
0.001212,0.01119988,0.01119988,0.01119988,0.01119988,1,0.01119988,0.714973919813157,7.01036324143693,996.999224806202,111502.103567617,11371.8923413177,79.9610411639466,17.1195148911896,0.114105121858765,0.0878354931223668,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,36.8054472536185,36.8054472536185,36.8054472536185,36.882543392414,36.882543392414,36.882543392414,66.6422649646348,50.7427993772848,38.4072074190811,66.665821597882,50.7834128217825,38.4780248602276,0.101689918453667,0.569504368453189,0.455777934634496
0.001414,0.01139986,0.01139986,0.01139986,0.01139986,1,0.01139986,0.714973919813157,7.01036324143693,996.999224806202,107624.40512823,10976.4130833138,77.1802433618216,16.524151090395,0.110136898490769,0.0847808462259807,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,36.3747499338787,36.3747499338787,36.3747499338787,36.4536766783313,36.4536766783313,36.4536766783313,65.5390944050799,49.966157897809,37.9309959022685,65.5634502929959,50.0080421064252,38.003597593503,0.0981534574769461,0.549698767212353,0.439927387162383
0.001616,0.01159984,0.01159984,0.01159984,0.01159984,1,0.01159984,0.714973919813157,7.01036324143693,996.999224806202,103945.526148968,10601.2110525867,74.5420241346876,15.9593131057002,0.106372136026195,0.0818828188440574,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,35.9564871951687,35.9564871951687,35.9564871951687,36.0372546763677,36.0372546763677,36.0372546763677,64.473847134105,49.2158180480871,37.4692505841238,64.4990140234907,49.258987439238,37.5436473719359,0.0947983198478589,0.530908649513542,0.42488953756772
0.001818,0.01179982,0.01179982,0.01179982,0.01179982,1,0.01179982,0.714973919813157,7.01036324143693,996.999224806202,100452.103366515,10244.9233547437,72.0368003409373,15.4229492037478,0.102797159236145,0.0791308841005518,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,35.5500955915365,35.5500955915365,35.5500955915365,35.6327137995242,35.6327137995242,35.6327137995242,63.4445958338931,48.4904482501043,37.0212852841488,63.4705854018514,48.5349170706746,37.0974878539889,0.0916123182702616,0.513065761605562,0.410609761943343
0.00202,0.0119998,0.0119998,0.0119998,0.0119998,1,0.0119998,0.714973919813157,7.01036324143693,996.999224806202,97131.8776708377,9906.29970593311,69.6557806558276,14.9131771777448,0.0993994228214765,0.0765153849133054,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,35.1550462025651,35.1550462025651,35.1550462025651,35.2395249898046,35.2395249898046,35.2395249898046,62.4495416574922,47.7888055921425,36.5864576365731,62.4763655119684,47.8345879206641,36.6644765172639,0.088584272435804,0.49610748927313,0.397037949738217
0.002222,0.01219978,0.01219978,0.01219978,0.01219978,1,0.01219978,0.714973919813157,7.01036324143693,996.999224806202,93973.5864091414,9584.19144912561,67.3908883398626,14.4282678123126,0.0961674012025947,0.0740274491567667,1007,4189,3384.55,1.824e-05,0.0010016,0.114,0.02569,0.5985,0.387,1.188,998.21,1037.799,34.7708419849792,34.7708419849792,34.7708419849792,34.8571910696672,34.8571910696672,34.8571910696672,61.4870036993474,47.1097285639857,36.1641656014466,61.5146733796614,47.1568383137242,36.2440111693796,0.085703910805137,0.479976307772211,0.384128063537217
