"time","inductorA.i","inductorM.inductor[1].i","inductorM.inductor[2].i","inductorM.inductor[3].i","meanpowerA.x","meanpowerM[1].x","meanpowerM[2].x","meanpowerM[3].x","resistorQM.plug_p.reference.gamma","resistorQS.pin_p.reference.gamma","rmsiA.mean.x","rmsiM[1].mean.x","rmsiM[2].mean.x","rmsiM[3].mean.x","rmsvA.mean.x","rmsvM[1].mean.x","rmsvM[2].mean.x","rmsvM[3].mean.x"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2e-05,0.000278499945054174,0.000278499945054174,-0.0768504848359791,0.0765719848909249,1.56422723672649e-09,1.56422723672649e-09,9.44078910831928e-05,9.3643973782991e-05,0.00628318530717959,0.00628318530717959,4.43917890544973e-13,4.43917890544973e-13,4.41135842824065e-08,4.38434212519178e-08,5.89503329440373e-06,5.89503329440373e-06,0.301085314002103,0.298908790964603
4e-05,0.0011117737221188,0.0011117737221188,-0.153494846726931,0.152383073004812,2.13487760430851e-08,2.13487760430851e-08,0.000378165413107996,0.000372523688908853,0.0125663706143592,0.0125663706143592,1.13260269197997e-11,1.13260269197997e-11,3.25819801262903e-07,3.2214170538913e-07,4.36229755251092e-05,4.36229755251092e-05,0.604331059550913,0.595625317473562
6e-05,0.00249643077807714,0.00249643077807714,-0.229931390548065,0.227434959769988,1.02929010118249e-07,1.02929010118249e-07,0.000852063185626865,0.000833515950012891,0.0188495559215388,0.0188495559215388,7.96163328713675e-11,7.96163328713675e-11,1.07123824808023e-06,1.0535483332623e-06,0.000143700623352146,0.000143700623352146,0.909721471419378,0.89013482795727
8e-05,0.00442889148330334,0.00442889148330334,-0.306158326901357,0.301729435418054,3.21838188734955e-07,3.21838188734955e-07,0.00151690341785196,0.00147332676896756,0.0251327412287183,0.0251327412287183,3.334887921226e-10,3.334887921226e-10,2.51715613040261e-06,2.46198977264376e-06,0.000338335779074233,0.000338335779074233,1.21723956349501,1.18242210072592
0.0001,0.00690563881937816,0.00690563881937816,-0.382173898094371,0.375268259274993,7.85960378788885e-07,7.85960378788885e-07,0.00237343692477042,0.00228872393732205,0.0314159265358979,0.0314159265358979,1.02307808527723e-09,1.02307808527723e-09,4.89398824191916e-06,4.75962799479259e-06,0.000659157866984062,0.000659157866984062,1.52686825564493,1.47247258648809
0.00012,0.00992314614802831,0.00992314614802831,-0.457976341972788,0.44805319582476,1.62079726631036e-06,1.62079726631036e-06,0.00342239697804442,0.00327646917750814,0.0376991118430775,0.0376991118430775,2.50338000009031e-09,2.50338000009031e-09,8.43158910520266e-06,8.15519486512189e-06,0.00113786867838447,0.00113786867838447,1.83859021970099,1.76027191162062
0.00014,0.0134779151670409,0.0134779151670409,-0.533563911995846,0.520085996828805,3.0199435997256e-06,3.0199435997256e-06,0.00466443256127633,0.00443336171460643,0.0439822971502571,0.0439822971502571,5.56336818336871e-09,5.56336818336871e-09,1.33531868787151e-05,1.28397534876179e-05,0.00180585431061916,0.00180585431061916,2.1523874640156,2.04580668167378
0.00016,0.0175664413113418,0.0175664413113418,-0.608934858165625,0.591368416854283,5.16168063969151e-06,5.16168063969151e-06,0.00610021158834742,0.00575619243784347,0.0502654824574367,0.0502654824574367,1.0894230770037e-08,1.0894230770037e-08,1.98834927290917e-05,1.90083329798955e-05,0.00269457090116154,0.00269457090116154,2.46824214664541,2.32906328245343
0.00018,0.0221852147947069,0.0221852147947069,-0.68408742875442,0.661902213959713,8.24979189513206e-06,8.24979189513206e-06,0.0077303733876478,0.00724175311269783,0.0565486677646163,0.0565486677646163,1.94454230035446e-08,1.94454230035446e-08,2.82457089679077e-05,2.68504838186616e-05,0.00383548437261718,0.00383548437261718,2.78613610493049,2.61002841069689
