"time","prismatic.s","prismatic.v","prismatic1.s","prismatic1.v"
0,-1,0,-1,0
0.0006,-1.00000014519951,-0.00048398965061022,-1.00000014580252,-0.000485999649289805
0.0012,-1.00000058078974,-0.00096797720516068,-1.00000058320175,-0.000971997194598397
0.0018,-1.00000130676855,-0.00145195993371999,-1.00000131219554,-0.00145798989567739
0.0024,-1.00000232313563,-0.00193593764240329,-1.00000233278357,-0.00194397755790918
0.003,-1.00000362986909,-0.00241990375472797,-1.00000364494388,-0.00242995357995707
0.0036,-1.00000522697293,-0.00290385947933019,-1.00000524868048,-0.00291591917502495
0.0042,-1.00000711444867,-0.00338780527673677,-1.0000071439949,-0.00340187480538007
0.0048,-1.00000929229632,-0.00387174114694768,-1.00000933088715,-0.00388782047102241
0.0054,-1.00001176038456,-0.00435564739519039,-1.0000118092254,-0.00437373640274657
0.006,-1.00001451875383,-0.0048395300879578,-1.00001457905025,-0.0048596286899727
0.0066,-1.00001756742882,-0.0053233929270916,-1.0000176403865,-0.00534550104853292
0.0072,-1.00002090640952,-0.0058072359125918,-1.00002099323412,-0.00583135347842723
0.0078,-1.00002453569595,-0.0062910590444584,-1.00002463759313,-0.00631718597965564
0.0084,-1.00002845528809,-0.00677486232269139,-1.00002857346353,-0.00680299855221814
0.009,-1.00003266518595,-0.00725864574729078,-1.00003280084531,-0.00728879119611473
0.0096,-1.00003716538953,-0.00774240931825656,-1.00003731973847,-0.00777456391134542
0.0102,-1.00004195563364,-0.0082261266305649,-1.00004212987684,-0.00826029019309003
0.0108,-1.00004703593997,-0.00870979984274023,-1.00004723128216,-0.00874597220803102
0.0114,-1.00005240645444,-0.00919344348489538,-1.00005262410092,-0.00923162454119697
0.012,-1.00005806717704,-0.00967705755703034,-1.00005830833311,-0.00971724719258788
0.0126,-1.00006401810778,-0.0101606420591451,-1.00006428397874,-0.0102028401622038
0.0132,-1.00007025924666,-0.0106441969912397,-1.00007055103781,-0.0106884034500446
0.0138,-1.00007679059367,-0.0111277223533141,-1.00007710951031,-0.0111739370561104
0.0144,-1.00008361214883,-0.0116112181453683,-1.00008395939624,-0.0116594409804012
0.015,-1.00009072358361,-0.0120946595198278,-1.00009110036586,-0.0121448902814284
0.0156,-1.00009812465426,-0.0125780280385774,-1.00009853217448,-0.0126302664513882
0.0162,-1.00010581575364,-0.0130613534176466,-1.00010625521646,-0.0131155993186248
0.0168,-1.00011379688176,-0.0135446356570352,-1.00011426949179,-0.0136008888831381
0.0174,-1.00012206803862,-0.0140278747567434,-1.00012257500047,-0.0140861351449282
0.018,-1.0001306292242,-0.0145110707167712,-1.00013117174251,-0.014571338103995
0.0186,-1.00013948043853,-0.0149942235371184,-1.00014005971791,-0.0150564977603386
0.0192,-1.00014862168159,-0.0154773332177853,-1.00014923892665,-0.015541614113959
0.0198,-1.00015805271085,-0.0159603859991591,-1.00015870912531,-0.0160266733532341
0.0204,-1.00016777281814,-0.0164433417037533,-1.00016846960302,-0.0165116351488114
0.021,-1.00017778270707,-0.0169262402498822,-1.00017852106606,-0.0169965395698915
0.0216,-1.00018808237764,-0.0174090816375459,-1.00018886351441,-0.0174813866164744
0.0222,-1.00019867182985,-0.0178918658667443,-1.00019949694809,-0.0179661762885601
