"time","annulus_pipe.mediums[1].h","annulus_pipe.mediums[2].h","annulus_pipe.mediums[2].p","circular_pipe.mediums[1].h","circular_pipe.mediums[2].h","circular_pipe.mediums[2].p"
0,84858.4652350282,84858.4652350282,1000000,84858.4652350282,84858.4652350282,1000000
0.0002,84858.4652350282,84853.5489664662,995090.558253032,84858.4652350282,84848.540773428,990089.329112583
0.0004,84858.4652350282,84849.7144863347,991261.405530115,84858.4652350282,84839.8347343261,981395.411336473
0.0006,84858.4652350282,84846.3623787063,987913.954756604,84858.4652350282,84831.5523888372,973124.614236697
0.0008,84858.4652350282,84843.252663985,984808.559133942,84858.4652350282,84823.6709251096,965254.150867157
0.001,84858.4652350282,84840.3073369376,981867.321398134,84858.4652350282,84816.2194542482,957813.084372664
0.0012,84858.4652350282,84837.499254871,979063.136119505,84858.4652350282,84809.1629642862,950766.446346422
0.0014,84858.4652350282,84834.8168121194,976384.413260695,84858.4652350282,84802.4537989676,944066.643368964
0.0016,84858.4652350282,84832.2561427008,973827.291690589,84858.4652350282,84796.0564365382,937678.200315198
0.0018,84858.4652350282,84829.8164284681,971390.953879995,84858.4652350282,84789.9423821231,931572.659709191
0.002,84858.4652350282,84827.4978991603,969075.628751283,84858.4652350282,84784.0881752497,925726.59191207
0.0022,84858.4652350282,84825.3007251314,966881.485963672,84858.4652350282,84778.4739006116,920120.1078503
0.0024,84858.4652350282,84823.2242241966,964807.843883335,84858.4652350282,84773.0822819793,914735.954116519
0.0026,84858.4652350282,84821.2652636246,962851.573854799,84858.4652350282,84767.8982331917,909559.064545214
0.0028,84858.4652350282,84819.4159102575,961004.753672785,84858.4652350282,84762.9085193882,904576.221885549
0.003,84858.4652350282,84817.6670691668,959258.301079244,84858.4652350282,84758.1013723715,899775.673664074
0.0032,84858.4652350282,84816.0113594845,957604.845502877,84858.4652350282,84753.4662522237,895146.894110687
0.0034,84858.4652350282,84814.4425998139,956038.21418577,84858.4652350282,84748.993629893,890680.367024413
0.0036,84858.4652350282,84812.9550196797,954552.644741556,84858.4652350282,84744.6748649465,886367.46368323
0.0038,84858.4652350282,84811.5432274997,953142.753168613,84858.4652350282,84740.5020735099,882200.31095298
0.004,84858.4652350282,84810.2023776069,951803.700629553,84858.4652350282,84736.4679793526,878171.64256282
0.0042,84858.4652350282,84808.9280992734,950531.122574555,84858.4652350282,84732.5659084414,874274.793665527
0.0044,84858.4652350282,84807.7162180014,949320.850422918,84858.4652350282,84728.7897566093,870503.66854744
0.0046,84858.4652350282,84806.5630609863,948169.216591849,84858.4652350282,84725.1338871475,866852.638351255
0.0048,84858.4652350282,84805.4652968757,947072.894472372,84858.4652350282,84721.5929464527,863316.356957535
0.005,84858.4652350282,84804.4197966154,946028.759479865,84858.4652350282,84718.1620394228,859889.936157173
0.0052,84858.4652350282,84803.423655149,945033.91071519,84858.4652350282,84714.8365467519,856568.763178221
0.0054,84858.4652350282,84802.4741568352,944085.636430913,84858.4652350282,84711.6121180996,853348.493863274
0.0056,84858.4652350282,84801.5688110097,943181.449544324,84858.4652350282,84708.4847200831,850225.100601851
0.0058,84858.4652350282,84800.7052285172,942318.964338365,84858.4652350282,84705.450478451,847194.714701847
0.006,84858.4652350282,84799.8812483352,941496.0229125,84858.4652350282,84702.5058386993,844253.786804238
0.0062,84858.4652350282,84799.094798306,940710.556103852,84858.4652350282,84699.6473715418,841398.892598255
0.0064,84858.4652350282,84798.3439651015,939960.653357466,84858.4652350282,84696.8718754915,838626.83527371
0.0066,84858.4652350282,84797.6269403844,939244.508960186,84858.4652350282,84694.1762936653,835934.562430438
0.0068,84858.4652350282,84796.942032527,938560.433744296,84858.4652350282,84691.5577376803,833319.189944716
0.007,84858.4652350282,84796.2876621666,937906.850649074,84858.4652350282,84689.0134865476,830778.000865046
0.0072,84858.4652350282,84795.6623362327,937282.26878309,84858.4652350282,84686.5409404368,828308.399233996
0.0074,84858.4652350282,84795.0646503856,936685.285859924,84858.4652350282,84684.1376319501,825907.921349127
0.0076,84858.4652350282,84794.4932575362,936114.556759005,84858.4652350282,84681.8011523084,823574.162040581
0.0078,84858.4652350282,84793.9468884785,935568.81413301,84858.4652350282,84679.5292238911,821304.847121301
0.008,84858.4652350282,84793.4243239231,935046.840477406,84858.4652350282,84677.3196343356,819097.767568705
0.0082,84858.4652350282,84792.9244715079,934547.545039656,84858.4652350282,84675.1703776385,816950.920449116
0.0084,84858.4652350282,84792.4462877022,934069.885827452,84858.4652350282,84673.0795208525,814862.375782024
